Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,72.21,0.72,13.34,55.02,0.00,0.00,86.66,49.18
Hunter,0.18,0.00,13.31,45.03,0.00,0.00,86.69,50.71
Guardian Shield,41.69,0.42,13.24,49.42,0.00,0.00,86.76,50.04
Recall,0.03,0.00,13.33,58.97,0.00,0.00,86.67,48.57
Recall Hunter,0.26,0.00,13.32,42.93,0.00,0.00,86.68,51.04
Scorpion,0.46,0.00,13.32,58.20,0.00,0.00,86.68,48.69
Beetle,0.20,0.00,13.36,46.21,0.00,0.00,86.64,50.53
Blink,-0.03,-0.00,13.31,55.14,0.00,0.00,86.69,49.16
Blink Hunter,0.24,0.00,13.31,38.59,0.00,0.00,86.69,51.70
Gunbot,0.03,0.00,13.30,57.21,0.00,0.00,86.70,48.84
Missilebot,0.22,0.00,13.31,45.27,0.00,0.00,86.69,50.68
Wasp,0.14,0.00,13.31,54.03,0.00,0.00,86.69,49.33
Hornet,0.21,0.00,13.31,40.07,0.00,0.00,86.69,51.47
Knight,-0.23,-0.00,13.35,58.97,0.00,0.00,86.65,48.57
Crossbow,0.39,0.00,13.27,44.18,0.00,0.00,86.73,50.84
Ballista,-2.78,-0.03,4.22,45.17,0.00,0.00,95.78,50.17
King Crab,-1.27,-0.01,4.24,46.95,0.00,0.00,95.76,50.09
Crusader,-0.57,-0.01,4.23,52.18,0.00,0.00,95.77,49.86
Bomber,-0.30,-0.00,4.23,49.79,0.00,0.00,95.77,49.96
Shocker,-2.79,-0.03,4.23,48.44,0.00,0.00,95.77,50.02
Recall Shocker,-2.36,-0.02,4.22,52.23,0.00,0.00,95.78,49.86
Mortar,-2.05,-0.02,4.24,62.23,0.00,0.00,95.76,49.41
Swift Shocker,-2.73,-0.03,4.23,45.60,0.00,0.00,95.77,50.15
Heavy Hunter,-1.71,-0.02,4.23,45.17,0.00,0.00,95.77,50.17
Destroyer,-2.22,-0.02,4.23,48.41,0.00,0.00,95.77,50.02
Raider,-2.23,-0.02,4.25,33.58,0.00,0.00,95.75,50.68
Turret,-1.80,-0.02,4.24,56.79,0.00,0.00,95.76,49.65
Heavy Ballista,-4.87,-0.05,2.82,56.20,0.00,0.00,97.18,49.77
Gargantua,-2.71,-0.03,2.81,66.67,0.00,0.00,97.19,49.47
Sniper,-2.63,-0.03,2.85,57.85,0.00,0.00,97.15,49.72
Advanced Blink,-0.27,-0.00,2.85,52.85,0.00,0.00,97.15,49.87
Assaultbot,-0.44,-0.00,2.87,62.94,0.00,0.00,97.13,49.57
Advancedbot,-0.14,-0.00,2.88,61.33,0.00,0.00,97.12,49.62
Behemoth,-1.74,-0.02,2.85,62.48,0.00,0.00,97.15,49.59
