Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,33.17,0.33,13.35,56.67,0.00,0.00,86.65,52.18
Hunter,4.31,0.04,13.21,50.64,0.00,0.00,86.79,53.10
Guardian Shield,-169.86,-1.70,13.23,51.84,0.00,0.00,86.77,52.92
Recall,9.35,0.09,13.22,56.24,0.00,0.00,86.78,52.25
Recall Hunter,2.39,0.02,13.58,49.46,0.00,0.00,86.42,53.30
Scorpion,21.24,0.21,13.22,59.35,0.00,0.00,86.78,51.78
Beetle,4.55,0.05,13.23,50.37,0.00,0.00,86.77,53.15
Blink,14.63,0.15,13.20,55.11,0.00,0.00,86.80,52.43
Blink Hunter,3.69,0.04,13.32,47.56,0.00,0.00,86.68,53.58
Gunbot,4.52,0.05,13.39,54.78,0.00,0.00,86.61,52.47
Missilebot,2.48,0.02,13.43,49.98,0.00,0.00,86.57,53.21
Wasp,11.79,0.12,13.32,56.24,0.00,0.00,86.68,52.25
Hornet,1.78,0.02,13.35,47.75,0.00,0.00,86.65,53.55
Knight,25.92,0.26,13.17,55.33,0.00,0.00,86.83,52.39
Crossbow,4.76,0.05,13.22,50.49,0.00,0.00,86.78,53.13
Ballista,10.48,0.10,7.07,47.81,0.00,0.00,92.93,53.16
King Crab,64.22,0.64,7.24,51.21,0.00,0.00,92.76,52.90
Crusader,74.04,0.74,7.02,54.96,0.00,0.00,92.98,52.61
Bomber,27.13,0.27,7.21,53.76,0.00,0.00,92.79,52.70
Shocker,18.33,0.18,7.07,52.39,0.00,0.00,92.93,52.81
Recall Shocker,18.16,0.18,6.92,54.08,0.00,0.00,93.08,52.68
Mortar,39.21,0.39,7.17,63.34,0.00,0.00,92.83,51.96
Swift Shocker,32.63,0.33,7.13,50.79,0.00,0.00,92.87,52.93
Heavy Hunter,13.64,0.14,7.16,51.09,0.00,0.00,92.84,52.91
Destroyer,9.47,0.09,7.13,51.58,0.00,0.00,92.87,52.87
Raider,9.45,0.09,6.96,40.46,0.00,0.00,93.04,53.70
Turret,-1.47,-0.01,7.10,54.41,0.00,0.00,92.90,52.65
Heavy Ballista,76.57,0.77,8.16,53.26,0.00,0.00,91.84,52.74
Gargantua,53.92,0.54,8.20,60.94,0.00,0.00,91.80,52.05
Sniper,35.87,0.36,8.42,54.92,0.00,0.00,91.58,52.58
Matter,0.44,0.55,87.28,53.80,12.70,45.76,0.02,31.25
Energy,0.51,0.64,87.38,53.72,12.59,46.24,0.03,46.15
Bandwidth,-6.95,-0.35,87.63,53.78,12.35,45.72,0.02,40.00
Health,0.04,2.39,87.28,53.89,12.69,45.17,0.03,47.83
Radius,-48.98,-0.98,87.35,53.85,12.64,45.41,0.02,26.67
Speed,9.71,0.80,87.39,53.69,12.59,46.47,0.02,23.08
Damage,1.75,1.22,87.43,53.78,12.55,45.82,0.02,62.50
Duration,-288.23,-2.45,87.41,53.68,12.57,46.50,0.02,63.16
Windup,-322.98,-0.32,87.35,53.76,12.63,46.01,0.02,31.25
Recoil,-9.00,-0.04,87.44,53.74,12.54,46.14,0.02,33.33
WeaponSpeed,-0.08,-0.01,87.62,53.69,12.36,46.35,0.02,52.94
Range,35.41,2.83,87.27,53.81,12.71,45.71,0.02,28.57
Splash,0.00,-0.10,0.00,0.00,0.00,0.00,100.00,52.78
Assaultbot,9.27,0.09,8.30,61.61,0.00,0.00,91.70,51.98
Advancedbot,6.16,0.06,8.48,56.28,0.00,0.00,91.52,52.46
Behemoth,75.03,0.75,8.16,57.77,0.00,0.00,91.84,52.34
Advanced Mortar,50.14,0.50,8.20,67.66,0.00,0.00,91.80,51.45
Blaster,57.29,0.57,8.28,63.69,0.00,0.00,91.72,51.79
Butterfly,8.35,0.08,3.46,47.60,0.00,0.00,96.54,52.96
Dragonfly,23.33,0.23,3.33,48.05,0.00,0.00,96.67,52.94
Falcon,18.31,0.18,3.24,51.74,0.00,0.00,96.76,52.81
Airship,6.92,0.07,3.35,48.62,0.00,0.00,96.65,52.92
Advanced Recall,9.48,0.09,3.43,51.52,0.00,0.00,96.57,52.82
Mammoth,69.42,0.69,3.28,53.60,0.00,0.00,96.72,52.75
Stinger,24.18,0.24,3.32,45.29,0.00,0.00,96.68,53.04
Flak Turret,5.26,0.05,3.41,49.02,0.00,0.00,96.59,52.91
Bulwark,27.08,0.27,2.96,55.61,0.00,0.00,97.04,52.69
Katbus,68.19,0.68,3.14,55.12,0.00,0.00,96.86,52.70
Locust,11.56,0.12,3.22,44.87,0.00,0.00,96.78,53.04
Kraken,451.96,4.52,1.26,84.68,0.00,0.00,98.74,52.37
Predator,22.62,0.23,3.17,46.66,0.00,0.00,96.83,52.98
Valkyrie,28.65,0.29,2.97,50.14,0.00,0.00,97.03,52.86
Artillery,37.99,0.38,3.04,52.52,0.00,0.00,96.96,52.79
Advanced Destroyer,3.09,0.03,3.08,50.51,0.00,0.00,96.92,52.85
Shade,58.19,0.58,3.07,51.11,0.00,0.00,96.93,52.83
Ranking,0.00,0.12,0.00,0.00,100.00,52.78,0.00,0.00
Aggression,0.01,0.01,0.00,0.00,100.00,52.78,0.00,0.00
vs. Crab,-38.28,-0.38,13.50,45.30,0.00,0.00,86.50,53.95
vs. Hunter,-6.39,-0.06,13.24,57.86,0.00,0.00,86.76,52.00
vs. Guardian Shield,-74.30,-0.74,13.01,53.43,0.00,0.00,86.99,52.68
vs. Recall,-32.63,-0.33,13.23,44.13,0.00,0.00,86.77,54.10
vs. Recall Hunter,-4.93,-0.05,13.26,59.07,0.00,0.00,86.74,51.82
vs. Scorpion,-23.19,-0.23,13.37,42.21,0.00,0.00,86.63,54.41
vs. Beetle,-10.61,-0.11,13.06,56.88,0.00,0.00,86.94,52.16
vs. Blink,-33.74,-0.34,13.30,45.71,0.00,0.00,86.70,53.86
vs. Blink Hunter,4.09,0.04,13.43,61.87,0.00,0.00,86.57,51.37
vs. Gunbot,-14.66,-0.15,13.18,45.74,0.00,0.00,86.82,53.85
vs. Missilebot,-8.08,-0.08,13.41,57.27,0.00,0.00,86.59,52.08
vs. Wasp,-11.87,-0.12,13.40,47.12,0.00,0.00,86.60,53.65
vs. Hornet,5.06,0.05,13.41,60.83,0.00,0.00,86.59,51.53
vs. Knight,66.92,0.67,13.33,52.79,0.00,0.00,86.67,52.78
vs. Crossbow,140.34,1.40,13.16,61.84,0.00,0.00,86.84,51.41
vs. Ballista,25.35,0.25,6.02,58.36,0.00,0.00,93.98,52.42
vs. King Crab,231.66,2.32,6.03,63.56,0.00,0.00,93.97,52.09
vs. Crusader,172.07,1.72,5.88,57.92,0.00,0.00,94.12,52.46
vs. Bomber,-49.07,-0.49,5.85,54.92,0.00,0.00,94.15,52.65
vs. Shocker,-7.15,-0.07,5.98,55.89,0.00,0.00,94.02,52.58
vs. Recall Shocker,-48.46,-0.48,5.84,51.15,0.00,0.00,94.16,52.88
vs. Mortar,-126.00,-1.26,6.00,38.06,0.00,0.00,94.00,53.72
vs. Swift Shocker,1.84,0.02,5.94,59.04,0.00,0.00,94.06,52.38
vs. Heavy Hunter,1.16,0.01,5.98,60.28,0.00,0.00,94.02,52.30
vs. Destroyer,-146.56,-1.47,5.96,43.63,0.00,0.00,94.04,53.36
vs. Raider,71.30,0.71,5.93,66.87,0.00,0.00,94.07,51.89
vs. Turret,67.96,0.68,5.92,52.36,0.00,0.00,94.08,52.81
vs. Heavy Ballista,140.41,1.40,6.44,49.24,0.00,0.00,93.56,53.02
vs. Gargantua,263.81,2.64,6.40,47.57,0.00,0.00,93.60,53.14
vs. Sniper,-138.23,-1.38,6.39,40.32,0.00,0.00,93.61,53.63
vs. Advanced Blink,11.65,0.12,6.49,50.20,0.00,0.00,93.51,52.96
vs. Assaultbot,-29.57,-0.30,6.62,32.71,0.00,0.00,93.38,54.20
vs. Advancedbot,-30.43,-0.30,6.48,41.10,0.00,0.00,93.52,53.59
vs. Behemoth,23.52,0.24,6.45,45.06,0.00,0.00,93.55,53.31
vs. Advanced Mortar,-130.88,-1.31,6.41,35.01,0.00,0.00,93.59,54.00
vs. Blaster,-128.61,-1.29,6.33,40.42,0.00,0.00,93.67,53.61
vs. Butterfly,-157.39,-1.57,8.81,47.42,0.00,0.00,91.19,53.30
vs. Dragonfly,-73.77,-0.74,8.73,56.24,0.00,0.00,91.27,52.45
vs. Falcon,-115.05,-1.15,8.90,46.13,0.00,0.00,91.10,53.43
vs. Airship,36.51,0.37,8.76,61.68,0.00,0.00,91.24,51.92
