Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,25.08,0.25,13.34,54.51,0.00,0.00,86.66,52.07
Hunter,27.14,0.27,13.49,51.73,0.00,0.00,86.51,52.50
Guardian Shield,-243.40,-2.43,13.03,50.78,0.00,0.00,86.97,52.64
Recall,23.22,0.23,13.11,55.97,0.00,0.00,86.89,51.86
Recall Hunter,30.61,0.31,13.33,51.32,0.00,0.00,86.67,52.57
Scorpion,14.83,0.15,13.41,57.47,0.00,0.00,86.59,51.61
Beetle,31.63,0.32,13.29,52.27,0.00,0.00,86.71,52.42
Blink,12.23,0.12,13.30,53.13,0.00,0.00,86.70,52.29
Blink Hunter,27.12,0.27,13.31,46.59,0.00,0.00,86.69,53.29
Gunbot,11.44,0.11,13.24,54.27,0.00,0.00,86.76,52.11
Missilebot,28.22,0.28,13.21,51.81,0.00,0.00,86.79,52.49
Wasp,3.81,0.04,13.45,51.79,0.00,0.00,86.55,52.49
Hornet,17.53,0.18,13.31,48.05,0.00,0.00,86.69,53.07
Knight,33.35,0.33,13.33,54.44,0.00,0.00,86.67,52.09
Crossbow,70.69,0.71,13.10,52.12,0.00,0.00,86.90,52.44
Ballista,56.60,0.57,2.29,51.92,0.00,0.00,97.71,52.41
King Crab,55.86,0.56,2.26,54.15,0.00,0.00,97.74,52.36
Crusader,76.10,0.76,2.29,55.78,0.00,0.00,97.71,52.32
Bomber,4.29,0.04,2.37,52.99,0.00,0.00,97.63,52.39
Shocker,41.56,0.42,2.23,51.97,0.00,0.00,97.77,52.41
Recall Shocker,50.26,0.50,2.36,53.59,0.00,0.00,97.64,52.37
Mortar,31.76,0.32,2.21,59.24,0.00,0.00,97.79,52.25
Swift Shocker,31.68,0.32,2.35,51.99,0.00,0.00,97.65,52.41
Heavy Hunter,74.24,0.74,2.28,56.17,0.00,0.00,97.72,52.31
Destroyer,23.99,0.24,2.23,55.32,0.00,0.00,97.77,52.33
Raider,29.03,0.29,2.35,47.54,0.00,0.00,97.65,52.52
Turret,30.81,0.31,2.25,55.27,0.00,0.00,97.75,52.33
Heavy Ballista,119.39,1.19,3.05,53.72,0.00,0.00,96.95,52.36
Gargantua,176.93,1.77,3.00,62.13,0.00,0.00,97.00,52.10
Sniper,7.17,0.07,3.00,52.27,0.00,0.00,97.00,52.40
Advanced Blink,58.54,0.59,3.01,50.51,0.00,0.00,96.99,52.46
Assaultbot,8.94,0.09,3.09,58.59,0.00,0.00,96.91,52.20
Advancedbot,15.19,0.15,3.05,58.14,0.00,0.00,96.95,52.22
Behemoth,63.98,0.64,3.03,59.03,0.00,0.00,96.97,52.19
Advanced Mortar,58.64,0.59,3.08,63.25,0.00,0.00,96.92,52.05
Blaster,66.19,0.66,3.04,61.03,0.00,0.00,96.96,52.13
Butterfly,-27.44,-0.27,10.74,50.67,0.00,0.00,89.26,52.61
Dragonfly,7.52,0.08,10.77,53.29,0.00,0.00,89.23,52.29
Falcon,16.23,0.16,10.81,58.21,0.00,0.00,89.19,51.70
Airship,24.83,0.25,11.00,55.04,0.00,0.00,89.00,52.07
Advanced Recall,15.60,0.16,10.83,56.04,0.00,0.00,89.17,51.96
Mammoth,78.14,0.78,11.05,59.62,0.00,0.00,88.95,51.50
Stinger,2.42,0.02,10.77,46.01,0.00,0.00,89.23,53.17
Flak Turret,-3.09,-0.03,11.03,51.34,0.00,0.00,88.97,52.53
Bulwark,103.85,1.04,8.58,67.65,0.00,0.00,91.42,50.97
Katbus,16.82,0.17,8.53,60.21,0.00,0.00,91.47,51.67
Locust,1.25,0.01,8.47,48.76,0.00,0.00,91.53,52.74
Kraken,273.16,2.73,3.27,86.31,0.00,0.00,96.73,51.25
Predator,28.01,0.28,8.61,45.70,0.00,0.00,91.39,53.03
Valkyrie,28.04,0.28,8.48,54.30,0.00,0.00,91.52,52.22
Artillery,8.66,0.09,8.65,54.62,0.00,0.00,91.35,52.19
Matter,0.40,0.50,86.77,52.92,13.21,48.98,0.02,40.00
Energy,0.90,1.12,86.57,53.07,13.41,48.10,0.02,42.11
Bandwidth,5.62,0.28,87.09,52.95,12.89,48.70,0.02,40.00
Health,0.08,0.95,86.67,52.95,13.30,48.83,0.03,47.83
Radius,31.75,0.48,86.59,52.94,13.39,48.91,0.02,57.89
Speed,19.27,1.01,86.76,52.94,13.22,48.85,0.02,43.75
Damage,0.21,1.48,86.74,53.01,13.24,48.43,0.02,55.00
Duration,-99.78,-2.49,86.74,52.92,13.24,48.98,0.03,54.17
Windup,-575.81,-0.58,86.69,52.91,13.29,49.12,0.02,31.58
Recoil,91.69,0.46,86.76,52.99,13.22,48.52,0.01,45.45
WeaponSpeed,3.87,0.39,86.72,52.93,13.26,48.98,0.02,38.89
Range,6.21,1.43,86.64,52.97,13.34,48.65,0.02,66.67
Splash,0.00,0.33,0.00,0.00,0.00,0.00,100.00,52.40
Shade,-8.83,-0.09,8.58,56.60,0.00,0.00,91.42,52.01
Ranking,-0.00,-0.05,0.00,0.00,100.00,52.40,0.00,0.00
Aggression,-0.70,-0.70,0.00,0.00,100.00,52.40,0.00,0.00
vs. Crab,-44.14,-0.44,13.51,46.25,0.00,0.00,86.49,53.36
vs. Hunter,15.54,0.16,13.34,53.89,0.00,0.00,86.66,52.17
vs. Guardian Shield,164.31,1.64,13.00,56.42,0.00,0.00,87.00,51.80
vs. Recall,-26.01,-0.26,13.22,48.76,0.00,0.00,86.78,52.95
vs. Recall Hunter,6.72,0.07,13.28,55.32,0.00,0.00,86.72,51.95
vs. Scorpion,-28.36,-0.28,13.34,41.31,0.00,0.00,86.66,54.11
vs. Beetle,14.98,0.15,13.44,53.64,0.00,0.00,86.56,52.21
