Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,2.91,0.03,13.37,71.26,0.00,0.00,86.63,68.80
Hunter,4.55,0.05,13.10,66.57,0.00,0.00,86.90,69.51
Guardian Shield,-29.19,-0.29,13.31,69.61,0.00,0.00,86.69,69.05
Recall,16.68,0.17,13.35,74.43,0.00,0.00,86.65,68.31
Recall Hunter,13.57,0.14,13.26,66.35,0.00,0.00,86.74,69.55
Scorpion,2.04,0.02,13.39,73.97,0.00,0.00,86.61,68.38
Beetle,1.48,0.01,13.32,66.20,0.00,0.00,86.68,69.57
Blink,-5.09,-0.05,13.28,71.05,0.00,0.00,86.72,68.83
Blink Hunter,-1.10,-0.01,13.24,63.74,0.00,0.00,86.76,69.95
Gunbot,7.85,0.08,13.30,72.86,0.00,0.00,86.70,68.55
Missilebot,4.96,0.05,13.36,66.30,0.00,0.00,86.64,69.56
Wasp,-4.03,-0.04,13.25,71.71,0.00,0.00,86.75,68.73
Hornet,-11.43,-0.11,13.33,63.16,0.00,0.00,86.67,70.04
Knight,-0.20,-0.00,13.31,72.52,0.00,0.00,86.69,68.60
Crossbow,13.97,0.14,13.26,67.09,0.00,0.00,86.74,69.44
Ballista,-12.93,-0.13,7.19,64.11,0.00,0.00,92.81,69.51
King Crab,-26.26,-0.26,7.11,66.19,0.00,0.00,92.89,69.35
Crusader,-0.24,-0.00,7.17,70.35,0.00,0.00,92.83,69.03
Bomber,-41.54,-0.42,7.04,66.27,0.00,0.00,92.96,69.34
Shocker,-9.67,-0.10,7.06,65.89,0.00,0.00,92.94,69.37
Recall Shocker,14.66,0.15,6.96,69.69,0.00,0.00,93.04,69.08
Mortar,-49.05,-0.49,7.00,73.42,0.00,0.00,93.00,68.80
Swift Shocker,-53.36,-0.53,7.14,64.46,0.00,0.00,92.86,69.48
Heavy Hunter,5.70,0.06,7.10,65.45,0.00,0.00,92.90,69.41
Destroyer,17.04,0.17,7.09,70.19,0.00,0.00,92.91,69.04
Raider,-0.06,-0.00,7.11,57.26,0.00,0.00,92.89,70.03
Turret,17.10,0.17,7.25,68.77,0.00,0.00,92.75,69.15
Heavy Ballista,-79.13,-0.79,8.24,70.63,0.00,0.00,91.76,68.99
Gargantua,-3.31,-0.03,8.25,76.42,0.00,0.00,91.75,68.47
Sniper,-54.83,-0.55,8.45,68.94,0.00,0.00,91.55,69.14
Advanced Blink,28.10,0.28,8.21,67.65,0.00,0.00,91.79,69.26
Assaultbot,-6.73,-0.07,8.28,77.32,0.00,0.00,91.72,68.39
Advancedbot,-8.26,-0.08,8.36,70.71,0.00,0.00,91.64,68.98
Behemoth,-32.93,-0.33,8.32,74.50,0.00,0.00,91.68,68.64
Matter,0.75,0.94,87.39,71.75,12.59,50.90,0.02,58.82
Energy,1.98,2.47,87.31,71.75,12.67,51.04,0.02,56.25
