Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,15.08,0.15,13.16,55.02,0.00,0.00,86.84,52.23
Hunter,-15.27,-0.15,13.36,50.91,0.00,0.00,86.64,52.86
Guardian Shield,-87.07,-0.87,13.14,54.01,0.00,0.00,86.86,52.38
Recall,-1.57,-0.02,13.38,55.44,0.00,0.00,86.62,52.16
Recall Hunter,-15.31,-0.15,13.26,49.66,0.00,0.00,86.74,53.04
Scorpion,10.88,0.11,13.25,58.70,0.00,0.00,86.75,51.66
Beetle,-16.31,-0.16,13.26,51.95,0.00,0.00,86.74,52.70
Blink,-6.87,-0.07,13.33,53.89,0.00,0.00,86.67,52.40
Blink Hunter,-13.59,-0.14,13.32,46.81,0.00,0.00,86.68,53.49
Gunbot,-1.02,-0.01,13.30,54.70,0.00,0.00,86.70,52.27
Missilebot,-14.25,-0.14,13.28,51.31,0.00,0.00,86.72,52.79
Wasp,0.23,0.00,13.27,52.95,0.00,0.00,86.73,52.54
Hornet,-18.44,-0.18,13.26,47.04,0.00,0.00,86.74,53.45
Knight,-4.08,-0.04,13.53,56.12,0.00,0.00,86.47,52.05
Crossbow,-32.37,-0.32,13.34,50.41,0.00,0.00,86.66,52.93
Ballista,-69.34,-0.69,4.02,42.84,0.00,0.00,95.98,53.01
King Crab,-24.35,-0.24,3.96,44.69,0.00,0.00,96.04,52.92
Crusader,29.66,0.30,4.07,50.50,0.00,0.00,95.93,52.69
Bomber,-37.54,-0.38,4.05,47.84,0.00,0.00,95.95,52.80
Shocker,-65.10,-0.65,4.01,45.58,0.00,0.00,95.99,52.89
Recall Shocker,-60.46,-0.60,4.07,47.64,0.00,0.00,95.93,52.81
Mortar,-81.01,-0.81,4.06,56.54,0.00,0.00,95.94,52.43
Swift Shocker,-82.81,-0.83,3.89,43.35,0.00,0.00,96.11,52.97
Heavy Hunter,-35.83,-0.36,4.06,46.85,0.00,0.00,95.94,52.84
Destroyer,-59.39,-0.59,3.94,45.77,0.00,0.00,96.06,52.88
Raider,-45.15,-0.45,4.01,36.17,0.00,0.00,95.99,53.28
Turret,-53.29,-0.53,4.12,52.07,0.00,0.00,95.88,52.62
Heavy Ballista,-84.56,-0.85,1.55,53.43,0.00,0.00,98.45,52.58
Gargantua,-58.34,-0.58,1.44,59.08,0.00,0.00,98.56,52.50
Sniper,-59.62,-0.60,1.54,52.12,0.00,0.00,98.46,52.60
Advanced Blink,5.36,0.05,1.53,51.55,0.00,0.00,98.47,52.61
Assaultbot,-7.02,-0.07,1.56,57.43,0.00,0.00,98.44,52.52
Advancedbot,-3.90,-0.04,1.60,57.69,0.00,0.00,98.40,52.51
Behemoth,42.73,0.43,1.53,58.60,0.00,0.00,98.47,52.50
Advanced Mortar,-35.01,-0.35,1.55,62.24,0.00,0.00,98.45,52.45
Blaster,-50.54,-0.51,1.52,56.54,0.00,0.00,98.48,52.54
Butterfly,-65.22,-0.65,9.41,51.89,0.00,0.00,90.59,52.67
Dragonfly,-60.41,-0.60,9.48,53.84,0.00,0.00,90.52,52.47
Falcon,-62.20,-0.62,9.53,60.91,0.00,0.00,90.47,51.72
Airship,-47.71,-0.48,9.44,55.56,0.00,0.00,90.56,52.29
Matter,-0.45,-0.23,94.88,52.96,5.11,45.85,0.01,68.75
Energy,0.01,0.01,94.79,52.94,5.20,46.31,0.01,65.22
Bandwidth,-1.28,-0.03,95.04,52.93,4.95,46.15,0.01,42.86
Health,0.06,0.39,94.84,52.95,5.15,46.04,0.01,53.85
Radius,-75.78,-0.68,94.83,52.96,5.16,46.00,0.01,47.37
