Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,43.94,0.44,13.25,66.00,0.00,0.00,86.75,60.62
Hunter,-9.70,-0.10,13.30,56.19,0.00,0.00,86.70,62.12
Guardian Shield,-139.87,-1.40,13.16,62.01,0.00,0.00,86.84,61.23
Recall,18.12,0.18,13.26,67.51,0.00,0.00,86.74,60.38
Recall Hunter,-2.28,-0.02,13.40,57.59,0.00,0.00,86.60,61.91
Scorpion,27.07,0.27,13.32,68.96,0.00,0.00,86.68,60.16
Beetle,-10.68,-0.11,13.52,56.73,0.00,0.00,86.48,62.05
Blink,16.32,0.16,13.11,64.54,0.00,0.00,86.89,60.85
Blink Hunter,-10.29,-0.10,13.26,55.02,0.00,0.00,86.74,62.29
Gunbot,9.35,0.09,13.37,65.51,0.00,0.00,86.63,60.68
Missilebot,-6.48,-0.06,13.24,56.25,0.00,0.00,86.76,62.10
Wasp,10.29,0.10,13.34,65.02,0.00,0.00,86.66,60.76
Hornet,-21.34,-0.21,13.29,54.30,0.00,0.00,86.71,62.41
Knight,49.79,0.50,13.44,66.39,0.00,0.00,86.56,60.54
Crossbow,-17.09,-0.17,13.15,57.99,0.00,0.00,86.85,61.84
Ballista,-12.83,-0.13,7.06,56.47,0.00,0.00,92.94,61.70
King Crab,67.06,0.67,7.24,60.90,0.00,0.00,92.76,61.36
Crusader,135.72,1.36,7.19,65.51,0.00,0.00,92.81,61.01
Bomber,-9.24,-0.09,7.03,61.23,0.00,0.00,92.97,61.34
Shocker,-1.12,-0.01,7.29,57.82,0.00,0.00,92.71,61.61
Recall Shocker,-5.65,-0.06,7.24,62.57,0.00,0.00,92.76,61.23
Mortar,-12.92,-0.13,7.15,69.81,0.00,0.00,92.85,60.68
Swift Shocker,-8.11,-0.08,7.10,56.97,0.00,0.00,92.90,61.66
Heavy Hunter,-28.02,-0.28,7.12,56.63,0.00,0.00,92.88,61.69
Destroyer,1.24,0.01,6.95,61.26,0.00,0.00,93.05,61.34
Raider,25.97,0.26,7.19,51.07,0.00,0.00,92.81,62.12
Turret,0.39,0.00,7.06,62.92,0.00,0.00,92.94,61.21
Heavy Ballista,15.55,0.16,8.16,63.33,0.00,0.00,91.84,61.15
Gargantua,-3.57,-0.04,8.26,67.58,0.00,0.00,91.74,60.77
Sniper,-19.17,-0.19,8.17,64.90,0.00,0.00,91.83,61.01
