Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,26.06,0.26,13.20,53.16,0.00,0.00,86.80,46.64
Hunter,-10.70,-0.11,13.27,43.70,0.00,0.00,86.73,48.09
Guardian Shield,-149.54,-1.50,13.24,45.82,0.00,0.00,86.76,47.76
Recall,12.57,0.13,13.38,54.39,0.00,0.00,86.62,46.44
Recall Hunter,-15.03,-0.15,13.38,41.90,0.00,0.00,86.62,48.37
Scorpion,16.44,0.16,13.38,56.39,0.00,0.00,86.62,46.13
Beetle,-9.09,-0.09,13.26,43.83,0.00,0.00,86.74,48.07
Blink,15.76,0.16,13.29,51.52,0.00,0.00,86.71,46.89
Blink Hunter,-9.38,-0.09,13.30,40.05,0.00,0.00,86.70,48.65
Gunbot,5.93,0.06,13.29,52.08,0.00,0.00,86.71,46.80
Missilebot,-14.45,-0.14,13.40,42.36,0.00,0.00,86.60,48.30
Wasp,8.42,0.08,13.22,50.53,0.00,0.00,86.78,47.04
Hornet,-15.98,-0.16,13.33,40.37,0.00,0.00,86.67,48.60
Knight,31.62,0.32,13.36,54.08,0.00,0.00,86.64,46.49
Crossbow,-27.51,-0.28,13.21,42.31,0.00,0.00,86.79,48.29
Ballista,-22.17,-0.22,4.06,44.13,0.00,0.00,95.94,47.65
King Crab,-2.13,-0.02,4.06,43.89,0.00,0.00,95.94,47.66
Crusader,27.71,0.28,4.08,50.11,0.00,0.00,95.92,47.39
Bomber,-7.13,-0.07,4.05,47.22,0.00,0.00,95.95,47.52
Shocker,-22.24,-0.22,4.03,46.15,0.00,0.00,95.97,47.56
Recall Shocker,-35.83,-0.36,4.09,48.60,0.00,0.00,95.91,47.46
Mortar,-22.45,-0.22,4.07,59.49,0.00,0.00,95.93,47.00
Swift Shocker,-10.11,-0.10,4.07,43.68,0.00,0.00,95.93,47.67
Heavy Hunter,-63.52,-0.64,4.07,41.57,0.00,0.00,95.93,47.76
Destroyer,-22.58,-0.23,4.08,47.17,0.00,0.00,95.92,47.52
Raider,-36.59,-0.37,4.05,35.73,0.00,0.00,95.95,48.00
Turret,-73.71,-0.74,3.99,51.26,0.00,0.00,96.01,47.35
Heavy Ballista,-41.39,-0.41,1.47,52.63,0.00,0.00,98.53,47.43
Gargantua,-108.49,-1.08,1.46,57.28,0.00,0.00,98.54,47.36
Sniper,-27.69,-0.28,1.55,51.27,0.00,0.00,98.45,47.45
Advanced Blink,1.44,0.01,1.51,49.74,0.00,0.00,98.49,47.47
Assaultbot,4.33,0.04,1.58,58.02,0.00,0.00,98.42,47.34
Advancedbot,-10.73,-0.11,1.58,52.80,0.00,0.00,98.42,47.42
Behemoth,55.60,0.56,1.47,60.58,0.00,0.00,98.53,47.31
Advanced Mortar,-74.09,-0.74,1.53,56.89,0.00,0.00,98.47,47.36
Blaster,-57.42,-0.57,1.53,52.74,0.00,0.00,98.47,47.42
Butterfly,-48.93,-0.49,9.57,44.80,0.00,0.00,90.43,47.79
Dragonfly,-69.73,-0.70,9.49,42.87,0.00,0.00,90.51,47.99
Falcon,-44.90,-0.45,9.49,52.81,0.00,0.00,90.51,46.95
Matter,-0.12,-0.14,89.81,47.18,10.17,50.38,0.02,35.14
