Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,10.78,0.11,13.29,55.90,0.00,0.00,86.71,55.15
Hunter,18.51,0.19,13.29,54.84,0.00,0.00,86.71,55.31
Guardian Shield,-274.78,-2.75,13.10,52.96,0.00,0.00,86.90,55.59
Recall,15.14,0.15,13.18,59.03,0.00,0.00,86.82,54.67
Recall Hunter,19.94,0.20,13.40,54.71,0.00,0.00,86.60,55.33
Scorpion,7.53,0.08,13.30,58.76,0.00,0.00,86.70,54.71
Beetle,19.20,0.19,13.29,55.65,0.00,0.00,86.71,55.19
Blink,-1.17,-0.01,13.50,55.36,0.00,0.00,86.50,55.23
Blink Hunter,14.00,0.14,13.09,51.32,0.00,0.00,86.91,55.84
Gunbot,7.63,0.08,13.44,56.93,0.00,0.00,86.56,54.99
Missilebot,18.73,0.19,13.51,55.45,0.00,0.00,86.49,55.22
Wasp,-1.69,-0.02,13.32,54.82,0.00,0.00,86.68,55.32
Hornet,3.65,0.04,13.40,51.70,0.00,0.00,86.60,55.80
Knight,7.52,0.08,13.33,56.83,0.00,0.00,86.67,55.01
Crossbow,42.54,0.43,12.89,54.60,0.00,0.00,87.11,55.35
Ballista,-7.14,-0.07,2.33,49.51,0.00,0.00,97.67,55.39
King Crab,26.66,0.27,2.29,52.84,0.00,0.00,97.71,55.31
Crusader,37.11,0.37,2.27,57.40,0.00,0.00,97.73,55.20
Bomber,-19.46,-0.19,2.37,51.37,0.00,0.00,97.63,55.34
Shocker,-2.41,-0.02,2.28,50.18,0.00,0.00,97.72,55.37
Recall Shocker,12.17,0.12,2.24,53.41,0.00,0.00,97.76,55.29
Mortar,-7.96,-0.08,2.20,59.05,0.00,0.00,97.80,55.16
Swift Shocker,-23.52,-0.24,2.29,51.12,0.00,0.00,97.71,55.35
Heavy Hunter,55.96,0.56,2.32,54.28,0.00,0.00,97.68,55.27
Destroyer,38.85,0.39,2.19,55.02,0.00,0.00,97.81,55.25
Raider,8.14,0.08,2.15,45.36,0.00,0.00,97.85,55.47
Turret,7.43,0.07,2.28,52.53,0.00,0.00,97.72,55.31
Heavy Ballista,8.52,0.09,3.07,52.30,0.00,0.00,96.93,55.34
Gargantua,145.48,1.45,3.03,60.37,0.00,0.00,96.97,55.09
Sniper,-8.96,-0.09,3.00,50.70,0.00,0.00,97.00,55.39
Advanced Blink,96.44,0.96,2.96,52.52,0.00,0.00,97.04,55.33
Assaultbot,5.36,0.05,3.15,56.65,0.00,0.00,96.85,55.20
Advancedbot,8.56,0.09,3.06,58.10,0.00,0.00,96.94,55.16
Behemoth,35.29,0.35,3.02,56.52,0.00,0.00,96.98,55.21
Advanced Mortar,16.28,0.16,3.02,60.76,0.00,0.00,96.98,55.08
Blaster,13.87,0.14,3.03,56.80,0.00,0.00,96.97,55.20
Butterfly,5.04,0.05,11.01,55.33,0.00,0.00,88.99,55.24
Dragonfly,-6.38,-0.06,11.02,56.68,0.00,0.00,88.98,55.07
Falcon,13.92,0.14,10.79,60.04,0.00,0.00,89.21,54.67
Airship,11.84,0.12,10.92,58.25,0.00,0.00,89.08,54.88
Advanced Recall,9.75,0.10,10.80,58.26,0.00,0.00,89.20,54.88
Mammoth,46.62,0.47,10.75,61.90,0.00,0.00,89.25,54.45
Stinger,-28.03,-0.28,10.65,49.02,0.00,0.00,89.35,55.99
Flak Turret,-16.60,-0.17,10.75,53.41,0.00,0.00,89.25,55.47
Bulwark,88.39,0.88,8.46,69.96,0.00,0.00,91.54,53.89
Katbus,-33.56,-0.34,8.62,63.65,0.00,0.00,91.38,54.46
Locust,-6.25,-0.06,8.50,52.04,0.00,0.00,91.50,55.55
Kraken,43.76,0.44,3.17,88.86,0.00,0.00,96.83,54.15
Predator,-5.08,-0.05,8.60,50.25,0.00,0.00,91.40,55.72
Valkyrie,18.96,0.19,8.60,57.39,0.00,0.00,91.40,55.05
Matter,-0.18,-0.23,86.94,56.25,13.04,48.55,0.02,61.11
Energy,0.64,0.80,86.94,56.20,13.03,48.92,0.02,50.00
Bandwidth,-6.34,-0.32,87.31,56.27,12.66,48.22,0.03,56.00
Health,0.02,0.28,86.86,56.31,13.12,48.23,0.02,44.44
Radius,-12.77,-0.18,86.96,56.34,13.02,47.98,0.02,57.89
Speed,24.06,1.26,86.75,56.39,13.23,47.76,0.02,63.16
Damage,0.51,3.06,86.76,56.32,13.22,48.25,0.02,35.00
Duration,-141.37,-3.39,86.77,56.22,13.21,48.86,0.02,57.14
Windup,228.68,0.23,86.94,56.31,13.04,48.17,0.02,40.00
Recoil,-142.71,-0.71,87.06,56.36,12.92,47.79,0.02,53.33
