Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,26.09,0.26,13.08,64.65,0.00,0.00,86.92,62.68
Hunter,-3.49,-0.03,13.02,62.15,0.00,0.00,86.98,63.06
Guardian Shield,-280.94,-2.81,13.34,61.26,0.00,0.00,86.66,63.20
Recall,6.20,0.06,13.45,64.37,0.00,0.00,86.55,62.71
Recall Hunter,4.12,0.04,13.27,63.60,0.00,0.00,86.73,62.84
Scorpion,14.98,0.15,13.21,66.28,0.00,0.00,86.79,62.43
Beetle,-1.62,-0.02,13.34,62.35,0.00,0.00,86.66,63.03
Blink,-3.28,-0.03,13.23,61.45,0.00,0.00,86.77,63.17
Blink Hunter,0.01,0.00,13.45,60.50,0.00,0.00,86.55,63.32
Gunbot,3.31,0.03,13.22,62.57,0.00,0.00,86.78,62.99
Missilebot,1.21,0.01,13.30,62.67,0.00,0.00,86.70,62.98
Wasp,3.32,0.03,13.48,64.26,0.00,0.00,86.52,62.73
Hornet,-9.08,-0.09,13.43,60.81,0.00,0.00,86.57,63.27
Knight,13.27,0.13,13.41,63.19,0.00,0.00,86.59,62.90
Crossbow,2.34,0.02,13.18,64.05,0.00,0.00,86.82,62.77
Ballista,-22.79,-0.23,7.10,56.40,0.00,0.00,92.90,63.44
King Crab,18.53,0.19,7.12,59.62,0.00,0.00,92.88,63.19
Crusader,79.37,0.79,7.06,65.34,0.00,0.00,92.94,62.75
Bomber,-36.10,-0.36,7.17,61.00,0.00,0.00,92.83,63.09
Shocker,-22.35,-0.22,7.07,59.12,0.00,0.00,92.93,63.23
Recall Shocker,-11.09,-0.11,7.07,61.98,0.00,0.00,92.93,63.01
Mortar,-29.38,-0.29,7.03,68.49,0.00,0.00,92.97,62.52
Swift Shocker,-57.92,-0.58,6.97,57.29,0.00,0.00,93.03,63.36
Heavy Hunter,9.47,0.09,7.17,65.32,0.00,0.00,92.83,62.75
Destroyer,-16.75,-0.17,7.13,59.98,0.00,0.00,92.87,63.16
Raider,29.01,0.29,7.12,53.52,0.00,0.00,92.88,63.66
Turret,10.28,0.10,7.20,64.56,0.00,0.00,92.80,62.81
Heavy Ballista,-79.17,-0.79,8.12,60.04,0.00,0.00,91.88,63.19
Gargantua,10.26,0.10,8.03,74.51,0.00,0.00,91.97,61.93
Sniper,-60.87,-0.61,8.15,62.18,0.00,0.00,91.85,63.00
Advanced Blink,12.78,0.13,8.25,61.28,0.00,0.00,91.75,63.09
Matter,0.32,0.16,95.31,63.88,4.68,43.84,0.01,33.33
Energy,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,62.94
Bandwidth,-11.42,-0.11,95.50,63.76,4.50,45.45,0.01,60.00
Health,0.03,0.17,95.53,63.79,4.46,44.71,0.01,55.56
Radius,-34.54,-0.28,95.44,63.79,4.56,45.01,0.00,0.00
Speed,5.08,0.32,95.45,63.74,4.55,46.09,0.00,50.00
Damage,0.15,0.15,95.58,63.76,4.42,45.21,0.01,50.00
Windup,-153.97,-0.15,95.51,63.76,4.48,45.37,0.00,0.00
Recoil,-119.52,-0.30,95.48,63.77,4.51,45.30,0.01,85.71
Reload,-207.49,-0.10,95.51,63.76,4.48,45.38,0.00,50.00
WeaponSpeed,0.00,-0.02,0.00,0.00,0.00,0.00,100.00,62.94
Range,9.53,0.95,95.35,63.79,4.65,45.60,0.01,16.67
Splash,0.00,0.08,0.00,0.00,0.00,0.00,100.00,62.94
Advancedbot,-7.13,-0.07,8.47,67.44,0.00,0.00,91.53,62.52
Behemoth,17.84,0.18,8.29,68.75,0.00,0.00,91.71,62.41
Advanced Mortar,-33.57,-0.34,8.22,77.32,0.00,0.00,91.78,61.65
Blaster,-43.83,-0.44,8.21,69.40,0.00,0.00,91.79,62.36
Butterfly,-24.38,-0.24,3.39,55.80,0.00,0.00,96.61,63.19
Dragonfly,-27.75,-0.28,3.40,55.84,0.00,0.00,96.60,63.19
Falcon,-14.64,-0.15,3.46,58.47,0.00,0.00,96.54,63.10
Airship,-4.27,-0.04,3.49,58.02,0.00,0.00,96.51,63.12
Advanced Recall,-11.62,-0.12,3.46,57.43,0.00,0.00,96.54,63.14
Mammoth,41.53,0.42,3.42,61.18,0.00,0.00,96.58,63.00
Stinger,-34.86,-0.35,3.45,50.61,0.00,0.00,96.55,63.38
Flak Turret,-13.25,-0.13,3.53,58.54,0.00,0.00,96.47,63.10
Bulwark,-6.27,-0.06,3.07,64.08,0.00,0.00,96.93,62.90
Katbus,-48.59,-0.49,3.02,62.49,0.00,0.00,96.98,62.95
Locust,-7.67,-0.08,3.11,55.67,0.00,0.00,96.89,63.17
Kraken,-818.41,-8.18,1.45,86.64,0.00,0.00,98.55,62.59
Predator,-17.52,-0.18,3.20,54.98,0.00,0.00,96.80,63.20
Valkyrie,13.44,0.13,3.16,59.23,0.00,0.00,96.84,63.06
Artillery,-52.42,-0.52,3.21,57.05,0.00,0.00,96.79,63.13
Advanced Destroyer,-52.79,-0.53,3.14,58.55,0.00,0.00,96.86,63.08
Shade,-82.83,-0.83,3.10,56.52,0.00,0.00,96.90,63.14
Ranking,-0.01,-0.80,0.00,0.00,100.00,62.94,0.00,0.00
Aggression,-1.08,-1.08,0.00,0.00,100.00,62.94,0.00,0.00
vs. Crab,32.79,0.33,13.42,60.30,0.00,0.00,86.58,63.35
vs. Hunter,52.73,0.53,13.29,65.69,0.00,0.00,86.71,62.52
vs. Guardian Shield,-101.61,-1.02,12.89,61.77,0.00,0.00,87.11,63.11
vs. Recall,23.96,0.24,13.35,58.47,0.00,0.00,86.65,63.63
vs. Recall Hunter,53.48,0.53,13.24,65.93,0.00,0.00,86.76,62.48
vs. Scorpion,13.69,0.14,13.34,59.17,0.00,0.00,86.66,63.52
vs. Beetle,50.61,0.51,12.93,64.77,0.00,0.00,87.07,62.67
vs. Blink,26.09,0.26,13.33,60.51,0.00,0.00,86.67,63.31
vs. Blink Hunter,56.76,0.57,13.52,68.88,0.00,0.00,86.48,62.01
vs. Gunbot,12.98,0.13,13.20,59.98,0.00,0.00,86.80,63.39
vs. Missilebot,53.20,0.53,13.22,66.01,0.00,0.00,86.78,62.47
vs. Wasp,9.65,0.10,13.27,60.29,0.00,0.00,86.73,63.34
vs. Hornet,56.34,0.56,13.48,67.87,0.00,0.00,86.52,62.17
vs. Knight,60.49,0.60,13.35,59.90,0.00,0.00,86.65,63.41
vs. Crossbow,107.78,1.08,13.45,65.07,0.00,0.00,86.55,62.61
vs. Ballista,87.75,0.88,5.99,67.69,0.00,0.00,94.01,62.63
vs. King Crab,177.51,1.78,6.04,72.79,0.00,0.00,93.96,62.30
vs. Crusader,155.33,1.55,5.98,66.60,0.00,0.00,94.02,62.71
vs. Bomber,23.53,0.24,5.97,67.19,0.00,0.00,94.03,62.67
vs. Shocker,38.34,0.38,5.82,65.36,0.00,0.00,94.18,62.79
vs. Recall Shocker,-15.71,-0.16,5.91,61.23,0.00,0.00,94.09,63.05
vs. Mortar,-110.48,-1.10,5.87,47.22,0.00,0.00,94.13,63.92
vs. Swift Shocker,125.34,1.25,5.91,69.78,0.00,0.00,94.09,62.51
vs. Heavy Hunter,141.36,1.41,5.97,70.10,0.00,0.00,94.03,62.48
vs. Destroyer,116.36,1.16,5.91,66.99,0.00,0.00,94.09,62.68
vs. Raider,168.10,1.68,5.89,75.27,0.00,0.00,94.11,62.17
vs. Turret,-58.73,-0.59,5.93,54.63,0.00,0.00,94.07,63.46
vs. Heavy Ballista,-172.31,-1.72,6.40,52.40,0.00,0.00,93.60,63.66
vs. Gargantua,57.04,0.57,6.39,54.53,0.00,0.00,93.61,63.51
vs. Sniper,-90.12,-0.90,6.59,51.70,0.00,0.00,93.41,63.73
vs. Advanced Blink,156.02,1.56,6.53,68.03,0.00,0.00,93.47,62.58
vs. Assaultbot,-11.53,-0.12,6.61,49.18,0.00,0.00,93.39,63.91
vs. Advancedbot,15.63,0.16,6.50,60.06,0.00,0.00,93.50,63.14
vs. Behemoth,12.43,0.12,6.40,56.85,0.00,0.00,93.60,63.35
vs. Advanced Mortar,-121.31,-1.21,6.50,44.04,0.00,0.00,93.50,64.25
vs. Blaster,-118.60,-1.19,6.48,48.97,0.00,0.00,93.52,63.91
vs. Butterfly,-59.99,-0.60,9.02,63.14,0.00,0.00,90.98,62.92
vs. Dragonfly,-77.72,-0.78,9.10,63.68,0.00,0.00,90.90,62.86
vs. Falcon,-94.58,-0.95,8.76,55.08,0.00,0.00,91.24,63.69
vs. Airship,-53.96,-0.54,8.83,66.04,0.00,0.00,91.17,62.64
vs. Advanced Recall,36.60,0.37,9.00,65.14,0.00,0.00,91.00,62.72
vs. Mammoth,119.85,1.20,9.09,65.01,0.00,0.00,90.91,62.73
vs. Stinger,149.55,1.50,8.81,72.84,0.00,0.00,91.19,61.98
vs. Flak Turret,0.42,0.00,8.76,71.71,0.00,0.00,91.24,62.10
vs. Bulwark,-204.65,-2.05,6.39,47.44,0.00,0.00,93.61,63.99
vs. Katbus,-246.12,-2.46,6.40,46.95,0.00,0.00,93.60,64.03
vs. Locust,-38.95,-0.39,6.58,61.58,0.00,0.00,93.42,63.03
vs. Kraken,-2432.81,-24.33,3.02,9.91,0.00,0.00,96.98,64.59
vs. Predator,100.34,1.00,6.56,68.49,0.00,0.00,93.44,62.55
vs. Valkyrie,-62.51,-0.63,6.47,64.32,0.00,0.00,93.53,62.84
vs. Artillery,-100.07,-1.00,6.56,52.01,0.00,0.00,93.44,63.70
vs. Advanced Destroyer,44.37,0.44,6.50,60.92,0.00,0.00,93.50,63.08
vs. Shade,-166.69,-1.67,6.73,49.82,0.00,0.00,93.27,63.88
vs. Ranking,-0.01,-0.76,0.00,0.00,100.00,62.94,0.00,0.00
vs. Aggression,-0.76,-0.76,0.00,0.00,100.00,62.94,0.00,0.00
