Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,13.92,0.14,13.29,47.85,0.00,0.00,86.71,44.75
Hunter,-15.01,-0.15,13.03,43.98,0.00,0.00,86.97,45.34
Guardian Shield,-134.42,-1.34,13.09,42.00,0.00,0.00,86.91,45.64
Recall,-1.02,-0.01,13.31,48.77,0.00,0.00,86.69,44.61
Recall Hunter,-12.77,-0.13,13.42,44.06,0.00,0.00,86.58,45.34
Scorpion,9.00,0.09,13.31,50.21,0.00,0.00,86.69,44.39
Beetle,-13.83,-0.14,13.57,45.22,0.00,0.00,86.43,45.16
Blink,-5.77,-0.06,13.36,45.62,0.00,0.00,86.64,45.09
Blink Hunter,-15.28,-0.15,13.37,40.70,0.00,0.00,86.63,45.85
Gunbot,-1.41,-0.01,13.41,47.36,0.00,0.00,86.59,44.83
Missilebot,-13.12,-0.13,13.41,44.65,0.00,0.00,86.59,45.24
Wasp,0.69,0.01,13.29,44.63,0.00,0.00,86.71,45.25
Hornet,-22.20,-0.22,13.34,40.72,0.00,0.00,86.66,45.85
Knight,0.10,0.00,13.29,47.71,0.00,0.00,86.71,44.77
Crossbow,-31.69,-0.32,13.15,43.85,0.00,0.00,86.85,45.36
Matter,-0.41,-0.52,89.78,45.06,10.21,46.07,0.01,33.33
Energy,-0.96,-1.20,89.75,45.11,10.23,45.65,0.02,45.45
Bandwidth,-9.43,-0.47,90.03,45.07,9.96,46.05,0.01,52.94
Health,0.03,0.28,89.70,45.02,10.29,46.46,0.01,40.00
Radius,-58.04,-1.04,89.61,45.07,10.38,45.97,0.01,31.25
Speed,21.45,1.35,89.80,45.07,10.19,45.97,0.02,57.89
Damage,1.58,2.05,89.87,45.02,10.11,46.48,0.02,50.00
Windup,-1197.39,-1.20,89.75,45.04,10.23,46.28,0.02,40.00
Recoil,-613.17,-1.53,89.75,45.07,10.24,46.00,0.01,23.53
Reload,-933.36,-1.40,89.68,45.09,10.31,45.80,0.01,57.14
WeaponSpeed,-2.76,-0.55,89.66,45.08,10.32,45.96,0.02,37.50
Range,56.65,5.66,89.71,45.11,10.27,45.68,0.02,52.38
Splash,53.30,1.33,89.89,45.06,10.08,46.09,0.02,38.71
King Crab,-37.94,-0.38,6.09,43.30,0.00,0.00,93.91,45.29
Crusader,8.85,0.09,6.00,49.06,0.00,0.00,94.00,44.92
Bomber,-40.93,-0.41,6.10,44.61,0.00,0.00,93.90,45.20
Shocker,-74.32,-0.74,6.06,42.27,0.00,0.00,93.94,45.35
Recall Shocker,-53.86,-0.54,6.10,48.01,0.00,0.00,93.90,44.98
Mortar,-56.35,-0.56,6.08,57.93,0.00,0.00,93.92,44.34
Swift Shocker,-90.52,-0.91,6.05,39.63,0.00,0.00,93.95,45.52
Heavy Hunter,-36.45,-0.36,6.05,42.75,0.00,0.00,93.95,45.32
Destroyer,-43.22,-0.43,6.04,43.28,0.00,0.00,93.96,45.29
Raider,-53.74,-0.54,6.21,28.87,0.00,0.00,93.79,46.24
Turret,-34.77,-0.35,5.84,53.05,0.00,0.00,94.16,44.68
Heavy Ballista,-138.36,-1.38,4.70,50.18,0.00,0.00,95.30,44.92
Gargantua,-41.49,-0.41,4.56,60.83,0.00,0.00,95.44,44.42
Sniper,-60.80,-0.61,4.92,54.35,0.00,0.00,95.08,44.69
Advanced Blink,-13.67,-0.14,4.77,48.58,0.00,0.00,95.23,44.99
Assaultbot,-9.86,-0.10,4.82,56.40,0.00,0.00,95.18,44.60
Advancedbot,-8.14,-0.08,4.81,56.47,0.00,0.00,95.19,44.59
Behemoth,12.12,0.12,4.74,56.83,0.00,0.00,95.26,44.58
Advanced Mortar,-46.30,-0.46,4.85,64.11,0.00,0.00,95.15,44.20
Blaster,-57.40,-0.57,4.79,57.30,0.00,0.00,95.21,44.55
Butterfly,-49.56,-0.50,5.94,42.04,0.00,0.00,94.06,45.36
Dragonfly,-51.91,-0.52,6.12,42.63,0.00,0.00,93.88,45.33
Falcon,-36.67,-0.37,6.06,48.21,0.00,0.00,93.94,44.97
Airship,-45.92,-0.46,6.09,44.13,0.00,0.00,93.91,45.23
Advanced Recall,-23.30,-0.23,6.07,42.84,0.00,0.00,93.93,45.32
Mammoth,-4.56,-0.05,6.16,45.81,0.00,0.00,93.84,45.12
Stinger,-77.07,-0.77,6.02,31.69,0.00,0.00,93.98,46.03
Flak Turret,-74.78,-0.75,6.04,36.73,0.00,0.00,93.96,45.71
Bulwark,-65.55,-0.66,1.53,55.58,0.00,0.00,98.47,45.00
Katbus,-81.37,-0.81,1.55,54.55,0.00,0.00,98.45,45.02
Locust,-12.05,-0.12,1.55,43.34,0.00,0.00,98.45,45.19
Kraken,-843.62,-8.44,0.63,85.30,0.00,0.00,99.37,44.91
Predator,-38.50,-0.39,1.61,47.02,0.00,0.00,98.39,45.14
Valkyrie,-26.37,-0.26,1.57,50.25,0.00,0.00,98.43,45.08
Artillery,-62.15,-0.62,1.61,49.17,0.00,0.00,98.39,45.10
Advanced Destroyer,-33.04,-0.33,1.58,51.62,0.00,0.00,98.42,45.06
Shade,-68.25,-0.68,1.50,48.40,0.00,0.00,98.50,45.12
Ranking,0.01,1.12,0.00,0.00,100.00,45.17,0.00,0.00
Aggression,0.79,0.79,0.00,0.00,100.00,45.17,0.00,0.00
vs. Crab,15.57,0.16,13.23,40.37,0.00,0.00,86.77,45.90
vs. Hunter,64.80,0.65,13.20,50.01,0.00,0.00,86.80,44.43
vs. Guardian Shield,117.43,1.17,13.07,44.99,0.00,0.00,86.93,45.19
vs. Recall,15.04,0.15,13.36,38.59,0.00,0.00,86.64,46.18
vs. Recall Hunter,58.57,0.59,13.36,50.75,0.00,0.00,86.64,44.30
vs. Scorpion,9.09,0.09,13.56,39.03,0.00,0.00,86.44,46.13
vs. Beetle,60.93,0.61,13.49,48.97,0.00,0.00,86.51,44.57
vs. Blink,20.17,0.20,13.35,41.36,0.00,0.00,86.65,45.75
vs. Blink Hunter,71.59,0.72,13.25,54.14,0.00,0.00,86.75,43.79
vs. Gunbot,16.30,0.16,13.32,43.26,0.00,0.00,86.68,45.46
vs. Missilebot,64.64,0.65,13.11,49.73,0.00,0.00,86.89,44.48
vs. Wasp,6.73,0.07,13.39,42.94,0.00,0.00,86.61,45.51
vs. Hornet,67.43,0.67,13.29,53.30,0.00,0.00,86.71,43.92
vs. Knight,-30.13,-0.30,13.32,34.56,0.00,0.00,86.68,46.80
vs. Crossbow,52.80,0.53,13.30,45.83,0.00,0.00,86.70,45.06
vs. Ballista,70.14,0.70,5.89,48.61,0.00,0.00,94.11,44.95
vs. King Crab,-21.91,-0.22,5.96,44.54,0.00,0.00,94.04,45.21
vs. Crusader,-71.92,-0.72,5.84,36.93,0.00,0.00,94.16,45.68
vs. Bomber,16.66,0.17,5.93,46.88,0.00,0.00,94.07,45.06
vs. Shocker,19.99,0.20,5.88,46.37,0.00,0.00,94.12,45.09
vs. Recall Shocker,-44.20,-0.44,5.88,40.12,0.00,0.00,94.12,45.48
vs. Mortar,-90.61,-0.91,5.89,28.04,0.00,0.00,94.11,46.24
vs. Swift Shocker,90.92,0.91,5.86,48.85,0.00,0.00,94.14,44.94
vs. Heavy Hunter,117.58,1.18,5.89,52.58,0.00,0.00,94.11,44.70
vs. Destroyer,39.97,0.40,5.96,44.57,0.00,0.00,94.04,45.20
vs. Raider,190.33,1.90,5.82,62.68,0.00,0.00,94.18,44.08
vs. Turret,-69.20,-0.69,5.84,32.63,0.00,0.00,94.16,45.94
vs. Heavy Ballista,-148.48,-1.48,4.07,34.89,0.00,0.00,95.93,45.60
vs. Gargantua,-142.40,-1.42,3.96,25.98,0.00,0.00,96.04,45.96
vs. Sniper,-68.32,-0.68,3.98,33.48,0.00,0.00,96.02,45.65
vs. Advanced Blink,10.05,0.10,3.99,40.89,0.00,0.00,96.01,45.34
vs. Assaultbot,-8.51,-0.09,4.01,31.42,0.00,0.00,95.99,45.74
vs. Advancedbot,15.07,0.15,4.07,37.33,0.00,0.00,95.93,45.50
vs. Behemoth,-91.24,-0.91,3.99,30.33,0.00,0.00,96.01,45.78
vs. Advanced Mortar,-75.91,-0.76,3.99,24.92,0.00,0.00,96.01,46.01
vs. Blaster,-71.45,-0.71,4.00,30.18,0.00,0.00,96.00,45.79
vs. Butterfly,-35.77,-0.36,8.79,44.85,0.00,0.00,91.21,45.20
vs. Dragonfly,-54.96,-0.55,8.82,44.12,0.00,0.00,91.18,45.27
vs. Falcon,-73.91,-0.74,8.94,34.29,0.00,0.00,91.06,46.23
vs. Airship,-14.37,-0.14,8.94,48.33,0.00,0.00,91.06,44.85
vs. Advanced Recall,24.57,0.25,8.82,44.19,0.00,0.00,91.18,45.26
vs. Mammoth,-90.01,-0.90,8.84,35.73,0.00,0.00,91.16,46.08
vs. Stinger,181.55,1.82,8.74,58.35,0.00,0.00,91.26,43.90
vs. Flak Turret,66.02,0.66,8.88,59.59,0.00,0.00,91.12,43.76
vs. Bulwark,-133.36,-1.33,4.06,30.42,0.00,0.00,95.94,45.79
vs. Katbus,-164.11,-1.64,4.09,30.60,0.00,0.00,95.91,45.79
vs. Locust,-23.99,-0.24,4.10,44.04,0.00,0.00,95.90,45.21
vs. Kraken,-1042.96,-10.43,1.58,6.83,0.00,0.00,98.42,45.78
vs. Predator,72.52,0.73,4.04,49.78,0.00,0.00,95.96,44.97
vs. Valkyrie,-16.38,-0.16,4.04,45.84,0.00,0.00,95.96,45.14
vs. Artillery,-71.33,-0.71,4.11,35.72,0.00,0.00,95.89,45.57
vs. Advanced Destroyer,-16.54,-0.17,4.13,39.95,0.00,0.00,95.87,45.39
vs. Shade,-81.11,-0.81,4.14,38.08,0.00,0.00,95.86,45.47
vs. Ranking,0.01,0.56,0.00,0.00,100.00,45.17,0.00,0.00
vs. Aggression,0.56,0.56,0.00,0.00,100.00,45.17,0.00,0.00
