Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,37.92,0.38,7.17,52.38,0.00,0.00,92.83,45.69
Hunter,5.49,0.05,7.13,39.70,0.00,0.00,92.87,46.66
Guardian Shield,-98.15,-0.98,7.06,42.80,0.00,0.00,92.94,46.42
Recall,28.01,0.28,7.14,57.00,0.00,0.00,92.86,45.33
Recall Hunter,6.27,0.06,7.20,37.40,0.00,0.00,92.80,46.85
Scorpion,22.71,0.23,7.16,55.98,0.00,0.00,92.84,45.41
Matter,-0.23,-0.11,95.44,46.08,4.56,47.92,0.01,59.38
Energy,-0.35,-0.17,95.35,46.08,4.64,47.91,0.01,61.90
Bandwidth,1.35,0.03,95.54,46.08,4.45,48.04,0.01,37.50
Health,0.07,0.80,95.39,46.07,4.60,48.12,0.01,48.00
Radius,-72.33,-0.69,95.43,46.08,4.56,47.97,0.00,52.63
Speed,5.13,0.40,95.42,46.08,4.57,47.93,0.01,28.00
Damage,1.03,0.82,95.45,46.08,4.54,48.05,0.01,61.29
Duration,-97.24,-1.07,95.41,46.08,4.58,48.06,0.01,37.14
Windup,-188.16,-0.19,95.42,46.07,4.57,48.16,0.01,39.29
Recoil,-26.90,-0.13,95.41,46.07,4.59,48.13,0.01,43.48
WeaponSpeed,0.28,0.03,95.47,46.09,4.52,47.87,0.01,54.29
Range,16.43,1.64,95.36,46.08,4.63,48.04,0.01,34.48
Splash,0.00,0.07,0.00,0.00,0.00,0.00,100.00,46.17
Blink,26.53,0.27,7.12,52.68,0.00,0.00,92.88,45.67
Blink Hunter,0.98,0.01,7.11,32.80,0.00,0.00,92.89,47.19
Gunbot,14.56,0.15,7.08,56.18,0.00,0.00,92.92,45.40
Missilebot,6.47,0.06,7.13,39.79,0.00,0.00,92.87,46.66
Wasp,9.96,0.10,7.14,49.95,0.00,0.00,92.86,45.88
Hornet,-4.79,-0.05,7.17,33.17,0.00,0.00,92.83,47.17
Knight,60.88,0.61,7.15,57.00,0.00,0.00,92.85,45.33
Crossbow,7.47,0.07,7.10,39.38,0.00,0.00,92.90,46.69
Ballista,32.49,0.32,4.29,45.16,0.00,0.00,95.71,46.21
King Crab,58.07,0.58,4.27,46.36,0.00,0.00,95.73,46.16
Crusader,101.52,1.02,4.29,50.93,0.00,0.00,95.71,45.95
Bomber,14.13,0.14,4.23,48.46,0.00,0.00,95.77,46.07
Shocker,40.33,0.40,4.26,48.46,0.00,0.00,95.74,46.07
Recall Shocker,38.56,0.39,4.21,52.42,0.00,0.00,95.79,45.89
Mortar,56.52,0.57,4.28,63.22,0.00,0.00,95.72,45.41
Swift Shocker,37.04,0.37,4.18,44.72,0.00,0.00,95.82,46.23
