Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,15.78,0.16,13.21,64.12,0.00,0.00,86.79,62.23
Hunter,1.64,0.02,13.36,62.74,0.00,0.00,86.64,62.44
Guardian Shield,-177.23,-1.77,13.16,60.93,0.00,0.00,86.84,62.72
Recall,-0.52,-0.01,13.13,65.33,0.00,0.00,86.87,62.05
Recall Hunter,3.15,0.03,13.40,62.10,0.00,0.00,86.60,62.54
Scorpion,10.07,0.10,13.34,66.21,0.00,0.00,86.66,61.91
Beetle,1.00,0.01,13.28,62.99,0.00,0.00,86.72,62.40
Blink,-10.85,-0.11,13.35,61.55,0.00,0.00,86.65,62.62
Blink Hunter,0.41,0.00,13.20,59.05,0.00,0.00,86.80,63.00
Gunbot,-1.69,-0.02,13.45,62.32,0.00,0.00,86.55,62.51
Missilebot,2.90,0.03,13.20,63.02,0.00,0.00,86.80,62.40
Wasp,3.83,0.04,13.30,63.55,0.00,0.00,86.70,62.32
Hornet,-7.90,-0.08,13.32,59.53,0.00,0.00,86.68,62.93
Knight,-16.61,-0.17,13.59,61.71,0.00,0.00,86.41,62.60
Crossbow,1.49,0.01,13.18,62.20,0.00,0.00,86.82,62.52
Ballista,-11.10,-0.11,7.01,56.83,0.00,0.00,92.99,62.91
King Crab,0.47,0.00,6.98,58.71,0.00,0.00,93.02,62.76
Crusader,26.94,0.27,6.97,62.10,0.00,0.00,93.03,62.51
Bomber,-14.44,-0.14,6.96,61.37,0.00,0.00,93.04,62.56
Shocker,-15.01,-0.15,7.20,60.04,0.00,0.00,92.80,62.67
Recall Shocker,-7.84,-0.08,7.06,62.46,0.00,0.00,92.94,62.48
Mortar,-11.84,-0.12,7.03,67.63,0.00,0.00,92.97,62.09
Swift Shocker,-46.21,-0.46,7.08,56.82,0.00,0.00,92.92,62.91
Heavy Hunter,6.15,0.06,7.10,62.54,0.00,0.00,92.90,62.48
Destroyer,-0.88,-0.01,7.03,60.05,0.00,0.00,92.97,62.67
Raider,11.42,0.11,7.12,51.35,0.00,0.00,92.88,63.33
Turret,1.69,0.02,7.20,62.00,0.00,0.00,92.80,62.52
Heavy Ballista,-53.15,-0.53,8.24,60.08,0.00,0.00,91.76,62.70
Gargantua,19.23,0.19,8.23,71.88,0.00,0.00,91.77,61.64
Sniper,-25.55,-0.26,8.40,62.86,0.00,0.00,91.60,62.45
Advanced Blink,12.50,0.13,8.16,57.87,0.00,0.00,91.84,62.89
Assaultbot,-6.97,-0.07,8.33,68.75,0.00,0.00,91.67,61.91
Advancedbot,-0.31,-0.00,8.21,70.59,0.00,0.00,91.79,61.76
Matter,0.40,1.01,87.36,64.64,12.62,47.61,0.02,23.53
Energy,0.00,0.06,0.00,0.00,0.00,0.00,100.00,62.48
Bandwidth,6.24,0.31,87.64,64.54,12.33,47.87,0.03,52.00
Health,0.02,1.44,87.44,64.60,12.54,47.77,0.03,45.45
Radius,-59.38,-1.01,87.30,64.57,12.68,48.17,0.02,36.84
Speed,25.52,2.11,87.35,64.58,12.64,47.96,0.02,64.29
Damage,0.37,1.03,87.34,64.72,12.64,47.08,0.02,36.84
Windup,-385.70,-0.39,87.35,64.56,12.64,48.16,0.01,36.36
Recoil,-225.02,-1.13,87.56,64.54,12.42,47.94,0.03,59.09
Reload,-276.78,-0.28,87.38,64.64,12.60,47.48,0.02,58.82
WeaponSpeed,0.00,-0.28,0.00,0.00,0.00,0.00,100.00,62.48
Range,17.56,1.05,87.39,64.58,12.60,47.90,0.01,83.33
Splash,0.00,-0.09,0.00,0.00,0.00,0.00,100.00,62.48
Advanced Mortar,-0.42,-0.00,8.30,74.50,0.00,0.00,91.70,61.39
Blaster,-15.90,-0.16,8.41,71.43,0.00,0.00,91.59,61.66
Butterfly,-13.77,-0.14,3.37,55.51,0.00,0.00,96.63,62.72
Dragonfly,2.58,0.03,3.29,56.77,0.00,0.00,96.71,62.68
Falcon,-13.39,-0.13,3.41,57.58,0.00,0.00,96.59,62.65
Airship,6.82,0.07,3.25,60.58,0.00,0.00,96.75,62.54
Advanced Recall,-0.07,-0.00,3.41,58.60,0.00,0.00,96.59,62.62
Mammoth,-0.01,-0.00,3.33,58.67,0.00,0.00,96.67,62.61
Stinger,-10.26,-0.10,3.39,50.54,0.00,0.00,96.61,62.90
Flak Turret,-11.23,-0.11,3.46,56.73,0.00,0.00,96.54,62.69
Bulwark,-8.57,-0.09,3.10,64.15,0.00,0.00,96.90,62.43
Katbus,-18.88,-0.19,3.02,61.46,0.00,0.00,96.98,62.51
Locust,0.18,0.00,3.15,52.22,0.00,0.00,96.85,62.82
Kraken,-200.01,-2.00,1.28,85.73,0.00,0.00,98.72,62.18
Predator,-3.66,-0.04,3.21,54.40,0.00,0.00,96.79,62.75
Valkyrie,8.94,0.09,3.11,57.36,0.00,0.00,96.89,62.65
Artillery,-23.19,-0.23,3.09,56.21,0.00,0.00,96.91,62.68
Advanced Destroyer,-14.74,-0.15,3.09,58.77,0.00,0.00,96.91,62.60
Shade,-32.26,-0.32,2.95,56.70,0.00,0.00,97.05,62.66
Ranking,-0.00,-0.25,0.00,0.00,100.00,62.48,0.00,0.00
Aggression,-0.47,-0.47,0.00,0.00,100.00,62.48,0.00,0.00
vs. Crab,7.28,0.07,13.29,58.96,0.00,0.00,86.71,63.02
vs. Hunter,28.28,0.28,13.30,66.84,0.00,0.00,86.70,61.81
vs. Guardian Shield,-181.09,-1.81,12.93,61.27,0.00,0.00,87.07,62.66
vs. Recall,1.02,0.01,13.47,55.85,0.00,0.00,86.53,63.51
vs. Recall Hunter,29.09,0.29,13.33,66.57,0.00,0.00,86.67,61.85
vs. Scorpion,0.14,0.00,13.27,56.05,0.00,0.00,86.73,63.47
vs. Beetle,27.84,0.28,13.18,66.73,0.00,0.00,86.82,61.84
vs. Blink,4.62,0.05,13.35,59.19,0.00,0.00,86.65,62.99
vs. Blink Hunter,31.49,0.31,13.26,69.61,0.00,0.00,86.74,61.39
vs. Gunbot,1.63,0.02,13.36,58.49,0.00,0.00,86.64,63.10
vs. Missilebot,27.79,0.28,13.30,67.31,0.00,0.00,86.70,61.74
vs. Wasp,1.65,0.02,13.33,58.49,0.00,0.00,86.67,63.09
vs. Hornet,34.60,0.35,13.42,68.56,0.00,0.00,86.58,61.54
vs. Knight,11.84,0.12,13.20,57.10,0.00,0.00,86.80,63.30
vs. Crossbow,66.88,0.67,13.27,66.88,0.00,0.00,86.73,61.81
vs. Ballista,119.40,1.19,5.92,70.50,0.00,0.00,94.08,61.98
vs. King Crab,82.56,0.83,5.98,67.77,0.00,0.00,94.02,62.15
vs. Crusader,32.20,0.32,5.97,62.56,0.00,0.00,94.03,62.48
vs. Bomber,7.12,0.07,5.88,67.53,0.00,0.00,94.12,62.17
vs. Shocker,111.76,1.12,5.99,68.53,0.00,0.00,94.01,62.10
vs. Recall Shocker,88.85,0.89,5.84,65.95,0.00,0.00,94.16,62.27
vs. Mortar,6.26,0.06,6.00,55.43,0.00,0.00,94.00,62.93
vs. Swift Shocker,115.10,1.15,5.86,71.43,0.00,0.00,94.14,61.92
vs. Heavy Hunter,79.67,0.80,5.97,70.26,0.00,0.00,94.03,61.99
vs. Destroyer,-92.37,-0.92,5.87,58.72,0.00,0.00,94.13,62.72
vs. Raider,106.14,1.06,5.98,74.72,0.00,0.00,94.02,61.70
