Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,25.12,0.25,13.22,67.60,0.00,0.00,86.78,63.07
Hunter,-3.88,-0.04,13.07,60.22,0.00,0.00,86.93,64.18
Guardian Shield,-82.91,-0.83,13.14,63.86,0.00,0.00,86.86,63.64
Recall,16.82,0.17,13.27,69.36,0.00,0.00,86.73,62.80
Recall Hunter,2.33,0.02,13.23,59.41,0.00,0.00,86.77,64.32
Scorpion,14.93,0.15,13.22,69.74,0.00,0.00,86.78,62.74
Beetle,-5.73,-0.06,13.37,60.70,0.00,0.00,86.63,64.12
Blink,5.97,0.06,13.46,66.33,0.00,0.00,86.54,63.25
Blink Hunter,-2.23,-0.02,13.37,59.05,0.00,0.00,86.63,64.38
Gunbot,6.62,0.07,13.61,67.06,0.00,0.00,86.39,63.13
Missilebot,-2.46,-0.02,13.28,60.24,0.00,0.00,86.72,64.19
Wasp,2.96,0.03,13.24,66.37,0.00,0.00,86.76,63.25
Hornet,-15.47,-0.15,13.26,56.87,0.00,0.00,86.74,64.71
Knight,17.08,0.17,13.49,67.92,0.00,0.00,86.51,63.00
Crossbow,0.81,0.01,13.20,60.25,0.00,0.00,86.80,64.19
Ballista,-36.09,-0.36,7.10,57.23,0.00,0.00,92.90,64.16
King Crab,13.92,0.14,7.03,62.13,0.00,0.00,92.97,63.78
Crusader,64.31,0.64,7.16,66.18,0.00,0.00,92.84,63.47
Bomber,-40.35,-0.40,7.20,61.08,0.00,0.00,92.80,63.87
Shocker,-29.37,-0.29,7.01,60.17,0.00,0.00,92.99,63.93
Recall Shocker,-0.16,-0.00,7.17,63.57,0.00,0.00,92.83,63.67
Mortar,-23.88,-0.24,7.24,71.06,0.00,0.00,92.76,63.09
Swift Shocker,-45.18,-0.45,7.18,59.81,0.00,0.00,92.82,63.96
Heavy Hunter,-27.87,-0.28,6.98,60.11,0.00,0.00,93.02,63.93
