Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,38.84,0.39,7.20,46.09,0.00,0.00,92.80,38.05
Hunter,3.02,0.03,7.20,31.75,0.00,0.00,92.80,39.17
Guardian Shield,-301.82,-3.02,7.06,29.71,0.00,0.00,92.94,39.31
Recall,17.05,0.17,7.13,47.56,0.00,0.00,92.87,37.95
Recall Hunter,1.83,0.02,7.13,28.79,0.00,0.00,92.87,39.39
Scorpion,24.49,0.24,7.11,49.71,0.00,0.00,92.89,37.79
Beetle,3.23,0.03,7.14,32.80,0.00,0.00,92.86,39.08
Blink,27.02,0.27,7.11,44.80,0.00,0.00,92.89,38.16
Matter,-0.01,-0.00,95.35,38.18,4.64,47.88,0.01,60.00
Energy,-0.24,-0.12,95.36,38.17,4.63,48.14,0.01,51.85
Bandwidth,1.19,0.02,95.53,38.16,4.46,48.72,0.01,37.14
Health,0.05,0.45,95.40,38.18,4.60,47.94,0.01,52.00
Radius,-56.11,-0.45,95.34,38.17,4.65,48.17,0.01,36.36
Speed,1.67,0.13,95.40,38.17,4.59,48.16,0.01,54.05
Damage,1.06,0.58,95.42,38.19,4.57,47.88,0.01,31.25
Duration,-61.52,-0.77,95.42,38.17,4.58,48.32,0.01,46.15
Windup,-128.96,-0.13,95.39,38.20,4.60,47.66,0.01,41.67
Recoil,-5.23,-0.03,95.35,38.16,4.64,48.43,0.01,45.16
WeaponSpeed,-0.03,-0.01,95.41,38.19,4.59,47.91,0.01,40.00
Range,11.61,1.16,95.38,38.18,4.61,47.99,0.01,48.00
Splash,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,38.63
Gunbot,9.95,0.10,7.10,47.40,0.00,0.00,92.90,37.96
Missilebot,3.02,0.03,7.17,31.45,0.00,0.00,92.83,39.19
Wasp,12.39,0.12,7.14,43.28,0.00,0.00,92.86,38.28
Hornet,-2.21,-0.02,7.15,27.11,0.00,0.00,92.85,39.52
Knight,48.83,0.49,7.12,49.10,0.00,0.00,92.88,37.83
Crossbow,1.62,0.02,7.10,31.24,0.00,0.00,92.90,39.20
Ballista,23.17,0.23,4.24,40.71,0.00,0.00,95.76,38.54
King Crab,66.80,0.67,4.29,42.23,0.00,0.00,95.71,38.47
Crusader,98.21,0.98,4.21,47.79,0.00,0.00,95.79,38.23
Bomber,20.73,0.21,4.17,44.58,0.00,0.00,95.83,38.38
Shocker,32.02,0.32,4.25,44.41,0.00,0.00,95.75,38.38
Recall Shocker,23.46,0.23,4.24,47.89,0.00,0.00,95.76,38.22
Mortar,44.43,0.44,4.23,59.14,0.00,0.00,95.77,37.73
Swift Shocker,35.87,0.36,4.26,40.78,0.00,0.00,95.74,38.54
Heavy Hunter,-6.72,-0.07,4.20,38.18,0.00,0.00,95.80,38.65
Destroyer,32.71,0.33,4.28,44.51,0.00,0.00,95.72,38.37
Raider,3.81,0.04,4.22,29.45,0.00,0.00,95.78,39.04
Turret,-1.77,-0.02,4.25,52.03,0.00,0.00,95.75,38.04
Heavy Ballista,76.92,0.77,2.79,52.80,0.00,0.00,97.21,38.23
Gargantua,51.13,0.51,2.81,60.60,0.00,0.00,97.19,38.00
Sniper,34.23,0.34,2.81,54.89,0.00,0.00,97.19,38.16
Advanced Blink,61.11,0.61,2.85,47.56,0.00,0.00,97.15,38.37
Assaultbot,14.48,0.14,2.89,60.93,0.00,0.00,97.11,37.97
Advancedbot,4.93,0.05,2.86,55.18,0.00,0.00,97.14,38.15
Behemoth,121.26,1.21,2.83,59.40,0.00,0.00,97.17,38.03
Advanced Mortar,22.88,0.23,2.83,64.02,0.00,0.00,97.17,37.89
Blaster,29.81,0.30,2.86,59.05,0.00,0.00,97.14,38.03
Butterfly,13.68,0.14,6.36,41.04,0.00,0.00,93.64,38.47
Dragonfly,2.75,0.03,6.34,40.43,0.00,0.00,93.66,38.51
Falcon,18.64,0.19,6.32,49.58,0.00,0.00,93.68,37.90
Airship,-9.21,-0.09,6.31,40.03,0.00,0.00,93.69,38.54
Advanced Recall,18.40,0.18,6.37,46.79,0.00,0.00,93.63,38.08
Mammoth,104.90,1.05,6.33,49.52,0.00,0.00,93.67,37.90
Stinger,22.57,0.23,6.28,33.24,0.00,0.00,93.72,39.00
Flak Turret,-14.48,-0.14,6.32,31.76,0.00,0.00,93.68,39.10
Bulwark,17.02,0.17,2.84,55.48,0.00,0.00,97.16,38.14
Katbus,77.72,0.78,2.83,55.32,0.00,0.00,97.17,38.15
Locust,3.37,0.03,2.93,40.70,0.00,0.00,97.07,38.57
Kraken,387.33,3.87,1.17,84.58,0.00,0.00,98.83,38.09
Predator,-7.63,-0.08,2.91,38.58,0.00,0.00,97.09,38.64
Valkyrie,-3.63,-0.04,2.88,42.04,0.00,0.00,97.12,38.53
Artillery,33.78,0.34,2.87,51.32,0.00,0.00,97.13,38.26
Advanced Destroyer,29.39,0.29,2.91,46.59,0.00,0.00,97.09,38.40
Shade,34.54,0.35,2.90,49.98,0.00,0.00,97.10,38.29
Ranking,-0.00,-0.09,0.00,0.00,100.00,38.63,0.00,0.00
Aggression,0.03,0.03,0.00,0.00,100.00,38.63,0.00,0.00
vs. Crab,-26.60,-0.27,13.32,32.96,0.00,0.00,86.68,39.51
