Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,22.57,0.23,7.15,60.28,0.00,0.00,92.85,54.75
Hunter,-9.98,-0.10,7.09,51.14,0.00,0.00,92.91,55.45
Guardian Shield,-75.54,-0.76,7.11,57.46,0.00,0.00,92.89,54.96
Recall,-1.80,-0.02,7.12,61.81,0.00,0.00,92.88,54.63
Recall Hunter,-10.44,-0.10,7.18,48.21,0.00,0.00,92.82,55.68
Scorpion,14.04,0.14,7.20,64.13,0.00,0.00,92.80,54.44
Beetle,-9.79,-0.10,7.15,52.78,0.00,0.00,92.85,55.32
Matter,0.07,0.07,95.03,55.57,4.96,46.93,0.01,34.29
Energy,0.00,0.04,0.00,0.00,0.00,0.00,100.00,55.14
Bandwidth,2.58,0.05,95.21,55.55,4.78,46.98,0.01,38.71
Health,0.04,0.49,95.07,55.57,4.92,46.85,0.01,62.50
Radius,-53.94,-0.49,95.08,55.58,4.91,46.61,0.01,45.16
Speed,3.01,0.25,95.02,55.57,4.97,46.95,0.01,48.57
Damage,0.50,0.60,95.05,55.54,4.95,47.43,0.01,47.83
Windup,-167.41,-0.17,95.05,55.56,4.94,47.13,0.01,38.71
Recoil,-83.39,-0.42,95.03,55.57,4.96,46.96,0.01,55.00
Reload,-77.61,-0.39,95.07,55.58,4.92,46.71,0.01,57.58
WeaponSpeed,-0.27,-0.04,95.07,55.56,4.92,47.10,0.01,61.90
Range,14.01,1.12,95.06,55.59,4.93,46.57,0.01,50.00
Splash,0.00,0.02,0.00,0.00,0.00,0.00,100.00,55.14
Blink Hunter,-11.44,-0.11,7.11,44.84,0.00,0.00,92.89,55.93
Gunbot,-0.92,-0.01,7.13,60.59,0.00,0.00,92.87,54.72
Missilebot,-9.67,-0.10,7.17,51.22,0.00,0.00,92.83,55.44
Wasp,5.69,0.06,7.09,60.83,0.00,0.00,92.91,54.71
Hornet,-15.09,-0.15,7.10,47.05,0.00,0.00,92.90,55.76
Knight,2.10,0.02,7.10,61.74,0.00,0.00,92.90,54.64
Crossbow,-22.06,-0.22,7.14,49.97,0.00,0.00,92.86,55.54
Ballista,-25.15,-0.25,4.24,45.62,0.00,0.00,95.76,55.56
King Crab,19.54,0.20,4.25,48.77,0.00,0.00,95.75,55.42
Crusader,52.22,0.52,4.26,53.12,0.00,0.00,95.74,55.23
Bomber,-12.57,-0.13,4.25,51.17,0.00,0.00,95.75,55.32
Shocker,-23.52,-0.24,4.20,48.97,0.00,0.00,95.80,55.41
Recall Shocker,-17.47,-0.17,4.16,52.02,0.00,0.00,95.84,55.28
Mortar,-19.51,-0.20,4.27,61.06,0.00,0.00,95.73,54.88
Swift Shocker,-35.76,-0.36,4.19,46.19,0.00,0.00,95.81,55.53
Heavy Hunter,-18.39,-0.18,4.26,49.25,0.00,0.00,95.74,55.40
Destroyer,-19.67,-0.20,4.20,48.88,0.00,0.00,95.80,55.42
Raider,-21.16,-0.21,4.24,34.57,0.00,0.00,95.76,56.05
