Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,-0.05,-0.00,13.43,50.65,0.00,0.00,86.57,49.57
Hunter,-3.52,-0.04,13.34,48.88,0.00,0.00,86.66,49.85
Guardian Shield,-105.94,-1.06,13.42,49.58,0.00,0.00,86.58,49.74
Recall,0.23,0.00,13.23,53.75,0.00,0.00,86.77,49.11
Recall Hunter,-5.28,-0.05,13.48,47.39,0.00,0.00,86.52,50.08
Scorpion,0.10,0.00,13.15,53.21,0.00,0.00,86.85,49.19
Beetle,-2.68,-0.03,13.35,48.46,0.00,0.00,86.65,49.91
Blink,0.17,0.00,13.36,51.27,0.00,0.00,86.64,49.48
Blink Hunter,-4.71,-0.05,13.12,44.58,0.00,0.00,86.88,50.50
Gunbot,-0.69,-0.01,13.47,51.44,0.00,0.00,86.53,49.45
Missilebot,-4.44,-0.04,13.17,48.47,0.00,0.00,86.83,49.91
Wasp,2.27,0.02,13.29,50.95,0.00,0.00,86.71,49.53
Hornet,-2.98,-0.03,13.29,46.87,0.00,0.00,86.71,50.16
Knight,-1.86,-0.02,13.26,52.18,0.00,0.00,86.74,49.34
Crossbow,-7.80,-0.08,13.25,48.03,0.00,0.00,86.75,49.98
Ballista,-8.93,-0.09,6.08,44.87,0.00,0.00,93.92,50.03
King Crab,-2.92,-0.03,6.06,47.64,0.00,0.00,93.94,49.85
Crusader,-2.89,-0.03,6.03,52.77,0.00,0.00,93.97,49.52
Matter,-0.16,-0.08,94.93,49.87,5.06,46.89,0.01,35.71
Energy,0.12,0.06,94.98,49.92,5.02,45.84,0.00,33.33
Bandwidth,2.09,0.04,95.14,49.90,4.85,46.14,0.01,71.43
Health,0.02,0.29,94.95,49.91,5.04,46.14,0.01,27.27
Radius,-21.91,-0.18,94.96,49.94,5.03,45.54,0.01,27.27
Speed,1.01,0.13,95.01,49.91,4.99,46.09,0.00,50.00
Damage,0.14,0.34,94.95,49.91,5.04,46.14,0.00,33.33
Duration,-5.05,-0.05,94.93,49.89,5.06,46.48,0.01,42.86
Windup,0.00,0.16,0.00,0.00,0.00,0.00,100.00,49.72
Recoil,-0.69,-0.00,95.00,49.88,4.99,46.71,0.01,46.15
WeaponSpeed,0.00,-0.19,0.00,0.00,0.00,0.00,100.00,49.72
Range,-94.77,-0.19,94.96,49.92,5.03,45.88,0.01,58.33
Splash,21.01,0.95,94.91,49.93,5.08,45.81,0.01,40.00
Shocker,-7.42,-0.07,5.96,47.38,0.00,0.00,94.04,49.87
Recall Shocker,-8.24,-0.08,5.97,51.73,0.00,0.00,94.03,49.59
Mortar,-5.00,-0.05,6.08,61.71,0.00,0.00,93.92,48.94
Swift Shocker,-7.60,-0.08,6.01,45.41,0.00,0.00,93.99,49.99
Heavy Hunter,-12.24,-0.12,6.00,44.81,0.00,0.00,94.00,50.03
Destroyer,-8.46,-0.08,6.03,49.32,0.00,0.00,93.97,49.74
Raider,-23.81,-0.24,5.98,32.75,0.00,0.00,94.02,50.80
Turret,-1.33,-0.01,6.06,58.11,0.00,0.00,93.94,49.18
Heavy Ballista,-12.33,-0.12,4.76,54.98,0.00,0.00,95.24,49.46
Gargantua,-3.17,-0.03,4.65,65.53,0.00,0.00,95.35,48.95
Sniper,-1.43,-0.01,4.77,53.58,0.00,0.00,95.23,49.53
Advanced Blink,-2.20,-0.02,4.86,53.76,0.00,0.00,95.14,49.51
Assaultbot,0.56,0.01,4.86,60.67,0.00,0.00,95.14,49.16
Advancedbot,0.20,0.00,4.78,61.22,0.00,0.00,95.22,49.14
Behemoth,3.57,0.04,4.69,61.22,0.00,0.00,95.31,49.15
Advanced Mortar,-7.39,-0.07,4.73,66.24,0.00,0.00,95.27,48.90
Blaster,-1.78,-0.02,4.85,61.08,0.00,0.00,95.15,49.14
Butterfly,-7.85,-0.08,6.11,46.07,0.00,0.00,93.89,49.96
Dragonfly,-8.82,-0.09,6.11,47.65,0.00,0.00,93.89,49.85
Falcon,-8.45,-0.08,5.98,50.05,0.00,0.00,94.02,49.70
Airship,-13.35,-0.13,6.05,47.22,0.00,0.00,93.95,49.88
Advanced Recall,-1.67,-0.02,6.09,47.72,0.00,0.00,93.91,49.85
Mammoth,-2.87,-0.03,6.09,49.68,0.00,0.00,93.91,49.72
Stinger,-2.63,-0.03,6.14,39.99,0.00,0.00,93.86,50.36
Flak Turret,-24.25,-0.24,6.02,41.85,0.00,0.00,93.98,50.22
Bulwark,-5.06,-0.05,1.60,57.52,0.00,0.00,98.40,49.59
Katbus,-23.82,-0.24,1.56,55.71,0.00,0.00,98.44,49.62
Locust,2.30,0.02,1.61,46.74,0.00,0.00,98.39,49.77
Kraken,-169.00,-1.69,0.69,84.27,0.00,0.00,99.31,49.48
Predator,-17.37,-0.17,1.63,46.15,0.00,0.00,98.37,49.78
Valkyrie,-16.72,-0.17,1.57,51.83,0.00,0.00,98.43,49.69
Artillery,-14.55,-0.15,1.64,51.37,0.00,0.00,98.36,49.69
Advanced Destroyer,-9.83,-0.10,1.63,52.99,0.00,0.00,98.37,49.66
Shade,-9.37,-0.09,1.54,52.40,0.00,0.00,98.46,49.68
Ranking,0.00,0.26,0.00,0.00,100.00,49.72,0.00,0.00
Aggression,0.28,0.28,0.00,0.00,100.00,49.72,0.00,0.00
vs. Crab,-7.63,-0.08,13.40,42.12,0.00,0.00,86.60,50.89
vs. Hunter,41.60,0.42,13.23,55.36,0.00,0.00,86.77,48.86
vs. Guardian Shield,146.41,1.46,13.23,50.34,0.00,0.00,86.77,49.63
vs. Recall,2.24,0.02,13.26,42.74,0.00,0.00,86.74,50.79
vs. Recall Hunter,31.07,0.31,13.39,54.75,0.00,0.00,86.61,48.94
vs. Scorpion,0.04,0.00,13.20,42.96,0.00,0.00,86.80,50.75
