Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,7.88,0.08,13.24,66.48,0.00,0.00,86.76,61.64
Hunter,-6.70,-0.07,13.26,58.88,0.00,0.00,86.74,62.80
Guardian Shield,40.11,0.40,12.77,61.78,0.00,0.00,87.23,62.36
Recall,9.38,0.09,13.39,68.09,0.00,0.00,86.61,61.38
Recall Hunter,4.11,0.04,13.39,60.40,0.00,0.00,86.61,62.57
Scorpion,5.27,0.05,13.45,68.44,0.00,0.00,86.55,61.32
Beetle,-5.40,-0.05,13.13,59.35,0.00,0.00,86.87,62.73
Blink,-1.93,-0.02,13.42,64.61,0.00,0.00,86.58,61.92
Blink Hunter,-11.27,-0.11,13.17,55.48,0.00,0.00,86.83,63.31
Gunbot,3.37,0.03,13.36,66.97,0.00,0.00,86.64,61.56
Missilebot,-6.94,-0.07,13.40,59.82,0.00,0.00,86.60,62.66
Wasp,1.37,0.01,13.35,63.61,0.00,0.00,86.65,62.08
Hornet,-14.54,-0.15,13.30,55.84,0.00,0.00,86.70,63.27
Knight,-3.93,-0.04,13.21,65.76,0.00,0.00,86.79,61.75
Crossbow,-14.00,-0.14,13.30,58.68,0.00,0.00,86.70,62.83
Ballista,-56.91,-0.57,2.25,55.48,0.00,0.00,97.75,62.44
King Crab,-69.78,-0.70,2.32,57.83,0.00,0.00,97.68,62.39
Crusader,-56.88,-0.57,2.22,62.22,0.00,0.00,97.78,62.28
Bomber,-29.65,-0.30,2.36,57.52,0.00,0.00,97.64,62.40
Shocker,-38.00,-0.38,2.34,58.43,0.00,0.00,97.66,62.37
Recall Shocker,-47.26,-0.47,2.22,59.46,0.00,0.00,97.78,62.35
Mortar,-47.57,-0.48,2.21,66.60,0.00,0.00,97.79,62.18
Swift Shocker,-54.96,-0.55,2.19,56.97,0.00,0.00,97.81,62.40
Heavy Hunter,-31.91,-0.32,2.25,58.41,0.00,0.00,97.75,62.37
Destroyer,-23.32,-0.23,2.21,60.83,0.00,0.00,97.79,62.31
Raider,-74.19,-0.74,2.29,50.38,0.00,0.00,97.71,62.56
Turret,-77.85,-0.78,2.23,60.07,0.00,0.00,97.77,62.33
Heavy Ballista,-74.13,-0.74,3.04,58.84,0.00,0.00,96.96,62.39
Gargantua,-125.30,-1.25,2.96,64.33,0.00,0.00,97.04,62.22
Sniper,-78.07,-0.78,3.08,58.79,0.00,0.00,96.92,62.39
Advanced Blink,-24.67,-0.25,2.94,55.61,0.00,0.00,97.06,62.48
Assaultbot,-1.74,-0.02,3.07,64.04,0.00,0.00,96.93,62.23
Advancedbot,-8.72,-0.09,3.09,63.26,0.00,0.00,96.91,62.25
Behemoth,-21.86,-0.22,3.08,63.55,0.00,0.00,96.92,62.24
Advanced Mortar,-78.42,-0.78,3.11,65.04,0.00,0.00,96.89,62.19
Blaster,-80.45,-0.80,2.98,62.31,0.00,0.00,97.02,62.28
Butterfly,-69.48,-0.69,10.82,60.17,0.00,0.00,89.18,62.54
Dragonfly,-89.31,-0.89,11.00,58.11,0.00,0.00,89.00,62.80
Falcon,-62.15,-0.62,10.69,64.22,0.00,0.00,89.31,62.05
Airship,-105.55,-1.06,10.80,56.47,0.00,0.00,89.20,62.99
Advanced Recall,-8.31,-0.08,10.90,68.72,0.00,0.00,89.10,61.49
Mammoth,-5.21,-0.05,10.95,70.92,0.00,0.00,89.05,61.22
Stinger,-42.93,-0.43,10.73,57.44,0.00,0.00,89.27,62.86
