Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,21.55,0.22,13.29,51.67,0.00,0.00,86.71,46.91
Hunter,-19.52,-0.20,13.27,45.27,0.00,0.00,86.73,47.89
Guardian Shield,-68.53,-0.69,13.13,45.77,0.00,0.00,86.87,47.81
Recall,-5.39,-0.05,13.21,51.74,0.00,0.00,86.79,46.90
Recall Hunter,-20.47,-0.20,13.20,44.10,0.00,0.00,86.80,48.06
Scorpion,16.14,0.16,13.38,55.20,0.00,0.00,86.62,46.36
Beetle,-19.81,-0.20,13.36,46.22,0.00,0.00,86.64,47.74
Blink,-2.16,-0.02,13.44,49.07,0.00,0.00,86.56,47.30
Blink Hunter,-18.52,-0.19,13.33,41.04,0.00,0.00,86.67,48.54
Gunbot,-0.06,-0.00,13.33,50.53,0.00,0.00,86.67,47.08
Missilebot,-20.28,-0.20,13.43,45.49,0.00,0.00,86.57,47.86
Wasp,6.69,0.07,13.33,48.96,0.00,0.00,86.67,47.32
Hornet,-20.46,-0.20,13.24,41.97,0.00,0.00,86.76,48.39
Knight,8.50,0.09,13.33,52.07,0.00,0.00,86.67,46.84
Crossbow,-39.33,-0.39,13.26,43.87,0.00,0.00,86.74,48.10
Ballista,-67.11,-0.67,3.94,42.06,0.00,0.00,96.06,47.76
King Crab,-20.77,-0.21,4.03,43.20,0.00,0.00,95.97,47.72
Crusader,12.52,0.13,4.05,48.53,0.00,0.00,95.95,47.50
Bomber,-20.84,-0.21,4.07,46.07,0.00,0.00,95.93,47.60
Shocker,-65.49,-0.65,4.04,43.88,0.00,0.00,95.96,47.69
Recall Shocker,-71.86,-0.72,4.08,47.23,0.00,0.00,95.92,47.55
Mortar,-73.34,-0.73,4.09,55.22,0.00,0.00,95.91,47.21
Swift Shocker,-56.23,-0.56,4.06,43.34,0.00,0.00,95.94,47.72
Heavy Hunter,-49.79,-0.50,4.02,44.04,0.00,0.00,95.98,47.69
Destroyer,-69.56,-0.70,4.00,43.56,0.00,0.00,96.00,47.71
Raider,-52.84,-0.53,4.02,33.89,0.00,0.00,95.98,48.11
Turret,-78.28,-0.78,3.99,49.58,0.00,0.00,96.01,47.45
Heavy Ballista,-140.63,-1.41,1.48,50.83,0.00,0.00,98.52,47.49
Gargantua,-165.82,-1.66,1.43,56.39,0.00,0.00,98.57,47.41
Sniper,-84.68,-0.85,1.52,50.59,0.00,0.00,98.48,47.49
