Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Matter,0.17,0.17,95.01,55.44,4.99,47.05,0.01,39.39
Energy,0.00,0.01,0.00,0.00,0.00,0.00,100.00,55.02
Bandwidth,3.67,0.07,95.23,55.41,4.77,47.20,0.01,48.39
Health,0.03,0.62,95.01,55.42,4.98,47.43,0.01,60.71
Radius,-25.36,-0.33,95.03,55.42,4.97,47.38,0.01,48.00
Speed,3.62,0.34,95.01,55.45,4.98,46.88,0.01,48.39
Damage,0.14,0.28,94.99,55.43,5.00,47.18,0.01,53.12
Windup,-29.27,-0.37,95.00,55.45,4.99,46.81,0.01,63.89
Recoil,0.00,0.01,0.00,0.00,0.00,0.00,100.00,55.02
Reload,0.00,0.04,0.00,0.00,0.00,0.00,100.00,55.02
WeaponSpeed,0.00,-0.05,0.00,0.00,0.00,0.00,100.00,55.02
Range,-7.23,-0.01,94.98,55.44,5.01,47.11,0.01,41.03
Splash,0.00,0.02,0.00,0.00,0.00,0.00,100.00,55.02
Hunter,-4.93,-0.05,7.14,52.32,0.00,0.00,92.86,55.23
Guardian Shield,182.22,1.82,7.10,55.23,0.00,0.00,92.90,55.00
Recall,-4.59,-0.05,7.10,61.91,0.00,0.00,92.90,54.49
Recall Hunter,-4.28,-0.04,7.05,49.01,0.00,0.00,92.95,55.47
Scorpion,4.12,0.04,7.09,58.36,0.00,0.00,92.91,54.76
Beetle,-4.91,-0.05,7.18,52.61,0.00,0.00,92.82,55.20
Blink,-5.24,-0.05,7.13,60.28,0.00,0.00,92.87,54.61
Blink Hunter,-4.15,-0.04,7.19,46.12,0.00,0.00,92.81,55.71
Gunbot,-2.17,-0.02,7.12,61.11,0.00,0.00,92.88,54.55
Missilebot,-4.67,-0.05,7.16,51.68,0.00,0.00,92.84,55.28
Wasp,0.63,0.01,7.19,56.64,0.00,0.00,92.81,54.89
Hornet,-4.64,-0.05,7.13,50.21,0.00,0.00,92.87,55.39
Knight,-12.58,-0.13,7.12,64.26,0.00,0.00,92.88,54.31
Crossbow,-8.78,-0.09,7.13,50.68,0.00,0.00,92.87,55.35
Ballista,-18.20,-0.18,4.20,47.85,0.00,0.00,95.80,55.33
King Crab,-7.18,-0.07,4.20,48.71,0.00,0.00,95.80,55.29
Crusader,-1.38,-0.01,4.22,52.57,0.00,0.00,95.78,55.13
Bomber,-0.89,-0.01,4.26,50.95,0.00,0.00,95.74,55.20
Shocker,-17.13,-0.17,4.21,50.41,0.00,0.00,95.79,55.22
Recall Shocker,-14.86,-0.15,4.21,51.95,0.00,0.00,95.79,55.15
Mortar,-11.99,-0.12,4.22,61.76,0.00,0.00,95.78,54.72
Swift Shocker,-19.06,-0.19,4.19,49.48,0.00,0.00,95.81,55.26
Heavy Hunter,-9.00,-0.09,4.25,49.19,0.00,0.00,95.75,55.28
Destroyer,-14.74,-0.15,4.25,49.80,0.00,0.00,95.75,55.25
Raider,-13.58,-0.14,4.24,34.49,0.00,0.00,95.76,55.93
Turret,-11.13,-0.11,4.20,57.59,0.00,0.00,95.80,54.91
Heavy Ballista,-28.24,-0.28,2.80,57.53,0.00,0.00,97.20,54.95
Gargantua,-9.77,-0.10,2.81,71.26,0.00,0.00,97.19,54.55
Sniper,-15.14,-0.15,2.83,57.98,0.00,0.00,97.17,54.93
Advanced Blink,2.69,0.03,2.85,56.83,0.00,0.00,97.15,54.97
Assaultbot,-3.23,-0.03,2.81,64.65,0.00,0.00,97.19,54.74
Advancedbot,-0.36,-0.00,2.85,66.00,0.00,0.00,97.15,54.70
Behemoth,-10.90,-0.11,2.82,64.12,0.00,0.00,97.18,54.75
Advanced Mortar,-1.81,-0.02,2.85,71.26,0.00,0.00,97.15,54.54
Blaster,-8.58,-0.09,2.82,67.55,0.00,0.00,97.18,54.65
Butterfly,-16.55,-0.17,6.33,51.94,0.00,0.00,93.67,55.23
Dragonfly,-11.48,-0.11,6.36,55.25,0.00,0.00,93.64,55.00
Falcon,-12.70,-0.13,6.37,57.22,0.00,0.00,93.63,54.87
Airship,-9.85,-0.10,6.25,53.16,0.00,0.00,93.75,55.14
Advanced Recall,-6.29,-0.06,6.28,55.02,0.00,0.00,93.72,55.02
Mammoth,-12.13,-0.12,6.38,56.30,0.00,0.00,93.62,54.93
Stinger,-16.11,-0.16,6.33,43.96,0.00,0.00,93.67,55.77
Flak Turret,-17.22,-0.17,6.38,41.86,0.00,0.00,93.62,55.92
Bulwark,-18.47,-0.18,2.84,66.60,0.00,0.00,97.16,54.68
Katbus,-26.30,-0.26,2.90,62.59,0.00,0.00,97.10,54.79
Locust,-5.44,-0.05,2.93,54.13,0.00,0.00,97.07,55.05
Kraken,143.19,1.43,1.16,88.69,0.00,0.00,98.84,54.62
Predator,-7.41,-0.07,2.94,49.81,0.00,0.00,97.06,55.18
Valkyrie,-7.60,-0.08,2.91,54.80,0.00,0.00,97.09,55.02
Artillery,-16.19,-0.16,2.91,56.17,0.00,0.00,97.09,54.98
Advanced Destroyer,-10.11,-0.10,2.91,54.51,0.00,0.00,97.09,55.03
Shade,-16.99,-0.17,2.95,58.55,0.00,0.00,97.05,54.91
Ranking,0.03,2.52,0.00,0.00,100.00,55.02,0.00,0.00
Aggression,2.65,2.65,0.00,0.00,100.00,55.02,0.00,0.00
vs. Crab,-2.32,-0.02,13.36,49.92,0.00,0.00,86.64,55.80
vs. Hunter,11.30,0.11,13.30,62.54,0.00,0.00,86.70,53.86
vs. Guardian Shield,-80.11,-0.80,13.22,53.79,0.00,0.00,86.78,55.21
vs. Recall,-26.79,-0.27,13.32,43.46,0.00,0.00,86.68,56.79
vs. Recall Hunter,3.68,0.04,13.26,61.81,0.00,0.00,86.74,53.98
vs. Scorpion,-1.31,-0.01,13.31,47.97,0.00,0.00,86.69,56.10
vs. Beetle,12.71,0.13,13.34,61.62,0.00,0.00,86.66,54.00
vs. Blink,-17.24,-0.17,13.31,49.07,0.00,0.00,86.69,55.93
vs. Blink Hunter,21.94,0.22,13.31,66.75,0.00,0.00,86.69,53.22
vs. Gunbot,-14.05,-0.14,13.26,43.31,0.00,0.00,86.74,56.81
vs. Missilebot,10.59,0.11,13.30,61.98,0.00,0.00,86.70,53.95
vs. Wasp,-0.90,-0.01,13.31,50.56,0.00,0.00,86.69,55.70
vs. Hornet,14.81,0.15,13.26,65.67,0.00,0.00,86.74,53.39
vs. Knight,-51.68,-0.52,13.37,42.92,0.00,0.00,86.63,56.89
vs. Crossbow,46.14,0.46,13.47,64.02,0.00,0.00,86.53,53.62
vs. Ballista,-61.92,-0.62,4.27,58.75,0.00,0.00,95.73,54.85
vs. King Crab,-61.14,-0.61,4.20,54.30,0.00,0.00,95.80,55.05
vs. Crusader,-40.45,-0.40,4.24,51.60,0.00,0.00,95.76,55.17
vs. Bomber,-25.38,-0.25,4.21,56.15,0.00,0.00,95.79,54.97
vs. Shocker,-69.52,-0.70,4.26,57.05,0.00,0.00,95.74,54.93
vs. Recall Shocker,-76.72,-0.77,4.20,52.35,0.00,0.00,95.80,55.14
vs. Mortar,-94.62,-0.95,4.21,42.13,0.00,0.00,95.79,55.59
vs. Swift Shocker,-57.76,-0.58,4.21,58.58,0.00,0.00,95.79,54.86
vs. Heavy Hunter,42.96,0.43,4.18,61.49,0.00,0.00,95.82,54.74
vs. Destroyer,5.77,0.06,4.23,59.44,0.00,0.00,95.77,54.82
vs. Raider,58.31,0.58,4.19,69.97,0.00,0.00,95.81,54.36
vs. Turret,-78.53,-0.79,4.16,46.53,0.00,0.00,95.84,55.39
vs. Heavy Ballista,-171.19,-1.71,2.76,47.87,0.00,0.00,97.24,55.22
vs. Gargantua,-151.44,-1.51,2.78,36.77,0.00,0.00,97.22,55.54
vs. Sniper,-76.11,-0.76,2.83,47.81,0.00,0.00,97.17,55.23
vs. Advanced Blink,18.84,0.19,2.83,54.29,0.00,0.00,97.17,55.04
vs. Assaultbot,-17.09,-0.17,2.85,38.67,0.00,0.00,97.15,55.50
vs. Advancedbot,-14.98,-0.15,2.85,42.07,0.00,0.00,97.15,55.40
vs. Behemoth,-65.44,-0.65,2.85,41.27,0.00,0.00,97.15,55.42
vs. Advanced Mortar,-87.37,-0.87,2.83,35.32,0.00,0.00,97.17,55.59
vs. Blaster,-89.36,-0.89,2.84,40.50,0.00,0.00,97.16,55.44
vs. Butterfly,-50.66,-0.51,6.33,49.73,0.00,0.00,93.67,55.38
vs. Dragonfly,-54.86,-0.55,6.37,47.74,0.00,0.00,93.63,55.51
vs. Falcon,-75.97,-0.76,6.39,44.94,0.00,0.00,93.61,55.71
vs. Airship,-34.09,-0.34,6.38,49.68,0.00,0.00,93.62,55.38
vs. Advanced Recall,-35.65,-0.36,6.32,49.70,0.00,0.00,93.68,55.38
vs. Mammoth,-47.38,-0.47,6.38,49.41,0.00,0.00,93.62,55.40
vs. Stinger,-34.28,-0.34,6.36,62.58,0.00,0.00,93.64,54.51
vs. Flak Turret,22.56,0.23,6.41,61.73,0.00,0.00,93.59,54.56
vs. Bulwark,-131.26,-1.31,2.86,39.92,0.00,0.00,97.14,55.46
vs. Katbus,-143.55,-1.44,2.92,42.56,0.00,0.00,97.08,55.39
vs. Locust,-25.53,-0.26,2.94,50.66,0.00,0.00,97.06,55.15
vs. Kraken,-1504.77,-15.05,1.18,15.88,0.00,0.00,98.82,55.49
vs. Predator,36.29,0.36,2.92,57.76,0.00,0.00,97.08,54.94
vs. Valkyrie,-32.06,-0.32,2.93,50.43,0.00,0.00,97.07,55.16
vs. Artillery,-79.08,-0.79,2.95,48.76,0.00,0.00,97.05,55.21
vs. Advanced Destroyer,-4.92,-0.05,2.96,54.25,0.00,0.00,97.04,55.04
vs. Shade,-87.37,-0.87,2.91,47.08,0.00,0.00,97.09,55.26
vs. Ranking,0.03,2.38,0.00,0.00,100.00,55.02,0.00,0.00
vs. Aggression,2.64,2.64,0.00,0.00,100.00,55.02,0.00,0.00
