Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,37.88,0.38,7.17,50.36,0.00,0.00,92.83,43.61
Hunter,9.12,0.09,7.14,37.90,0.00,0.00,92.86,44.57
Guardian Shield,-114.10,-1.14,7.15,39.86,0.00,0.00,92.85,44.42
Recall,30.07,0.30,7.15,54.86,0.00,0.00,92.85,43.26
Recall Hunter,9.35,0.09,7.13,35.28,0.00,0.00,92.87,44.77
Scorpion,23.21,0.23,7.11,53.85,0.00,0.00,92.89,43.34
Beetle,10.33,0.10,7.14,39.38,0.00,0.00,92.86,44.45
Blink,27.72,0.28,7.17,49.73,0.00,0.00,92.83,43.65
Blink Hunter,4.34,0.04,7.12,31.24,0.00,0.00,92.88,45.08
Gunbot,14.99,0.15,7.09,53.84,0.00,0.00,92.91,43.35
Missilebot,10.35,0.10,7.09,38.39,0.00,0.00,92.91,44.52
Wasp,9.86,0.10,7.10,47.58,0.00,0.00,92.90,43.82
Hornet,-1.50,-0.01,7.19,30.92,0.00,0.00,92.81,45.11
Knight,58.49,0.58,7.13,54.07,0.00,0.00,92.87,43.32
Matter,-0.12,-0.12,92.31,43.77,7.67,47.92,0.01,43.40
Energy,-0.16,-0.16,92.33,43.76,7.66,48.10,0.01,44.74
Bandwidth,-5.50,-0.22,92.53,43.79,7.45,47.76,0.01,56.90
Health,0.05,1.26,92.29,43.77,7.69,47.96,0.01,53.57
Radius,-74.36,-1.12,92.36,43.77,7.63,47.98,0.01,52.94
Speed,9.43,0.74,92.25,43.74,7.74,48.30,0.01,49.06
Damage,2.50,1.75,92.30,43.77,7.69,47.98,0.01,38.10
Duration,-283.21,-1.84,92.27,43.74,7.72,48.33,0.01,39.53
Windup,-297.52,-0.30,92.34,43.75,7.65,48.15,0.01,45.83
Recoil,-48.71,-0.24,92.31,43.72,7.67,48.51,0.01,43.64
WeaponSpeed,0.31,0.06,92.34,43.73,7.65,48.38,0.01,51.92
Range,27.47,2.75,92.32,43.75,7.67,48.16,0.02,53.23
Splash,0.00,-0.03,0.00,0.00,0.00,0.00,100.00,44.09
Ballista,33.40,0.33,4.18,43.85,0.00,0.00,95.82,44.10
King Crab,55.99,0.56,4.22,44.51,0.00,0.00,95.78,44.07
Crusader,98.68,0.99,4.20,50.45,0.00,0.00,95.80,43.81
Bomber,17.51,0.18,4.23,48.03,0.00,0.00,95.77,43.92
Shocker,48.08,0.48,4.23,47.13,0.00,0.00,95.77,43.96
Recall Shocker,48.29,0.48,4.19,51.43,0.00,0.00,95.81,43.77
Mortar,63.20,0.63,4.26,63.59,0.00,0.00,95.74,43.22
Swift Shocker,35.37,0.35,4.23,43.49,0.00,0.00,95.77,44.12
Heavy Hunter,2.52,0.03,4.21,41.17,0.00,0.00,95.79,44.22
Destroyer,47.72,0.48,4.21,47.33,0.00,0.00,95.79,43.95
Raider,-1.50,-0.02,4.26,32.31,0.00,0.00,95.74,44.61
Turret,5.63,0.06,4.26,54.76,0.00,0.00,95.74,43.61
Heavy Ballista,137.68,1.38,2.80,56.02,0.00,0.00,97.20,43.75
Gargantua,125.13,1.25,2.77,62.37,0.00,0.00,97.23,43.57
Sniper,52.57,0.53,2.83,58.93,0.00,0.00,97.17,43.66
Advanced Blink,70.69,0.71,2.84,50.49,0.00,0.00,97.16,43.90
Assaultbot,17.01,0.17,2.85,63.89,0.00,0.00,97.15,43.51
Advancedbot,7.60,0.08,2.85,57.86,0.00,0.00,97.15,43.69
Behemoth,107.94,1.08,2.83,61.90,0.00,0.00,97.17,43.57
Advanced Mortar,41.78,0.42,2.84,66.90,0.00,0.00,97.16,43.42
Blaster,38.64,0.39,2.83,60.25,0.00,0.00,97.17,43.62
Butterfly,18.71,0.19,6.35,43.87,0.00,0.00,93.65,44.10
Dragonfly,6.88,0.07,6.39,44.05,0.00,0.00,93.61,44.09
Falcon,38.39,0.38,6.38,53.71,0.00,0.00,93.62,43.43
Airship,-8.53,-0.09,6.29,42.01,0.00,0.00,93.71,44.23
Advanced Recall,27.18,0.27,6.40,50.44,0.00,0.00,93.60,43.66
Mammoth,111.67,1.12,6.30,52.63,0.00,0.00,93.70,43.52
Stinger,15.41,0.15,6.28,35.74,0.00,0.00,93.72,44.65
Flak Turret,-13.31,-0.13,6.23,34.69,0.00,0.00,93.77,44.71
Bulwark,52.75,0.53,2.87,58.68,0.00,0.00,97.13,43.66
Katbus,109.65,1.10,2.82,57.54,0.00,0.00,97.18,43.70
Locust,6.86,0.07,3.00,43.36,0.00,0.00,97.00,44.11
Kraken,684.51,6.85,1.19,85.88,0.00,0.00,98.81,43.59
Predator,-5.06,-0.05,2.90,42.11,0.00,0.00,97.10,44.15
Valkyrie,-1.25,-0.01,2.86,44.64,0.00,0.00,97.14,44.07
Artillery,56.58,0.57,2.83,54.60,0.00,0.00,97.17,43.78
Advanced Destroyer,47.02,0.47,2.88,52.12,0.00,0.00,97.12,43.85
Shade,47.46,0.47,2.87,51.49,0.00,0.00,97.13,43.87
Ranking,0.01,0.74,0.00,0.00,100.00,44.09,0.00,0.00
Aggression,0.73,0.73,0.00,0.00,100.00,44.09,0.00,0.00
vs. Crab,-37.36,-0.37,13.42,36.09,0.00,0.00,86.58,45.33
vs. Hunter,4.93,0.05,13.23,49.71,0.00,0.00,86.77,43.23
vs. Guardian Shield,146.14,1.46,13.24,46.80,0.00,0.00,86.76,43.68
vs. Recall,-35.17,-0.35,13.38,35.42,0.00,0.00,86.62,45.43
vs. Recall Hunter,10.73,0.11,13.34,52.31,0.00,0.00,86.66,42.82
vs. Scorpion,-21.84,-0.22,13.32,33.37,0.00,0.00,86.68,45.74
vs. Beetle,-1.90,-0.02,13.35,47.15,0.00,0.00,86.65,43.62
vs. Blink,-32.97,-0.33,13.28,37.93,0.00,0.00,86.72,45.03
vs. Blink Hunter,24.49,0.24,13.33,57.19,0.00,0.00,86.67,42.07
vs. Gunbot,-15.06,-0.15,13.33,36.54,0.00,0.00,86.67,45.25
vs. Missilebot,2.62,0.03,13.24,48.55,0.00,0.00,86.76,43.41
vs. Wasp,-10.88,-0.11,13.37,39.33,0.00,0.00,86.63,44.82
vs. Hornet,22.91,0.23,13.31,56.14,0.00,0.00,86.69,42.24
vs. Knight,-75.43,-0.75,13.24,34.93,0.00,0.00,86.76,45.49
vs. Crossbow,10.22,0.10,13.35,49.97,0.00,0.00,86.65,43.18
vs. Ballista,17.76,0.18,4.23,53.36,0.00,0.00,95.77,43.68
vs. King Crab,-56.50,-0.56,4.17,48.29,0.00,0.00,95.83,43.91
vs. Crusader,-123.37,-1.23,4.23,40.77,0.00,0.00,95.77,44.24
vs. Bomber,-26.68,-0.27,4.26,47.93,0.00,0.00,95.74,43.92
vs. Shocker,-21.27,-0.21,4.19,51.04,0.00,0.00,95.81,43.79
vs. Recall Shocker,-63.24,-0.63,4.18,45.83,0.00,0.00,95.82,44.01
vs. Mortar,-144.22,-1.44,4.21,34.82,0.00,0.00,95.79,44.50
vs. Swift Shocker,-5.57,-0.06,4.18,52.65,0.00,0.00,95.82,43.72
vs. Heavy Hunter,15.94,0.16,4.23,50.43,0.00,0.00,95.77,43.81
vs. Destroyer,-147.41,-1.47,4.25,40.83,0.00,0.00,95.75,44.23
vs. Raider,98.60,0.99,4.20,63.63,0.00,0.00,95.80,43.23
vs. Turret,-129.60,-1.30,4.20,37.67,0.00,0.00,95.80,44.37
vs. Heavy Ballista,-241.06,-2.41,2.80,41.29,0.00,0.00,97.20,44.17
vs. Gargantua,-285.43,-2.85,2.76,28.54,0.00,0.00,97.24,44.53
vs. Sniper,-134.79,-1.35,2.82,38.72,0.00,0.00,97.18,44.25
vs. Advanced Blink,-137.23,-1.37,2.83,38.07,0.00,0.00,97.17,44.26
