Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,6.63,0.07,13.33,52.16,0.00,0.00,86.67,51.91
Hunter,-10.51,-0.11,13.17,51.27,0.00,0.00,86.83,52.04
Guardian Shield,-79.18,-0.79,13.27,49.55,0.00,0.00,86.73,52.31
Recall,-8.00,-0.08,13.24,55.30,0.00,0.00,86.76,51.43
Recall Hunter,-8.89,-0.09,13.20,50.30,0.00,0.00,86.80,52.19
Scorpion,7.85,0.08,13.32,55.31,0.00,0.00,86.68,51.42
Beetle,-11.86,-0.12,13.56,50.93,0.00,0.00,86.44,52.10
Blink,-9.64,-0.10,13.41,52.72,0.00,0.00,86.59,51.82
Blink Hunter,-10.50,-0.10,13.25,47.79,0.00,0.00,86.75,52.58
Gunbot,-4.26,-0.04,13.28,53.93,0.00,0.00,86.72,51.64
Missilebot,-9.80,-0.10,13.34,51.09,0.00,0.00,86.66,52.07
Wasp,5.07,0.05,13.32,53.26,0.00,0.00,86.68,51.74
Hornet,-9.28,-0.09,13.32,49.74,0.00,0.00,86.68,52.28
Knight,-20.13,-0.20,13.43,55.14,0.00,0.00,86.57,51.45
Crossbow,-22.26,-0.22,13.19,50.45,0.00,0.00,86.81,52.17
Ballista,-43.18,-0.43,5.99,49.18,0.00,0.00,94.01,52.12
King Crab,-24.04,-0.24,5.91,47.17,0.00,0.00,94.09,52.24
Matter,0.04,0.05,89.77,52.54,10.22,46.74,0.02,35.00
Energy,0.23,0.29,89.65,52.59,10.33,46.29,0.02,57.14
Bandwidth,6.05,0.30,90.07,52.53,9.92,46.55,0.01,64.71
Health,0.04,2.74,89.80,52.57,10.17,46.44,0.02,39.29
Radius,-46.95,-0.94,89.77,52.56,10.21,46.49,0.02,36.36
Speed,22.08,1.82,89.80,52.55,10.19,46.55,0.01,58.82
Damage,0.51,1.43,89.66,52.60,10.32,46.29,0.02,40.00
Duration,-159.75,-1.04,89.93,52.58,10.06,46.23,0.02,55.00
Windup,-194.92,-1.27,89.77,52.56,10.21,46.55,0.02,37.50
Recoil,0.00,-0.29,0.00,0.00,0.00,0.00,100.00,51.94
WeaponSpeed,0.00,-0.06,0.00,0.00,0.00,0.00,100.00,51.94
Range,7.11,0.14,89.80,52.55,10.18,46.58,0.02,57.69
Splash,0.00,-0.13,0.00,0.00,0.00,0.00,100.00,51.94
Bomber,-9.64,-0.10,6.04,52.77,0.00,0.00,93.96,51.89
Shocker,-41.48,-0.41,6.02,51.36,0.00,0.00,93.98,51.98
Recall Shocker,-33.09,-0.33,6.07,53.75,0.00,0.00,93.93,51.83
Mortar,-38.06,-0.38,6.01,63.75,0.00,0.00,93.99,51.19
Swift Shocker,-48.76,-0.49,6.04,49.94,0.00,0.00,93.96,52.07
Heavy Hunter,-27.02,-0.27,5.96,47.53,0.00,0.00,94.04,52.22
Destroyer,-32.98,-0.33,5.94,50.72,0.00,0.00,94.06,52.02
Raider,-32.63,-0.33,6.14,34.97,0.00,0.00,93.86,53.05
Turret,-29.76,-0.30,6.03,57.23,0.00,0.00,93.97,51.60
Heavy Ballista,-77.61,-0.78,4.82,57.99,0.00,0.00,95.18,51.64
Gargantua,-48.04,-0.48,4.70,67.32,0.00,0.00,95.30,51.18
