Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,14.05,0.14,13.43,49.91,0.00,0.00,86.57,48.28
Hunter,3.81,0.04,13.25,47.84,0.00,0.00,86.75,48.59
Guardian Shield,-224.17,-2.24,13.37,46.12,0.00,0.00,86.63,48.86
Recall,8.63,0.09,13.28,51.90,0.00,0.00,86.72,47.97
Recall Hunter,-2.44,-0.02,13.22,46.40,0.00,0.00,86.78,48.81
Scorpion,9.53,0.10,13.22,53.16,0.00,0.00,86.78,47.78
Beetle,5.33,0.05,13.36,48.58,0.00,0.00,86.64,48.48
Blink,2.62,0.03,13.22,48.95,0.00,0.00,86.78,48.43
Blink Hunter,4.89,0.05,13.48,44.51,0.00,0.00,86.52,49.11
Gunbot,3.50,0.03,13.34,50.52,0.00,0.00,86.66,48.18
Missilebot,0.12,0.00,13.33,47.71,0.00,0.00,86.67,48.62
Wasp,1.72,0.02,13.39,48.63,0.00,0.00,86.61,48.47
Hornet,-1.44,-0.01,13.40,44.64,0.00,0.00,86.60,49.09
Knight,8.58,0.09,13.18,51.20,0.00,0.00,86.82,48.08
Crossbow,3.82,0.04,13.20,47.33,0.00,0.00,86.80,48.67
Ballista,-29.04,-0.29,6.03,43.29,0.00,0.00,93.97,48.83
King Crab,-8.40,-0.08,6.13,45.01,0.00,0.00,93.87,48.72
Crusader,27.44,0.27,5.94,50.72,0.00,0.00,94.06,48.35
Bomber,-17.43,-0.17,6.04,49.32,0.00,0.00,93.96,48.44
Shocker,-15.60,-0.16,6.03,49.05,0.00,0.00,93.97,48.46
Recall Shocker,-13.97,-0.14,5.96,52.70,0.00,0.00,94.04,48.23
Mortar,-16.06,-0.16,6.07,62.24,0.00,0.00,93.93,47.61
Swift Shocker,-31.61,-0.32,5.95,43.89,0.00,0.00,94.05,48.79
Heavy Hunter,-12.57,-0.13,6.08,43.57,0.00,0.00,93.92,48.81
Matter,-0.20,-0.25,89.94,48.73,10.05,46.43,0.02,43.48
Energy,0.09,0.11,89.81,48.61,10.17,47.45,0.02,45.83
Bandwidth,1.33,0.07,90.15,48.67,9.83,46.89,0.02,50.00
Health,0.08,1.17,89.83,48.65,10.16,47.10,0.01,44.44
Radius,-83.85,-1.26,89.78,48.64,10.21,47.22,0.02,40.00
Speed,20.04,1.26,89.89,48.59,10.10,47.62,0.01,68.75
Damage,0.54,1.88,89.81,48.64,10.17,47.18,0.01,47.06
Duration,-131.16,-2.36,89.74,48.65,10.23,47.13,0.02,28.57
Windup,-561.23,-0.56,89.85,48.68,10.13,46.89,0.02,47.83
Recoil,-48.36,-0.24,89.68,48.69,10.31,46.79,0.01,44.44
WeaponSpeed,-0.44,-0.09,89.74,48.56,10.24,47.93,0.02,50.00
Range,32.63,3.92,89.86,48.70,10.13,46.65,0.01,52.63
Splash,0.00,0.25,0.00,0.00,0.00,0.00,100.00,48.49
Raider,-36.61,-0.37,6.11,30.94,0.00,0.00,93.89,49.64
Turret,-36.18,-0.36,5.99,55.50,0.00,0.00,94.01,48.05
Heavy Ballista,-15.49,-0.15,4.79,56.09,0.00,0.00,95.21,48.11
Gargantua,42.75,0.43,4.79,66.50,0.00,0.00,95.21,47.59
Sniper,-22.08,-0.22,4.73,57.99,0.00,0.00,95.27,48.02
Advanced Blink,-10.99,-0.11,4.80,51.58,0.00,0.00,95.20,48.34
Assaultbot,-4.49,-0.04,4.83,59.92,0.00,0.00,95.17,47.91
Advancedbot,1.46,0.01,4.72,61.11,0.00,0.00,95.28,47.87
Behemoth,30.63,0.31,4.74,60.36,0.00,0.00,95.26,47.90
Advanced Mortar,9.95,0.10,4.77,70.38,0.00,0.00,95.23,47.40
Blaster,6.53,0.07,4.82,65.60,0.00,0.00,95.18,47.63
Butterfly,-65.60,-0.66,6.01,43.56,0.00,0.00,93.99,48.81
Dragonfly,-30.40,-0.30,6.06,45.28,0.00,0.00,93.94,48.70
Falcon,-23.49,-0.23,6.05,51.30,0.00,0.00,93.95,48.31
Airship,-26.27,-0.26,6.10,47.36,0.00,0.00,93.90,48.57
Advanced Recall,-9.18,-0.09,5.93,46.17,0.00,0.00,94.07,48.64
Mammoth,19.71,0.20,6.04,49.52,0.00,0.00,93.96,48.43
Stinger,-63.21,-0.63,6.02,35.60,0.00,0.00,93.98,49.32
Flak Turret,-56.43,-0.56,6.05,41.04,0.00,0.00,93.95,48.97
Bulwark,23.49,0.23,1.50,60.83,0.00,0.00,98.50,48.31
Katbus,14.62,0.15,1.53,57.73,0.00,0.00,98.47,48.35
