Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,35.82,0.36,13.36,55.02,0.00,0.00,86.64,47.27
Hunter,-22.05,-0.22,13.20,44.65,0.00,0.00,86.80,48.87
Guardian Shield,-26.93,-0.27,13.02,46.35,0.00,0.00,86.98,48.60
Recall,-9.29,-0.09,13.36,53.20,0.00,0.00,86.64,47.56
Recall Hunter,-21.76,-0.22,13.49,42.97,0.00,0.00,86.51,49.14
Scorpion,24.53,0.25,13.23,59.28,0.00,0.00,86.77,46.64
Beetle,-21.70,-0.22,13.27,45.33,0.00,0.00,86.73,48.77
Blink,-6.75,-0.07,13.19,50.65,0.00,0.00,86.81,47.95
Blink Hunter,-21.28,-0.21,13.27,40.43,0.00,0.00,86.73,49.51
Gunbot,-4.53,-0.05,13.25,50.98,0.00,0.00,86.75,47.90
Missilebot,-20.12,-0.20,13.36,44.45,0.00,0.00,86.64,48.90
Wasp,13.58,0.14,13.18,52.68,0.00,0.00,86.82,47.65
Hornet,-21.01,-0.21,13.47,41.96,0.00,0.00,86.53,49.30
Knight,-8.11,-0.08,13.53,52.78,0.00,0.00,86.47,47.61
Crossbow,-39.54,-0.40,13.34,44.05,0.00,0.00,86.66,48.96
Ballista,-64.52,-0.65,4.06,42.49,0.00,0.00,95.94,48.56
King Crab,-5.32,-0.05,4.05,44.43,0.00,0.00,95.95,48.47
Crusader,28.81,0.29,4.06,49.52,0.00,0.00,95.94,48.26
Bomber,-10.83,-0.11,4.07,47.65,0.00,0.00,95.93,48.34
Shocker,-56.95,-0.57,4.08,45.22,0.00,0.00,95.92,48.44
Recall Shocker,-68.26,-0.68,4.03,46.73,0.00,0.00,95.97,48.38
Mortar,-67.53,-0.68,4.08,56.22,0.00,0.00,95.92,47.97
Swift Shocker,-49.70,-0.50,4.06,43.07,0.00,0.00,95.94,48.53
Heavy Hunter,-61.92,-0.62,4.06,42.34,0.00,0.00,95.94,48.56
Destroyer,-53.56,-0.54,4.03,45.28,0.00,0.00,95.97,48.44
Raider,-45.62,-0.46,4.08,35.44,0.00,0.00,95.92,48.86
Turret,-78.08,-0.78,4.02,49.02,0.00,0.00,95.98,48.28
Heavy Ballista,-142.90,-1.43,1.51,49.12,0.00,0.00,98.49,48.30
Gargantua,-138.94,-1.39,1.53,56.24,0.00,0.00,98.47,48.19
Sniper,-83.03,-0.83,1.52,48.62,0.00,0.00,98.48,48.30
Advanced Blink,-60.79,-0.61,1.49,48.05,0.00,0.00,98.51,48.31
Assaultbot,-7.40,-0.07,1.53,56.22,0.00,0.00,98.47,48.19
Advancedbot,-16.37,-0.16,1.59,52.59,0.00,0.00,98.41,48.24
Behemoth,-16.79,-0.17,1.48,56.23,0.00,0.00,98.52,48.19
Advanced Mortar,-74.21,-0.74,1.55,58.88,0.00,0.00,98.45,48.14
Blaster,-78.93,-0.79,1.54,52.79,0.00,0.00,98.46,48.24
Butterfly,-68.00,-0.68,9.50,44.88,0.00,0.00,90.50,48.67
Matter,0.09,0.11,89.91,48.05,10.07,50.58,0.01,69.23
Energy,-0.11,-0.14,89.78,48.05,10.20,50.60,0.02,60.00
Bandwidth,12.47,0.62,90.18,48.00,9.80,51.17,0.01,56.00
Health,0.05,1.16,89.75,48.06,10.23,50.50,0.01,58.33
Radius,-46.31,-0.51,89.75,48.03,10.24,50.73,0.01,40.74
Speed,6.75,0.76,89.85,48.01,10.14,50.93,0.01,36.36
Damage,0.90,1.53,89.77,48.02,10.20,50.87,0.03,46.94
Duration,-227.26,-1.70,89.78,48.01,10.20,50.97,0.02,41.67
Windup,0.00,-0.15,0.00,0.00,0.00,0.00,100.00,48.31
Recoil,0.00,-0.22,0.00,0.00,0.00,0.00,100.00,48.31
WeaponSpeed,1.33,0.13,89.83,47.97,10.15,51.25,0.02,62.07
Range,18.97,1.14,89.77,48.00,10.21,51.03,0.02,59.09
Splash,0.00,0.10,0.00,0.00,0.00,0.00,100.00,48.31
Falcon,-70.45,-0.70,9.47,51.74,0.00,0.00,90.53,47.95
Airship,-75.04,-0.75,9.43,42.99,0.00,0.00,90.57,48.86
Advanced Recall,-24.47,-0.24,9.50,53.79,0.00,0.00,90.50,47.73
Mammoth,-23.58,-0.24,9.45,57.50,0.00,0.00,90.55,47.35
Stinger,-28.13,-0.28,9.56,42.18,0.00,0.00,90.44,48.96
Flak Turret,-44.27,-0.44,9.53,39.85,0.00,0.00,90.47,49.20
Bulwark,-183.35,-1.83,4.96,58.11,0.00,0.00,95.04,47.80
Katbus,-128.86,-1.29,4.85,58.21,0.00,0.00,95.15,47.80
Locust,-35.95,-0.36,4.95,45.62,0.00,0.00,95.05,48.45
Kraken,-1497.45,-14.97,1.45,85.53,0.00,0.00,98.55,47.76
Predator,-74.08,-0.74,4.98,45.89,0.00,0.00,95.02,48.44
Valkyrie,-88.44,-0.88,4.95,46.61,0.00,0.00,95.05,48.40
Artillery,-66.08,-0.66,5.06,56.68,0.00,0.00,94.94,47.86
Advanced Destroyer,-66.05,-0.66,4.94,53.29,0.00,0.00,95.06,48.05
Shade,-61.12,-0.61,4.97,53.96,0.00,0.00,95.03,48.01
Ranking,0.01,0.81,0.00,0.00,100.00,48.31,0.00,0.00
Aggression,0.76,0.76,0.00,0.00,100.00,48.31,0.00,0.00
vs. Crab,30.65,0.31,13.33,51.77,0.00,0.00,86.67,47.78
vs. Hunter,-26.86,-0.27,13.46,41.81,0.00,0.00,86.54,49.32
vs. Guardian Shield,555.02,5.55,13.15,55.02,0.00,0.00,86.85,47.29
vs. Recall,36.90,0.37,13.36,52.27,0.00,0.00,86.64,47.70
vs. Recall Hunter,-23.34,-0.23,13.36,43.76,0.00,0.00,86.64,49.01
vs. Scorpion,13.52,0.14,13.31,48.70,0.00,0.00,86.69,48.25
vs. Beetle,-31.79,-0.32,13.26,39.67,0.00,0.00,86.74,49.63
vs. Blink,39.40,0.39,13.24,53.60,0.00,0.00,86.76,47.50
vs. Blink Hunter,-19.75,-0.20,13.27,48.24,0.00,0.00,86.73,48.32
vs. Gunbot,19.20,0.19,13.31,52.78,0.00,0.00,86.69,47.62
vs. Missilebot,-25.48,-0.25,13.25,41.56,0.00,0.00,86.75,49.34
vs. Wasp,9.52,0.10,13.29,53.52,0.00,0.00,86.71,47.51
vs. Hornet,-25.55,-0.26,13.36,45.46,0.00,0.00,86.64,48.75
vs. Knight,79.41,0.79,13.33,53.35,0.00,0.00,86.67,47.53
vs. Crossbow,-46.46,-0.46,13.32,43.20,0.00,0.00,86.68,49.09
vs. Ballista,175.93,1.76,5.96,54.99,0.00,0.00,94.04,47.89
vs. King Crab,109.68,1.10,5.89,52.48,0.00,0.00,94.11,48.05
vs. Crusader,93.30,0.93,5.88,47.50,0.00,0.00,94.12,48.36
vs. Bomber,34.12,0.34,5.88,47.80,0.00,0.00,94.12,48.34
vs. Shocker,169.47,1.69,5.90,52.57,0.00,0.00,94.10,48.04
vs. Recall Shocker,155.56,1.56,5.82,48.87,0.00,0.00,94.18,48.27
vs. Mortar,173.33,1.73,5.89,43.03,0.00,0.00,94.11,48.64
vs. Swift Shocker,164.93,1.65,5.79,54.77,0.00,0.00,94.21,47.91
vs. Heavy Hunter,-79.41,-0.79,5.84,41.23,0.00,0.00,94.16,48.75
vs. Destroyer,176.59,1.77,5.85,52.21,0.00,0.00,94.15,48.07
vs. Raider,156.05,1.56,5.91,63.76,0.00,0.00,94.09,47.34
vs. Turret,79.03,0.79,5.92,48.07,0.00,0.00,94.08,48.32
vs. Heavy Ballista,239.96,2.40,3.98,43.39,0.00,0.00,96.02,48.51
vs. Gargantua,-209.85,-2.10,3.96,23.35,0.00,0.00,96.04,49.34
vs. Sniper,157.31,1.57,4.00,42.99,0.00,0.00,96.00,48.53
vs. Advanced Blink,17.81,0.18,3.98,42.54,0.00,0.00,96.02,48.55
vs. Assaultbot,5.86,0.06,4.11,35.96,0.00,0.00,95.89,48.84
vs. Advancedbot,-24.05,-0.24,4.00,25.40,0.00,0.00,96.00,49.26
vs. Behemoth,5.64,0.06,4.00,35.38,0.00,0.00,96.00,48.85
vs. Advanced Mortar,-119.73,-1.20,3.98,22.37,0.00,0.00,96.02,49.38
vs. Blaster,-113.51,-1.14,3.99,25.72,0.00,0.00,96.01,49.25
vs. Butterfly,189.03,1.89,8.84,58.83,0.00,0.00,91.16,47.29
vs. Dragonfly,25.32,0.25,8.89,49.98,0.00,0.00,91.11,48.15
vs. Falcon,165.61,1.66,8.82,50.88,0.00,0.00,91.18,48.06
vs. Airship,-46.82,-0.47,8.88,43.47,0.00,0.00,91.12,48.78
vs. Advanced Recall,53.93,0.54,8.85,49.39,0.00,0.00,91.15,48.20
vs. Mammoth,71.82,0.72,8.78,45.20,0.00,0.00,91.22,48.61
