Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,2.11,0.02,13.45,41.86,0.00,0.00,86.55,38.49
Hunter,-4.67,-0.05,13.32,35.25,0.00,0.00,86.68,39.51
Guardian Shield,98.54,0.99,13.13,40.53,0.00,0.00,86.87,38.70
Recall,4.10,0.04,13.44,46.71,0.00,0.00,86.56,37.74
Recall Hunter,-3.16,-0.03,13.30,35.27,0.00,0.00,86.70,39.51
Scorpion,0.78,0.01,13.39,44.87,0.00,0.00,86.61,38.03
Beetle,-5.37,-0.05,13.30,36.59,0.00,0.00,86.70,39.30
Blink,3.04,0.03,13.26,41.31,0.00,0.00,86.74,38.58
Blink Hunter,-1.23,-0.01,13.29,31.59,0.00,0.00,86.71,40.07
Gunbot,2.19,0.02,13.17,42.03,0.00,0.00,86.83,38.47
Missilebot,-5.67,-0.06,13.29,35.70,0.00,0.00,86.71,39.44
Wasp,0.34,0.00,13.36,40.25,0.00,0.00,86.64,38.74
Hornet,-3.66,-0.04,13.37,33.10,0.00,0.00,86.63,39.84
Knight,5.55,0.06,13.36,44.11,0.00,0.00,86.64,38.15
Crossbow,-9.97,-0.10,13.07,34.63,0.00,0.00,86.93,39.59
Ballista,22.17,0.22,4.02,36.73,0.00,0.00,95.98,39.03
King Crab,12.17,0.12,4.06,37.03,0.00,0.00,95.94,39.02
Crusader,3.32,0.03,4.05,42.24,0.00,0.00,95.95,38.80
Bomber,5.26,0.05,4.02,41.67,0.00,0.00,95.98,38.83
Shocker,13.18,0.13,4.11,39.59,0.00,0.00,95.89,38.91
Recall Shocker,21.65,0.22,4.07,44.56,0.00,0.00,95.93,38.70
Mortar,14.21,0.14,4.05,55.48,0.00,0.00,95.95,38.24
Swift Shocker,12.80,0.13,4.14,37.96,0.00,0.00,95.86,38.98
Heavy Hunter,-18.17,-0.18,4.11,36.08,0.00,0.00,95.89,39.06
Destroyer,17.54,0.18,4.04,41.04,0.00,0.00,95.96,38.85
Raider,24.26,0.24,4.02,29.05,0.00,0.00,95.98,39.36
Turret,40.94,0.41,4.11,51.99,0.00,0.00,95.89,38.38
Heavy Ballista,-17.67,-0.18,1.51,53.49,0.00,0.00,98.49,38.72
Gargantua,-156.23,-1.56,1.50,55.47,0.00,0.00,98.50,38.69
Sniper,7.97,0.08,1.53,51.52,0.00,0.00,98.47,38.75
Advanced Blink,-34.43,-0.34,1.53,48.51,0.00,0.00,98.47,38.79
Assaultbot,-3.47,-0.03,1.60,58.54,0.00,0.00,98.40,38.62
Advancedbot,-11.67,-0.12,1.55,52.15,0.00,0.00,98.45,38.73
Behemoth,-29.61,-0.30,1.56,56.73,0.00,0.00,98.44,38.66
Advanced Mortar,-78.80,-0.79,1.59,58.31,0.00,0.00,98.41,38.63
Blaster,-63.17,-0.63,1.55,54.92,0.00,0.00,98.45,38.69
Butterfly,20.25,0.20,9.47,40.90,0.00,0.00,90.53,38.74
Dragonfly,4.14,0.04,9.57,39.66,0.00,0.00,90.43,38.87
Falcon,17.86,0.18,9.42,50.35,0.00,0.00,90.58,37.76
Airship,-10.44,-0.10,9.44,36.85,0.00,0.00,90.56,39.16
Advanced Recall,5.74,0.06,9.53,45.24,0.00,0.00,90.47,38.28
Mammoth,3.28,0.03,9.49,43.12,0.00,0.00,90.51,38.50
Stinger,19.94,0.20,9.54,28.19,0.00,0.00,90.46,40.08
Matter,0.16,0.19,89.86,37.96,10.12,47.68,0.02,44.74
Energy,0.19,0.24,89.82,37.99,10.16,47.39,0.02,34.21
Bandwidth,-1.55,-0.08,90.14,37.97,9.85,47.80,0.01,57.69
Health,0.00,0.06,89.89,37.96,10.10,47.66,0.01,40.91
Radius,2.01,0.02,89.86,38.01,10.13,47.22,0.01,36.36
Speed,0.00,-0.03,0.00,0.00,0.00,0.00,100.00,38.94
Damage,0.03,0.05,89.90,37.97,10.09,47.57,0.02,54.55
Windup,1.53,0.00,89.84,37.94,10.15,47.76,0.02,58.06
Recoil,0.00,0.05,0.00,0.00,0.00,0.00,100.00,38.94
Reload,-10.12,-0.09,89.88,37.95,10.10,47.77,0.02,35.48
WeaponSpeed,0.00,-0.04,0.00,0.00,0.00,0.00,100.00,38.94
Range,1.62,0.24,89.95,38.01,10.03,47.26,0.02,38.24
Splash,0.00,0.08,0.00,0.00,0.00,0.00,100.00,38.94
Bulwark,-36.04,-0.36,4.87,57.44,0.00,0.00,95.13,38.00
Katbus,23.71,0.24,4.97,58.75,0.00,0.00,95.03,37.91
Locust,-0.85,-0.01,5.02,44.41,0.00,0.00,94.98,38.65
Kraken,-248.24,-2.48,1.43,89.08,0.00,0.00,98.57,38.21
Predator,-22.99,-0.23,5.03,39.50,0.00,0.00,94.97,38.91
Valkyrie,-27.89,-0.28,4.93,44.34,0.00,0.00,95.07,38.66
Artillery,10.36,0.10,4.96,53.56,0.00,0.00,95.04,38.18
Advanced Destroyer,19.91,0.20,5.07,51.44,0.00,0.00,94.93,38.27
Shade,12.21,0.12,4.96,52.74,0.00,0.00,95.04,38.22
Ranking,-0.00,-0.05,0.00,0.00,100.00,38.94,0.00,0.00
Aggression,-0.09,-0.09,0.00,0.00,100.00,38.94,0.00,0.00
vs. Crab,-0.51,-0.01,13.35,38.84,0.00,0.00,86.65,38.96
vs. Hunter,-8.02,-0.08,13.30,37.13,0.00,0.00,86.70,39.22
vs. Guardian Shield,-59.88,-0.60,13.12,43.69,0.00,0.00,86.88,38.23
vs. Recall,-3.19,-0.03,13.28,37.31,0.00,0.00,86.72,39.19
vs. Recall Hunter,-9.11,-0.09,13.34,38.38,0.00,0.00,86.66,39.03
vs. Scorpion,0.15,0.00,13.26,35.52,0.00,0.00,86.74,39.47
vs. Beetle,-8.30,-0.08,13.35,36.62,0.00,0.00,86.65,39.30
vs. Blink,-2.48,-0.02,13.34,39.53,0.00,0.00,86.66,38.85
vs. Blink Hunter,-8.23,-0.08,13.34,42.33,0.00,0.00,86.66,38.42
vs. Gunbot,-1.50,-0.01,13.32,38.59,0.00,0.00,86.68,39.00
vs. Missilebot,-7.98,-0.08,13.19,37.43,0.00,0.00,86.81,39.17
vs. Wasp,0.17,0.00,13.32,40.36,0.00,0.00,86.68,38.72
vs. Hornet,-8.18,-0.08,13.36,41.56,0.00,0.00,86.64,38.54
vs. Knight,-5.22,-0.05,13.34,38.42,0.00,0.00,86.66,39.02
vs. Crossbow,-17.49,-0.17,13.38,38.24,0.00,0.00,86.62,39.05
vs. Ballista,-21.32,-0.21,5.89,40.03,0.00,0.00,94.11,38.87
vs. King Crab,-19.29,-0.19,5.95,37.92,0.00,0.00,94.05,39.01
vs. Crusader,-17.26,-0.17,5.88,33.44,0.00,0.00,94.12,39.29
vs. Bomber,-7.22,-0.07,5.90,34.87,0.00,0.00,94.10,39.20
vs. Shocker,-20.47,-0.20,5.93,37.45,0.00,0.00,94.07,39.04
vs. Recall Shocker,-21.31,-0.21,5.91,35.49,0.00,0.00,94.09,39.16
vs. Mortar,-20.51,-0.21,5.90,29.88,0.00,0.00,94.10,39.51
vs. Swift Shocker,-20.44,-0.20,5.89,39.86,0.00,0.00,94.11,38.89
vs. Heavy Hunter,-20.95,-0.21,5.90,35.48,0.00,0.00,94.10,39.16
vs. Destroyer,-21.86,-0.22,5.99,36.43,0.00,0.00,94.01,39.10
vs. Raider,-23.00,-0.23,5.92,52.00,0.00,0.00,94.08,38.12
vs. Turret,-23.95,-0.24,5.92,37.46,0.00,0.00,94.08,39.04
