Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,16.19,0.16,13.36,71.26,0.00,0.00,86.64,65.96
Hunter,-20.41,-0.20,13.34,62.68,0.00,0.00,86.66,67.28
Guardian Shield,85.37,0.85,13.16,68.28,0.00,0.00,86.84,66.42
Recall,1.02,0.01,13.20,71.78,0.00,0.00,86.80,65.89
Recall Hunter,-7.46,-0.07,13.29,62.76,0.00,0.00,86.71,67.26
Scorpion,10.32,0.10,13.12,73.51,0.00,0.00,86.88,65.63
Beetle,-23.08,-0.23,13.54,63.36,0.00,0.00,86.46,67.18
Blink,-5.51,-0.06,13.41,70.15,0.00,0.00,86.59,66.13
Blink Hunter,-14.15,-0.14,13.33,60.60,0.00,0.00,86.67,67.60
Gunbot,-0.49,-0.00,13.25,70.34,0.00,0.00,86.75,66.11
Missilebot,-17.35,-0.17,13.19,62.97,0.00,0.00,86.81,67.23
Wasp,4.35,0.04,13.43,70.88,0.00,0.00,86.57,66.01
Hornet,-20.12,-0.20,13.35,60.00,0.00,0.00,86.65,67.69
Knight,-19.79,-0.20,13.32,69.36,0.00,0.00,86.68,66.25
Crossbow,-42.38,-0.42,13.10,62.41,0.00,0.00,86.90,67.31
Ballista,-49.65,-0.50,6.85,60.83,0.00,0.00,93.15,67.10
King Crab,-22.26,-0.22,7.04,63.07,0.00,0.00,92.96,66.94
Crusader,-11.98,-0.12,7.09,67.66,0.00,0.00,92.91,66.59
Bomber,-22.65,-0.23,7.01,65.44,0.00,0.00,92.99,66.76
Shocker,-48.31,-0.48,7.14,63.94,0.00,0.00,92.86,66.88
Recall Shocker,-15.63,-0.16,7.07,66.24,0.00,0.00,92.93,66.70
Mortar,-32.70,-0.33,7.12,75.33,0.00,0.00,92.88,66.00
Swift Shocker,-52.67,-0.53,7.14,61.58,0.00,0.00,92.86,67.06
Heavy Hunter,-34.70,-0.35,7.09,63.27,0.00,0.00,92.91,66.93
Destroyer,-31.17,-0.31,7.21,66.52,0.00,0.00,92.79,66.68
Raider,0.38,0.00,7.19,55.04,0.00,0.00,92.81,67.57
Turret,-1.83,-0.02,7.15,67.41,0.00,0.00,92.85,66.61
Heavy Ballista,-127.75,-1.28,8.34,66.88,0.00,0.00,91.66,66.65
Matter,0.92,2.31,80.63,69.96,19.34,52.94,0.03,60.00
Energy,1.91,4.77,80.40,70.01,19.57,52.97,0.03,50.00
Bandwidth,-1.51,-0.15,80.91,69.92,19.07,52.88,0.02,55.56
Health,0.02,2.82,80.45,70.06,19.51,52.71,0.04,50.00
Radius,-85.69,-2.57,80.58,69.92,19.39,53.18,0.03,41.67
Speed,70.91,4.47,80.43,69.87,19.55,53.50,0.02,53.33
Damage,0.78,3.89,80.38,70.13,19.59,52.49,0.03,55.56
Windup,-3317.49,-3.32,80.49,69.94,19.48,53.20,0.03,30.43
Recoil,-1677.66,-1.68,80.30,69.98,19.66,53.14,0.03,64.29
Reload,-1874.13,-2.44,80.46,69.89,19.52,53.40,0.02,61.90
WeaponSpeed,-11.90,-1.19,80.27,69.96,19.69,53.28,0.03,55.56
Range,89.45,7.16,80.54,70.04,19.43,52.72,0.03,46.15
Splash,0.00,0.49,0.00,0.00,0.00,0.00,100.00,66.67
Sniper,-49.32,-0.49,8.20,71.79,0.00,0.00,91.80,66.21
Advanced Blink,-35.89,-0.36,8.33,60.44,0.00,0.00,91.67,67.23
Assaultbot,-13.31,-0.13,8.20,74.51,0.00,0.00,91.80,65.97
Advancedbot,-18.78,-0.19,8.46,67.58,0.00,0.00,91.54,66.58
Behemoth,-58.14,-0.58,8.36,71.88,0.00,0.00,91.64,66.19
Advanced Mortar,-70.18,-0.70,8.37,76.42,0.00,0.00,91.63,65.78
Blaster,-114.62,-1.15,8.17,70.90,0.00,0.00,91.83,66.29
