Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,-7.16,-0.07,7.16,55.08,0.00,0.00,92.84,48.97
Hunter,-6.30,-0.06,7.14,39.71,0.00,0.00,92.86,50.16
Matter,0.00,0.40,0.00,0.00,0.00,0.00,100.00,49.41
Energy,0.00,-0.00,0.00,0.00,0.00,0.00,100.00,49.41
Bandwidth,0.00,-0.12,0.00,0.00,0.00,0.00,100.00,49.41
Health,0.00,-0.41,0.00,0.00,0.00,0.00,100.00,49.41
Radius,0.00,-0.56,0.00,0.00,0.00,0.00,100.00,49.41
Speed,0.00,0.47,0.00,0.00,0.00,0.00,100.00,49.41
Damage,-1.97,-1.97,50.07,49.31,49.86,49.51,0.07,51.24
Duration,-468.96,-2.34,49.82,49.32,50.09,49.51,0.08,48.77
Windup,0.00,-0.04,0.00,0.00,0.00,0.00,100.00,49.41
Recoil,0.00,-0.32,0.00,0.00,0.00,0.00,100.00,49.41
WeaponSpeed,0.00,-0.71,0.00,0.00,0.00,0.00,100.00,49.41
Range,20.34,4.47,49.94,49.58,49.98,49.25,0.08,49.23
Splash,0.00,-0.03,0.00,0.00,0.00,0.00,100.00,49.41
Recall,1.91,0.02,7.16,69.16,0.00,0.00,92.84,47.89
Recall Hunter,18.15,0.18,7.18,42.33,0.00,0.00,92.82,49.96
Scorpion,-3.63,-0.04,7.17,59.01,0.00,0.00,92.83,48.67
Beetle,-6.85,-0.07,7.12,42.80,0.00,0.00,92.88,49.92
Blink,-7.01,-0.07,7.14,57.33,0.00,0.00,92.86,48.80
Blink Hunter,-7.86,-0.08,7.10,29.71,0.00,0.00,92.90,50.92
Gunbot,-3.38,-0.03,7.14,62.55,0.00,0.00,92.86,48.40
Missilebot,-3.50,-0.03,7.12,41.28,0.00,0.00,92.88,50.03
Wasp,-2.22,-0.02,7.13,59.01,0.00,0.00,92.87,48.67
Hornet,-9.42,-0.09,7.07,31.00,0.00,0.00,92.93,50.81
Knight,-13.54,-0.14,7.20,62.46,0.00,0.00,92.80,48.40
Crossbow,-13.30,-0.13,7.16,39.86,0.00,0.00,92.84,50.15
Ballista,-16.69,-0.17,4.17,42.07,0.00,0.00,95.83,49.73
King Crab,-21.14,-0.21,4.20,44.83,0.00,0.00,95.80,49.61
Crusader,-23.21,-0.23,4.24,49.55,0.00,0.00,95.76,49.41
Bomber,-8.20,-0.08,4.29,49.58,0.00,0.00,95.71,49.40
Shocker,-17.63,-0.18,4.23,46.52,0.00,0.00,95.77,49.54
Recall Shocker,32.21,0.32,4.29,54.43,0.00,0.00,95.71,49.19
Mortar,-20.46,-0.20,4.26,60.91,0.00,0.00,95.74,48.90
Swift Shocker,-19.01,-0.19,4.24,43.31,0.00,0.00,95.76,49.68
Heavy Hunter,-1.96,-0.02,4.24,43.63,0.00,0.00,95.76,49.67
Destroyer,-12.93,-0.13,4.27,46.12,0.00,0.00,95.73,49.56
Raider,36.09,0.36,4.31,31.14,0.00,0.00,95.69,50.23
Turret,22.93,0.23,4.17,61.36,0.00,0.00,95.83,48.89
Heavy Ballista,-47.48,-0.47,2.74,55.11,0.00,0.00,97.26,49.25
Gargantua,-60.70,-0.61,2.79,68.54,0.00,0.00,97.21,48.86
Sniper,-11.30,-0.11,2.85,56.33,0.00,0.00,97.15,49.21
Advanced Blink,-25.86,-0.26,2.85,51.84,0.00,0.00,97.15,49.34
Assaultbot,-4.01,-0.04,2.89,61.24,0.00,0.00,97.11,49.06
Advancedbot,-6.05,-0.06,2.86,62.20,0.00,0.00,97.14,49.04
Behemoth,-19.80,-0.20,2.83,60.81,0.00,0.00,97.17,49.08
Advanced Mortar,-27.89,-0.28,2.86,69.81,0.00,0.00,97.14,48.81
Blaster,-31.21,-0.31,2.83,63.86,0.00,0.00,97.17,48.99
Butterfly,-10.96,-0.11,6.30,45.77,0.00,0.00,93.70,49.66
Dragonfly,-14.13,-0.14,6.25,46.35,0.00,0.00,93.75,49.62
Falcon,-15.99,-0.16,6.29,53.95,0.00,0.00,93.71,49.11
Airship,-5.46,-0.05,6.32,45.87,0.00,0.00,93.68,49.65
Advanced Recall,3.91,0.04,6.32,54.48,0.00,0.00,93.68,49.07
Mammoth,-23.47,-0.23,6.31,53.07,0.00,0.00,93.69,49.17
Stinger,-16.93,-0.17,6.19,36.31,0.00,0.00,93.81,50.28
Flak Turret,51.19,0.51,6.28,40.68,0.00,0.00,93.72,50.00
Bulwark,-45.77,-0.46,2.76,61.78,0.00,0.00,97.24,49.06
Katbus,-46.35,-0.46,2.84,58.62,0.00,0.00,97.16,49.14
Locust,-8.54,-0.09,2.87,46.85,0.00,0.00,97.13,49.49
Kraken,-326.13,-3.26,1.09,88.79,0.00,0.00,98.91,48.98
Predator,13.29,0.13,2.93,44.87,0.00,0.00,97.07,49.55
Valkyrie,-9.82,-0.10,2.84,48.50,0.00,0.00,97.16,49.44
Artillery,-16.71,-0.17,2.89,52.96,0.00,0.00,97.11,49.31
Advanced Destroyer,-1.98,-0.02,2.87,50.78,0.00,0.00,97.13,49.37
Shade,-24.09,-0.24,2.83,53.29,0.00,0.00,97.17,49.30
