Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,16.09,0.16,7.14,61.86,0.00,0.00,92.86,57.89
Hunter,-11.88,-0.12,7.12,55.98,0.00,0.00,92.88,58.34
Guardian Shield,29.92,0.30,7.10,62.55,0.00,0.00,92.90,57.83
Recall,-3.22,-0.03,7.12,64.83,0.00,0.00,92.88,57.66
Recall Hunter,-9.32,-0.09,7.17,53.48,0.00,0.00,92.83,58.53
Scorpion,11.67,0.12,7.16,64.80,0.00,0.00,92.84,57.66
Beetle,-11.69,-0.12,7.11,56.18,0.00,0.00,92.89,58.32
Blink,-8.80,-0.09,7.14,61.49,0.00,0.00,92.86,57.91
Blink Hunter,-11.60,-0.12,7.10,47.40,0.00,0.00,92.90,58.99
Matter,0.14,0.07,96.76,58.56,3.23,46.63,0.01,39.29
Energy,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,58.17
Bandwidth,-3.52,-0.04,96.83,58.54,3.17,46.86,0.01,34.78
Health,0.04,0.22,96.81,58.55,3.19,46.65,0.00,33.33
Radius,-31.91,-0.26,96.77,58.56,3.22,46.59,0.01,53.33
Speed,3.21,0.20,96.76,58.53,3.24,47.25,0.01,52.38
Damage,0.37,0.19,96.76,58.56,3.23,46.36,0.00,47.06
Duration,-53.32,-0.29,96.73,58.56,3.26,46.52,0.00,47.37
Windup,-92.98,-0.09,96.78,58.54,3.22,46.96,0.00,42.86
Recoil,-27.89,-0.07,96.78,58.56,3.21,46.46,0.01,48.39
WeaponSpeed,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,58.17
Range,7.34,0.59,96.74,58.56,3.26,46.52,0.01,50.00
Splash,0.00,-0.02,0.00,0.00,0.00,0.00,100.00,58.17
Missilebot,-10.04,-0.10,7.12,56.88,0.00,0.00,92.88,58.27
Wasp,2.22,0.02,7.13,61.88,0.00,0.00,92.87,57.88
Hornet,-14.35,-0.14,7.14,48.84,0.00,0.00,92.86,58.89
Knight,-2.29,-0.02,7.20,64.34,0.00,0.00,92.80,57.69
Crossbow,-23.78,-0.24,7.07,53.84,0.00,0.00,92.93,58.50
Ballista,-41.15,-0.41,4.25,47.86,0.00,0.00,95.75,58.63
King Crab,-12.59,-0.13,4.17,48.44,0.00,0.00,95.83,58.59
Crusader,35.82,0.36,4.22,53.93,0.00,0.00,95.78,58.36
Bomber,-18.59,-0.19,4.29,51.44,0.00,0.00,95.71,58.47
Shocker,-40.84,-0.41,4.23,50.49,0.00,0.00,95.77,58.51
Recall Shocker,-34.11,-0.34,4.18,54.44,0.00,0.00,95.82,58.33
Mortar,-36.12,-0.36,4.23,63.28,0.00,0.00,95.77,57.94
Swift Shocker,-46.26,-0.46,4.25,47.57,0.00,0.00,95.75,58.64
Heavy Hunter,-15.71,-0.16,4.23,51.14,0.00,0.00,95.77,58.48
Destroyer,-31.08,-0.31,4.24,50.52,0.00,0.00,95.76,58.51
Raider,-34.99,-0.35,4.22,36.25,0.00,0.00,95.78,59.13
Turret,-19.97,-0.20,4.25,58.66,0.00,0.00,95.75,58.15
Heavy Ballista,-66.54,-0.67,2.82,57.50,0.00,0.00,97.18,58.19
Gargantua,-25.57,-0.26,2.80,70.89,0.00,0.00,97.20,57.80
Sniper,-37.21,-0.37,2.86,59.58,0.00,0.00,97.14,58.13
Advanced Blink,-17.19,-0.17,2.87,54.78,0.00,0.00,97.13,58.27
Assaultbot,-7.93,-0.08,2.85,62.82,0.00,0.00,97.15,58.03
Advancedbot,-4.24,-0.04,2.89,65.67,0.00,0.00,97.11,57.95
Behemoth,5.80,0.06,2.88,62.47,0.00,0.00,97.12,58.04
Advanced Mortar,-19.11,-0.19,2.85,73.24,0.00,0.00,97.15,57.73
Blaster,-24.48,-0.24,2.92,67.06,0.00,0.00,97.08,57.90
Butterfly,-29.99,-0.30,6.37,50.53,0.00,0.00,93.63,58.69
Dragonfly,-18.51,-0.19,6.33,50.98,0.00,0.00,93.67,58.66
Falcon,-24.39,-0.24,6.36,58.25,0.00,0.00,93.64,58.16
Airship,-18.59,-0.19,6.32,52.84,0.00,0.00,93.68,58.53
Advanced Recall,-15.16,-0.15,6.37,55.18,0.00,0.00,93.63,58.37
Mammoth,7.16,0.07,6.27,55.76,0.00,0.00,93.73,58.33
Stinger,-40.01,-0.40,6.33,41.07,0.00,0.00,93.67,59.33
Flak Turret,-40.75,-0.41,6.27,43.21,0.00,0.00,93.73,59.17
Bulwark,-35.68,-0.36,2.88,66.97,0.00,0.00,97.12,57.91
Katbus,-57.21,-0.57,2.87,61.65,0.00,0.00,97.13,58.07
Locust,-7.84,-0.08,2.98,48.33,0.00,0.00,97.02,58.47
Kraken,-247.97,-2.48,1.17,88.51,0.00,0.00,98.83,57.81
Predator,-20.60,-0.21,2.91,49.67,0.00,0.00,97.09,58.42
