Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,10.38,0.10,13.26,57.53,0.00,0.00,86.74,56.00
Hunter,-4.06,-0.04,13.55,55.98,0.00,0.00,86.45,56.23
Guardian Shield,-117.59,-1.18,12.90,55.34,0.00,0.00,87.10,56.33
Recall,-1.36,-0.01,13.24,58.95,0.00,0.00,86.76,55.78
Recall Hunter,3.63,0.04,13.40,55.54,0.00,0.00,86.60,56.30
Scorpion,7.00,0.07,13.34,60.01,0.00,0.00,86.66,55.61
Beetle,-5.53,-0.06,13.27,56.64,0.00,0.00,86.73,56.13
Blink,-8.92,-0.09,13.38,55.82,0.00,0.00,86.62,56.26
Blink Hunter,-2.23,-0.02,13.20,52.76,0.00,0.00,86.80,56.72
Gunbot,-1.51,-0.02,13.34,56.91,0.00,0.00,86.66,56.09
Missilebot,-3.20,-0.03,13.37,56.47,0.00,0.00,86.63,56.16
Wasp,-0.07,-0.00,13.49,56.19,0.00,0.00,86.51,56.20
Hornet,-9.66,-0.10,13.20,52.36,0.00,0.00,86.80,56.78
Knight,-14.12,-0.14,13.30,56.37,0.00,0.00,86.70,56.17
Crossbow,-5.17,-0.05,13.18,56.26,0.00,0.00,86.82,56.19
Ballista,-58.39,-0.58,7.05,50.18,0.00,0.00,92.95,56.66
King Crab,-18.74,-0.19,7.23,53.47,0.00,0.00,92.77,56.41
Crusader,18.68,0.19,7.24,57.87,0.00,0.00,92.76,56.07
Bomber,-41.96,-0.42,7.16,54.69,0.00,0.00,92.84,56.32
Shocker,-64.31,-0.64,7.17,52.18,0.00,0.00,92.83,56.51
Recall Shocker,-14.84,-0.15,7.06,55.32,0.00,0.00,92.94,56.27
Mortar,-39.49,-0.39,7.17,62.43,0.00,0.00,92.83,55.72
Swift Shocker,-82.58,-0.83,7.12,50.42,0.00,0.00,92.88,56.64
Heavy Hunter,3.16,0.03,7.13,57.97,0.00,0.00,92.87,56.06
Destroyer,-16.98,-0.17,7.20,56.19,0.00,0.00,92.80,56.20
Raider,1.53,0.02,7.14,45.63,0.00,0.00,92.86,57.01
Turret,10.50,0.11,7.19,58.76,0.00,0.00,92.81,56.00
Matter,-0.14,-0.34,80.61,57.45,19.35,51.04,0.04,45.16
Energy,0.40,1.01,80.50,57.46,19.47,51.00,0.03,53.57
Bandwidth,-3.57,-0.36,81.12,57.42,18.86,50.93,0.03,62.50
Health,0.05,2.28,80.66,57.58,19.30,50.46,0.04,45.45
Radius,-117.42,-2.47,80.61,57.49,19.37,50.81,0.02,72.22
Speed,71.47,4.50,80.70,57.67,19.28,50.06,0.02,38.10
Damage,0.79,4.76,80.56,57.56,19.40,50.56,0.04,55.56
Windup,-2213.07,-2.21,80.59,57.52,19.38,50.75,0.03,41.67
Recoil,-928.18,-4.64,80.61,57.50,19.35,50.80,0.04,55.88
Reload,-1935.10,-1.94,80.52,57.57,19.44,50.58,0.04,38.71
WeaponSpeed,-0.37,-0.07,80.55,57.56,19.42,50.59,0.02,50.00
Range,81.47,8.15,80.52,57.68,19.45,50.10,0.04,46.67
Splash,67.37,1.68,80.56,57.75,19.40,49.77,0.04,58.06
Gargantua,0.27,0.00,8.31,66.88,0.00,0.00,91.69,55.23
Sniper,-56.01,-0.56,8.29,53.81,0.00,0.00,91.71,56.42
Advanced Blink,13.80,0.14,8.26,53.58,0.00,0.00,91.74,56.44
Assaultbot,-16.61,-0.17,8.27,60.04,0.00,0.00,91.73,55.85
Advancedbot,-6.28,-0.06,8.33,63.33,0.00,0.00,91.67,55.55
Behemoth,-27.62,-0.28,8.35,60.08,0.00,0.00,91.65,55.85
Advanced Mortar,-29.98,-0.30,8.33,70.63,0.00,0.00,91.67,54.89
Blaster,-63.13,-0.63,8.33,62.62,0.00,0.00,91.67,55.62
Butterfly,-19.57,-0.20,3.35,50.87,0.00,0.00,96.65,56.39
Dragonfly,-30.41,-0.30,3.42,50.23,0.00,0.00,96.58,56.41
Falcon,-19.91,-0.20,3.34,54.32,0.00,0.00,96.66,56.27
Airship,-11.82,-0.12,3.31,52.63,0.00,0.00,96.69,56.32
Advanced Recall,-14.26,-0.14,3.51,53.43,0.00,0.00,96.49,56.30
Mammoth,0.51,0.01,3.48,55.39,0.00,0.00,96.52,56.23
Stinger,-29.62,-0.30,3.38,45.37,0.00,0.00,96.62,56.58
Flak Turret,-23.27,-0.23,3.40,53.49,0.00,0.00,96.60,56.30
Bulwark,-18.32,-0.18,3.09,58.84,0.00,0.00,96.91,56.12
Katbus,-44.60,-0.45,3.06,56.92,0.00,0.00,96.94,56.18
Locust,-5.55,-0.06,3.05,46.29,0.00,0.00,96.95,56.51
Kraken,-560.97,-5.61,1.15,87.58,0.00,0.00,98.85,55.83
Predator,-5.35,-0.05,3.13,49.96,0.00,0.00,96.87,56.40
Valkyrie,15.64,0.16,3.13,52.78,0.00,0.00,96.87,56.31
Artillery,-63.09,-0.63,3.18,52.49,0.00,0.00,96.82,56.32
Advanced Destroyer,-15.81,-0.16,3.15,53.98,0.00,0.00,96.85,56.27
Shade,-80.55,-0.81,3.11,51.87,0.00,0.00,96.89,56.34
Ranking,-0.00,-0.34,0.00,0.00,100.00,56.20,0.00,0.00
Aggression,-0.48,-0.48,0.00,0.00,100.00,56.20,0.00,0.00
vs. Crab,25.38,0.25,13.31,52.43,0.00,0.00,86.69,56.78
vs. Hunter,65.92,0.66,13.31,61.22,0.00,0.00,86.69,55.43
vs. Guardian Shield,24.18,0.24,12.99,54.73,0.00,0.00,87.01,56.42
vs. Recall,26.10,0.26,13.34,50.40,0.00,0.00,86.66,57.09
vs. Recall Hunter,58.96,0.59,13.19,61.48,0.00,0.00,86.81,55.40
vs. Scorpion,13.24,0.13,13.24,50.67,0.00,0.00,86.76,57.04
vs. Beetle,65.03,0.65,13.22,60.84,0.00,0.00,86.78,55.49
vs. Blink,32.87,0.33,13.22,52.46,0.00,0.00,86.78,56.77
vs. Blink Hunter,59.68,0.60,13.56,62.48,0.00,0.00,86.44,55.22
vs. Gunbot,18.79,0.19,13.27,53.34,0.00,0.00,86.73,56.64
vs. Missilebot,64.36,0.64,13.40,61.11,0.00,0.00,86.60,55.44
vs. Wasp,9.19,0.09,13.23,52.77,0.00,0.00,86.77,56.72
vs. Hornet,63.05,0.63,13.33,63.31,0.00,0.00,86.67,55.11
vs. Knight,-0.60,-0.01,13.23,47.56,0.00,0.00,86.77,57.52
vs. Crossbow,85.86,0.86,13.44,58.65,0.00,0.00,86.56,55.82
vs. Ballista,170.91,1.71,6.03,65.14,0.00,0.00,93.97,55.63
vs. King Crab,63.18,0.63,6.02,61.39,0.00,0.00,93.98,55.87
vs. Crusader,-35.71,-0.36,5.84,52.83,0.00,0.00,94.16,56.41
vs. Bomber,41.83,0.42,6.10,61.77,0.00,0.00,93.90,55.84
vs. Shocker,175.04,1.75,5.95,63.90,0.00,0.00,94.05,55.71
vs. Recall Shocker,121.72,1.22,5.85,58.62,0.00,0.00,94.15,56.05
vs. Mortar,-42.27,-0.42,6.03,43.32,0.00,0.00,93.97,57.03
vs. Swift Shocker,168.96,1.69,5.97,65.79,0.00,0.00,94.03,55.59
vs. Heavy Hunter,130.52,1.31,5.90,65.63,0.00,0.00,94.10,55.61
vs. Destroyer,-26.46,-0.26,5.90,53.53,0.00,0.00,94.10,56.37
vs. Raider,145.31,1.45,5.96,69.38,0.00,0.00,94.04,55.37
vs. Turret,-140.68,-1.41,5.93,45.60,0.00,0.00,94.07,56.87
vs. Heavy Ballista,-38.25,-0.38,6.32,51.11,0.00,0.00,93.68,56.54
vs. Gargantua,-317.73,-3.18,6.31,36.21,0.00,0.00,93.69,57.55
vs. Sniper,-65.31,-0.65,6.47,45.11,0.00,0.00,93.53,56.97
vs. Advanced Blink,-81.58,-0.82,6.46,50.64,0.00,0.00,93.54,56.58
vs. Assaultbot,8.49,0.08,6.49,47.77,0.00,0.00,93.51,56.79
vs. Advancedbot,35.26,0.35,6.49,56.09,0.00,0.00,93.51,56.21
vs. Behemoth,-134.41,-1.34,6.43,39.90,0.00,0.00,93.57,57.32
vs. Advanced Mortar,-64.09,-0.64,6.53,41.38,0.00,0.00,93.47,57.24
vs. Blaster,99.92,1.00,6.45,51.24,0.00,0.00,93.55,56.54
vs. Butterfly,-144.35,-1.44,8.92,52.17,0.00,0.00,91.08,56.60
vs. Dragonfly,-82.92,-0.83,8.90,56.24,0.00,0.00,91.10,56.20
vs. Falcon,-138.28,-1.38,8.97,45.97,0.00,0.00,91.03,57.21
vs. Airship,-44.16,-0.44,8.99,59.70,0.00,0.00,91.01,55.85
vs. Advanced Recall,51.17,0.51,8.93,58.85,0.00,0.00,91.07,55.94
vs. Mammoth,-48.90,-0.49,8.88,50.15,0.00,0.00,91.12,56.79
vs. Stinger,163.63,1.64,9.01,67.07,0.00,0.00,90.99,55.12
vs. Flak Turret,-3.37,-0.03,8.95,65.60,0.00,0.00,91.05,55.28
vs. Bulwark,-324.08,-3.24,6.36,37.28,0.00,0.00,93.64,57.48
vs. Katbus,-320.88,-3.21,6.53,36.77,0.00,0.00,93.47,57.56
vs. Locust,-43.32,-0.43,6.59,55.54,0.00,0.00,93.41,56.25
vs. Kraken,-3000.89,-30.01,3.08,7.14,0.00,0.00,96.92,57.76
vs. Predator,98.87,0.99,6.59,61.42,0.00,0.00,93.41,55.83
vs. Valkyrie,-64.27,-0.64,6.46,56.48,0.00,0.00,93.54,56.18
vs. Artillery,49.30,0.49,6.54,50.71,0.00,0.00,93.46,56.59
vs. Advanced Destroyer,-126.46,-1.26,6.49,42.88,0.00,0.00,93.51,57.12
vs. Shade,-91.50,-0.91,6.50,47.62,0.00,0.00,93.50,56.80
vs. Ranking,0.00,0.38,0.00,0.00,100.00,56.20,0.00,0.00
vs. Aggression,0.01,0.01,0.00,0.00,100.00,56.20,0.00,0.00
