Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,29.19,0.29,13.38,48.97,0.00,0.00,86.62,44.50
Hunter,3.36,0.03,13.39,40.91,0.00,0.00,86.61,45.75
Guardian Shield,-156.35,-1.56,13.26,43.63,0.00,0.00,86.74,45.32
Recall,20.25,0.20,13.35,51.60,0.00,0.00,86.65,44.10
Recall Hunter,0.20,0.00,13.30,39.80,0.00,0.00,86.70,45.91
Scorpion,18.35,0.18,13.49,52.07,0.00,0.00,86.51,44.01
Beetle,5.08,0.05,13.35,41.70,0.00,0.00,86.65,45.62
Blink,25.89,0.26,13.38,49.04,0.00,0.00,86.62,44.49
Blink Hunter,3.62,0.04,13.21,38.18,0.00,0.00,86.79,46.15
Gunbot,11.50,0.12,13.27,51.14,0.00,0.00,86.73,44.17
Missilebot,2.13,0.02,13.26,41.41,0.00,0.00,86.74,45.66
Wasp,8.14,0.08,13.25,47.30,0.00,0.00,86.75,44.76
Hornet,-1.67,-0.02,13.40,38.05,0.00,0.00,86.60,46.19
Knight,50.50,0.51,13.17,51.19,0.00,0.00,86.83,44.17
Crossbow,6.55,0.07,13.20,41.17,0.00,0.00,86.80,45.70
Ballista,32.09,0.32,6.03,42.77,0.00,0.00,93.97,45.25
King Crab,53.82,0.54,6.06,41.34,0.00,0.00,93.94,45.34
Crusader,88.15,0.88,5.95,47.53,0.00,0.00,94.05,44.94
Bomber,16.59,0.17,6.00,44.81,0.00,0.00,94.00,45.12
Shocker,48.09,0.48,5.99,45.52,0.00,0.00,94.01,45.07
Recall Shocker,36.67,0.37,6.06,49.64,0.00,0.00,93.94,44.81
Mortar,67.16,0.67,6.09,64.23,0.00,0.00,93.91,43.86
Swift Shocker,40.02,0.40,5.91,40.79,0.00,0.00,94.09,45.37
Matter,-0.04,-0.05,89.82,44.82,10.17,47.53,0.01,52.94
Energy,0.29,0.36,89.80,44.79,10.18,47.84,0.02,38.46
Bandwidth,-1.01,-0.05,90.15,44.78,9.84,47.98,0.01,46.15
Health,0.05,1.37,89.78,44.80,10.20,47.70,0.02,40.74
Radius,-60.02,-0.60,89.80,44.82,10.18,47.54,0.02,48.00
Speed,5.81,0.55,90.01,44.83,9.97,47.56,0.02,36.36
Damage,1.98,1.58,89.95,44.80,10.04,47.77,0.01,63.16
Duration,-167.56,-2.09,89.90,44.79,10.08,47.91,0.01,31.25
Windup,-362.68,-0.36,89.84,44.79,10.15,47.84,0.01,42.86
Recoil,-34.23,-0.17,89.91,44.78,10.07,47.95,0.02,50.00
WeaponSpeed,5.64,0.56,89.81,44.79,10.17,47.85,0.02,39.13
Range,12.81,1.79,89.89,44.82,10.10,47.54,0.02,50.00
Splash,0.00,0.05,0.00,0.00,0.00,0.00,100.00,45.10
Destroyer,41.82,0.42,6.07,43.57,0.00,0.00,93.93,45.20
Raider,-17.37,-0.17,6.09,27.69,0.00,0.00,93.91,46.23
Turret,-14.98,-0.15,6.09,53.60,0.00,0.00,93.91,44.55
Heavy Ballista,151.40,1.51,4.74,57.56,0.00,0.00,95.26,44.48
Gargantua,144.29,1.44,4.70,63.42,0.00,0.00,95.30,44.20
Sniper,56.34,0.56,4.80,59.46,0.00,0.00,95.20,44.37
Advanced Blink,84.40,0.84,4.82,51.09,0.00,0.00,95.18,44.80
Assaultbot,20.67,0.21,4.85,64.68,0.00,0.00,95.15,44.10
Advancedbot,7.55,0.08,4.84,56.35,0.00,0.00,95.16,44.53
Behemoth,118.74,1.19,4.78,62.44,0.00,0.00,95.22,44.23
Advanced Mortar,35.00,0.35,4.77,65.27,0.00,0.00,95.23,44.09
Blaster,43.78,0.44,4.69,60.11,0.00,0.00,95.31,44.36
Butterfly,15.04,0.15,6.04,44.04,0.00,0.00,93.96,45.17
Dragonfly,-14.30,-0.14,6.09,42.34,0.00,0.00,93.91,45.28
Falcon,24.88,0.25,6.09,50.50,0.00,0.00,93.91,44.75
Airship,-28.95,-0.29,6.07,41.49,0.00,0.00,93.93,45.33
Advanced Recall,21.84,0.22,6.10,46.82,0.00,0.00,93.90,44.99
Mammoth,92.95,0.93,6.03,49.13,0.00,0.00,93.97,44.84
Stinger,1.53,0.02,6.07,35.14,0.00,0.00,93.93,45.74
Flak Turret,-22.07,-0.22,6.14,36.56,0.00,0.00,93.86,45.66
Bulwark,33.88,0.34,1.53,58.41,0.00,0.00,98.47,44.89
Katbus,111.63,1.12,1.55,58.66,0.00,0.00,98.45,44.89
Locust,-0.48,-0.00,1.61,50.05,0.00,0.00,98.39,45.02
Kraken,264.37,2.64,0.64,83.89,0.00,0.00,99.36,44.85
Predator,-23.25,-0.23,1.63,47.20,0.00,0.00,98.37,45.06
Valkyrie,-29.22,-0.29,1.60,51.89,0.00,0.00,98.40,44.99
Artillery,40.62,0.41,1.60,54.28,0.00,0.00,98.40,44.95
Advanced Destroyer,38.32,0.38,1.57,56.17,0.00,0.00,98.43,44.92
Shade,33.15,0.33,1.62,54.57,0.00,0.00,98.38,44.94
Ranking,-0.00,-0.16,0.00,0.00,100.00,45.10,0.00,0.00
Aggression,-0.38,-0.38,0.00,0.00,100.00,45.10,0.00,0.00
vs. Crab,-33.04,-0.33,13.32,39.01,0.00,0.00,86.68,46.03
vs. Hunter,2.97,0.03,13.00,49.69,0.00,0.00,87.00,44.41
vs. Guardian Shield,160.91,1.61,13.16,47.13,0.00,0.00,86.84,44.79
vs. Recall,-25.85,-0.26,13.29,36.54,0.00,0.00,86.71,46.41
vs. Recall Hunter,1.73,0.02,13.32,51.01,0.00,0.00,86.68,44.19
vs. Scorpion,-19.11,-0.19,13.36,35.41,0.00,0.00,86.64,46.59
vs. Beetle,-0.46,-0.00,13.40,49.26,0.00,0.00,86.60,44.46
vs. Blink,-23.63,-0.24,13.36,40.49,0.00,0.00,86.64,45.81
