Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,51.40,0.51,7.14,50.22,0.00,0.00,92.86,39.33
Hunter,-0.76,-0.01,7.08,31.75,0.00,0.00,92.92,40.75
Guardian Shield,-459.32,-4.59,7.03,31.00,0.00,0.00,92.97,40.80
Recall,16.53,0.17,7.09,48.77,0.00,0.00,92.91,39.45
Recall Hunter,-2.33,-0.02,7.10,29.62,0.00,0.00,92.90,40.91
Scorpion,32.02,0.32,7.15,54.11,0.00,0.00,92.85,39.03
Beetle,0.08,0.00,7.20,33.17,0.00,0.00,92.80,40.65
Blink,27.70,0.28,7.10,46.88,0.00,0.00,92.90,39.59
Blink Hunter,-0.54,-0.01,7.15,27.11,0.00,0.00,92.85,41.11
Gunbot,10.35,0.10,7.13,48.84,0.00,0.00,92.87,39.44
Missilebot,-0.75,-0.01,7.15,31.86,0.00,0.00,92.85,40.74
Wasp,16.92,0.17,7.18,47.07,0.00,0.00,92.82,39.57
Matter,-0.20,-0.10,95.39,39.77,4.61,47.09,0.01,57.14
Energy,-0.46,-0.23,95.38,39.76,4.61,47.36,0.01,58.06
Bandwidth,1.49,0.03,95.57,39.78,4.42,47.24,0.01,43.24
Health,0.10,0.62,95.36,39.75,4.63,47.41,0.01,29.41
Radius,-59.01,-0.59,95.44,39.77,4.55,47.17,0.01,40.00
Speed,0.29,0.04,95.39,39.77,4.60,47.06,0.01,40.91
Damage,4.90,0.73,95.38,39.75,4.62,47.43,0.01,47.62
Duration,-530.04,-1.06,95.39,39.75,4.61,47.36,0.01,75.76
Windup,-155.84,-0.16,95.36,39.75,4.63,47.54,0.01,55.56
Recoil,-229.75,-0.11,95.38,39.76,4.61,47.29,0.01,60.87
WeaponSpeed,0.00,-0.06,0.00,0.00,0.00,0.00,100.00,40.11
Range,18.23,1.82,95.35,39.74,4.64,47.58,0.01,50.00
Splash,0.00,0.07,0.00,0.00,0.00,0.00,100.00,40.11
Knight,45.13,0.45,7.18,49.92,0.00,0.00,92.82,39.35
Crossbow,-5.60,-0.06,7.17,30.92,0.00,0.00,92.83,40.82
Ballista,9.90,0.10,4.23,40.80,0.00,0.00,95.77,40.08
King Crab,89.31,0.89,4.26,43.78,0.00,0.00,95.74,39.94
Crusader,130.52,1.31,4.23,49.74,0.00,0.00,95.77,39.68
Bomber,23.88,0.24,4.22,46.87,0.00,0.00,95.78,39.81
Shocker,24.50,0.25,4.23,44.19,0.00,0.00,95.77,39.93
Recall Shocker,13.79,0.14,4.23,47.17,0.00,0.00,95.77,39.80
Mortar,32.90,0.33,4.26,59.10,0.00,0.00,95.74,39.26
Swift Shocker,39.52,0.40,4.19,40.83,0.00,0.00,95.81,40.08
Heavy Hunter,-15.70,-0.16,4.26,38.05,0.00,0.00,95.74,40.20
Destroyer,21.14,0.21,4.26,44.64,0.00,0.00,95.74,39.91
Raider,9.31,0.09,4.23,29.40,0.00,0.00,95.77,40.58
Turret,-8.14,-0.08,4.24,52.40,0.00,0.00,95.76,39.56
Heavy Ballista,46.01,0.46,2.79,52.52,0.00,0.00,97.21,39.75
Gargantua,24.81,0.25,2.81,60.54,0.00,0.00,97.19,39.52
Sniper,17.50,0.17,2.84,54.43,0.00,0.00,97.16,39.69
Advanced Blink,65.96,0.66,2.86,47.75,0.00,0.00,97.14,39.88
Assaultbot,12.77,0.13,2.89,60.72,0.00,0.00,97.11,39.49
Advancedbot,3.94,0.04,2.87,54.17,0.00,0.00,97.13,39.69
