Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,41.86,0.42,7.16,52.11,0.00,0.00,92.84,44.48
Matter,-0.19,-0.10,95.40,44.85,4.59,48.79,0.01,29.17
Energy,-0.43,-0.21,95.42,44.84,4.57,48.96,0.01,58.82
Bandwidth,-0.14,-0.00,95.55,44.88,4.44,48.25,0.01,35.29
Health,0.07,0.65,95.41,44.87,4.59,48.41,0.01,56.67
Radius,-78.49,-0.71,95.42,44.85,4.58,48.74,0.01,54.17
Speed,4.52,0.36,95.40,44.87,4.59,48.31,0.01,46.88
Damage,1.22,0.92,95.40,44.86,4.60,48.48,0.01,61.54
Duration,-111.17,-1.11,95.44,44.86,4.55,48.72,0.01,30.00
Windup,-114.91,-0.11,95.36,44.86,4.64,48.60,0.01,44.44
Recoil,-26.56,-0.13,95.37,44.85,4.62,48.71,0.01,60.61
WeaponSpeed,-0.47,-0.09,95.38,44.87,4.62,48.34,0.01,26.92
Range,18.51,1.85,95.43,44.85,4.56,48.76,0.01,29.63
Splash,0.00,-0.04,0.00,0.00,0.00,0.00,100.00,45.03
Guardian Shield,-152.71,-1.53,7.11,39.71,0.00,0.00,92.89,45.44
Recall,28.64,0.29,7.12,55.49,0.00,0.00,92.88,44.23
Recall Hunter,6.29,0.06,7.16,35.47,0.00,0.00,92.84,45.77
Scorpion,24.93,0.25,7.14,55.42,0.00,0.00,92.86,44.23
Beetle,5.91,0.06,7.15,39.70,0.00,0.00,92.85,45.44
Blink,28.94,0.29,7.09,51.24,0.00,0.00,92.91,44.56
Blink Hunter,3.09,0.03,7.20,31.75,0.00,0.00,92.80,46.06
Gunbot,14.90,0.15,7.11,55.98,0.00,0.00,92.89,44.19
Missilebot,6.89,0.07,7.14,38.33,0.00,0.00,92.86,45.55
Wasp,10.96,0.11,7.11,49.21,0.00,0.00,92.89,44.71
Hornet,-3.38,-0.03,7.08,31.75,0.00,0.00,92.92,46.04
Knight,65.09,0.65,7.16,56.31,0.00,0.00,92.84,44.16
Crossbow,8.02,0.08,7.11,37.90,0.00,0.00,92.89,45.58
Ballista,26.49,0.26,4.13,44.04,0.00,0.00,95.87,45.07
King Crab,62.40,0.62,4.23,45.06,0.00,0.00,95.77,45.03
Crusader,113.73,1.14,4.18,51.27,0.00,0.00,95.82,44.76
Bomber,15.68,0.16,4.24,48.88,0.00,0.00,95.76,44.86
Shocker,37.82,0.38,4.25,47.78,0.00,0.00,95.75,44.91
Recall Shocker,39.63,0.40,4.21,52.08,0.00,0.00,95.79,44.72
Mortar,54.78,0.55,4.18,63.52,0.00,0.00,95.82,44.22
Swift Shocker,31.93,0.32,4.26,43.34,0.00,0.00,95.74,45.11
Heavy Hunter,-3.37,-0.03,4.26,40.91,0.00,0.00,95.74,45.21
Destroyer,40.10,0.40,4.21,47.84,0.00,0.00,95.79,44.91
Raider,-0.19,-0.00,4.21,32.13,0.00,0.00,95.79,45.60
Turret,6.83,0.07,4.26,54.80,0.00,0.00,95.74,44.60
Heavy Ballista,116.87,1.17,2.87,56.01,0.00,0.00,97.13,44.71
Gargantua,86.51,0.87,2.81,62.69,0.00,0.00,97.19,44.52
Sniper,42.56,0.43,2.84,57.97,0.00,0.00,97.16,44.65
Advanced Blink,67.95,0.68,2.83,50.64,0.00,0.00,97.17,44.87
Assaultbot,14.77,0.15,2.80,62.05,0.00,0.00,97.20,44.54
Advancedbot,5.63,0.06,2.87,56.42,0.00,0.00,97.13,44.69
Behemoth,130.82,1.31,2.86,62.65,0.00,0.00,97.14,44.51
Advanced Mortar,28.26,0.28,2.80,66.11,0.00,0.00,97.20,44.42
Blaster,27.10,0.27,2.80,60.22,0.00,0.00,97.20,44.59
Butterfly,17.68,0.18,6.33,45.27,0.00,0.00,93.67,45.01
Dragonfly,2.33,0.02,6.30,44.65,0.00,0.00,93.70,45.06
Falcon,36.60,0.37,6.30,54.72,0.00,0.00,93.70,44.38
Airship,-8.93,-0.09,6.30,43.56,0.00,0.00,93.70,45.13
Advanced Recall,23.72,0.24,6.39,50.75,0.00,0.00,93.61,44.64
Mammoth,122.89,1.23,6.35,54.63,0.00,0.00,93.65,44.38
Stinger,13.86,0.14,6.34,35.99,0.00,0.00,93.66,45.64
Flak Turret,-13.96,-0.14,6.34,35.30,0.00,0.00,93.66,45.69
Bulwark,40.72,0.41,2.86,58.88,0.00,0.00,97.14,44.62
Katbus,106.42,1.06,2.92,57.91,0.00,0.00,97.08,44.64
Locust,5.18,0.05,2.95,43.92,0.00,0.00,97.05,45.06
Kraken,656.50,6.57,1.17,85.98,0.00,0.00,98.83,44.55
Predator,-10.32,-0.10,2.94,42.53,0.00,0.00,97.06,45.11
Valkyrie,-6.58,-0.07,2.85,44.29,0.00,0.00,97.15,45.05
Artillery,46.71,0.47,2.91,54.84,0.00,0.00,97.09,44.74
Advanced Destroyer,35.98,0.36,2.95,51.73,0.00,0.00,97.05,44.83
Shade,40.17,0.40,2.93,51.77,0.00,0.00,97.07,44.83
Ranking,0.01,0.59,0.00,0.00,100.00,45.03,0.00,0.00
Aggression,0.51,0.51,0.00,0.00,100.00,45.03,0.00,0.00
vs. Crab,-32.30,-0.32,13.34,37.33,0.00,0.00,86.66,46.22
vs. Hunter,5.59,0.06,13.29,50.37,0.00,0.00,86.71,44.21
vs. Guardian Shield,108.87,1.09,13.23,47.28,0.00,0.00,86.77,44.69
vs. Recall,-31.20,-0.31,13.42,36.02,0.00,0.00,86.58,46.43
vs. Recall Hunter,12.55,0.13,13.34,53.72,0.00,0.00,86.66,43.69
vs. Scorpion,-19.65,-0.20,13.23,34.47,0.00,0.00,86.77,46.64
vs. Beetle,-1.30,-0.01,13.33,47.77,0.00,0.00,86.67,44.61
vs. Blink,-28.86,-0.29,13.23,39.19,0.00,0.00,86.77,45.92
vs. Blink Hunter,24.93,0.25,13.40,58.03,0.00,0.00,86.60,43.02
vs. Gunbot,-13.09,-0.13,13.27,37.66,0.00,0.00,86.73,46.16
vs. Missilebot,3.99,0.04,13.40,49.70,0.00,0.00,86.60,44.31
vs. Wasp,-10.01,-0.10,13.34,40.48,0.00,0.00,86.66,45.73
vs. Hornet,22.54,0.23,13.28,56.59,0.00,0.00,86.72,43.26
