Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,5.78,0.06,13.42,62.79,0.00,0.00,86.58,59.01
Hunter,-4.83,-0.05,13.48,57.91,0.00,0.00,86.52,59.76
Guardian Shield,-151.38,-1.51,13.01,58.62,0.00,0.00,86.99,59.65
Recall,2.67,0.03,13.30,63.33,0.00,0.00,86.70,58.93
Recall Hunter,-8.11,-0.08,13.43,57.64,0.00,0.00,86.57,59.80
Scorpion,2.98,0.03,13.24,63.54,0.00,0.00,86.76,58.90
Beetle,-2.89,-0.03,13.40,58.80,0.00,0.00,86.60,59.62
Blink,-4.32,-0.04,13.31,60.18,0.00,0.00,86.69,59.41
Blink Hunter,0.84,0.01,13.07,55.32,0.00,0.00,86.93,60.14
Gunbot,1.33,0.01,13.23,61.65,0.00,0.00,86.77,59.19
Missilebot,-6.98,-0.07,13.31,58.52,0.00,0.00,86.69,59.67
Wasp,0.10,0.00,13.29,60.47,0.00,0.00,86.71,59.37
Hornet,-6.16,-0.06,13.38,54.85,0.00,0.00,86.62,60.23
Knight,-12.08,-0.12,13.32,61.66,0.00,0.00,86.68,59.18
Crossbow,-8.38,-0.08,12.98,57.54,0.00,0.00,87.02,59.81
Ballista,-55.96,-0.56,2.26,54.40,0.00,0.00,97.74,59.63
King Crab,-28.27,-0.28,2.23,56.64,0.00,0.00,97.77,59.58
Crusader,-20.32,-0.20,2.28,60.19,0.00,0.00,97.72,59.50
Bomber,-33.28,-0.33,2.29,55.71,0.00,0.00,97.71,59.60
Shocker,-61.07,-0.61,2.22,58.46,0.00,0.00,97.78,59.54
Recall Shocker,-57.22,-0.57,2.35,57.57,0.00,0.00,97.65,59.56
Mortar,-74.90,-0.75,2.22,63.75,0.00,0.00,97.78,59.42
Swift Shocker,-55.04,-0.55,2.28,54.20,0.00,0.00,97.72,59.64
Heavy Hunter,-27.93,-0.28,2.27,58.66,0.00,0.00,97.73,59.53
Destroyer,-50.70,-0.51,2.25,57.73,0.00,0.00,97.75,59.55
Raider,-42.60,-0.43,2.21,48.98,0.00,0.00,97.79,59.75
Turret,-46.24,-0.46,2.26,59.22,0.00,0.00,97.74,59.52
Heavy Ballista,-135.79,-1.36,2.99,56.46,0.00,0.00,97.01,59.61
Gargantua,-70.66,-0.71,2.95,62.72,0.00,0.00,97.05,59.42
Sniper,-87.47,-0.87,3.09,55.06,0.00,0.00,96.91,59.66
Advanced Blink,-3.47,-0.03,3.10,55.12,0.00,0.00,96.90,59.65
Assaultbot,-6.42,-0.06,3.00,62.14,0.00,0.00,97.00,59.43
Advancedbot,-5.36,-0.05,3.16,62.71,0.00,0.00,96.84,59.41
Behemoth,-2.30,-0.02,2.99,61.77,0.00,0.00,97.01,59.44
Advanced Mortar,-64.26,-0.64,3.10,64.53,0.00,0.00,96.90,59.35
Blaster,-58.50,-0.59,3.12,61.47,0.00,0.00,96.88,59.45
Butterfly,-86.20,-0.86,10.98,56.38,0.00,0.00,89.02,59.90
Dragonfly,-76.85,-0.77,10.68,58.21,0.00,0.00,89.32,59.67
Falcon,-73.84,-0.74,10.65,61.61,0.00,0.00,89.35,59.26
Airship,-62.69,-0.63,10.95,59.43,0.00,0.00,89.05,59.52
Advanced Recall,-18.15,-0.18,10.94,63.11,0.00,0.00,89.06,59.07
Mammoth,-8.69,-0.09,10.87,65.97,0.00,0.00,89.13,58.73
Stinger,-46.34,-0.46,11.06,53.28,0.00,0.00,88.94,60.29
Flak Turret,-38.22,-0.38,10.91,59.12,0.00,0.00,89.09,59.56
Bulwark,-105.16,-1.05,8.56,69.68,0.00,0.00,91.44,58.56
Matter,0.61,1.52,79.85,61.06,20.12,53.37,0.03,70.37
Energy,1.35,3.38,79.76,61.22,20.21,52.78,0.03,51.72
Bandwidth,-0.13,-0.01,80.36,61.14,19.60,52.86,0.04,52.78
Health,0.02,2.45,79.66,61.25,20.31,52.73,0.04,53.12
Radius,-62.85,-1.38,79.84,61.22,20.13,52.77,0.03,57.14
Speed,28.53,2.25,79.97,61.08,20.00,53.29,0.03,43.33
Damage,3.04,4.56,79.71,61.35,20.26,52.30,0.03,51.85
Duration,-2387.44,-5.97,79.98,61.02,20.00,53.52,0.02,43.75
Windup,0.00,-0.02,0.00,0.00,0.00,0.00,100.00,59.51
Recoil,0.00,0.40,0.00,0.00,0.00,0.00,100.00,59.51
WeaponSpeed,-10.70,-2.14,79.84,61.09,20.13,53.26,0.03,73.91
Range,84.80,6.78,79.85,61.22,20.11,52.75,0.04,62.50
Splash,0.00,0.82,0.00,0.00,0.00,0.00,100.00,59.51
Locust,-37.42,-0.37,8.69,54.85,0.00,0.00,91.31,59.96
Kraken,-1531.63,-15.32,3.34,86.90,0.00,0.00,96.66,58.57
Predator,-26.51,-0.27,8.76,57.25,0.00,0.00,91.24,59.73
Valkyrie,-58.78,-0.59,8.58,59.21,0.00,0.00,91.42,59.54
Artillery,-92.76,-0.93,8.72,63.65,0.00,0.00,91.28,59.12
Advanced Destroyer,-71.66,-0.72,8.60,60.21,0.00,0.00,91.40,59.45
Shade,-151.00,-1.51,8.41,59.59,0.00,0.00,91.59,59.51
Ranking,0.00,0.25,0.00,0.00,100.00,59.51,0.00,0.00
Aggression,-0.03,-0.03,0.00,0.00,100.00,59.51,0.00,0.00
vs. Crab,19.11,0.19,13.42,57.01,0.00,0.00,86.58,59.90
vs. Hunter,23.27,0.23,13.23,58.51,0.00,0.00,86.77,59.67
vs. Guardian Shield,-17.20,-0.17,13.07,62.33,0.00,0.00,86.93,59.09
vs. Recall,31.43,0.31,13.24,60.33,0.00,0.00,86.76,59.39
vs. Recall Hunter,25.90,0.26,13.18,59.95,0.00,0.00,86.82,59.45
vs. Scorpion,6.07,0.06,13.38,53.02,0.00,0.00,86.62,60.52
vs. Beetle,55.79,0.56,13.44,62.26,0.00,0.00,86.56,59.09
