Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,12.51,0.13,13.22,48.45,0.00,0.00,86.78,46.45
Hunter,-17.42,-0.17,13.28,45.06,0.00,0.00,86.72,46.97
Guardian Shield,-96.05,-0.96,13.13,44.83,0.00,0.00,86.87,47.00
Recall,-10.10,-0.10,13.27,49.61,0.00,0.00,86.73,46.27
Recall Hunter,-16.80,-0.17,13.34,43.90,0.00,0.00,86.66,47.15
Scorpion,12.10,0.12,13.25,51.50,0.00,0.00,86.75,45.98
Beetle,-16.42,-0.16,13.46,46.36,0.00,0.00,86.54,46.77
Blink,-10.78,-0.11,13.36,48.49,0.00,0.00,86.64,46.44
Blink Hunter,-17.78,-0.18,13.49,42.23,0.00,0.00,86.51,47.41
Gunbot,-5.32,-0.05,13.10,48.44,0.00,0.00,86.90,46.45
Missilebot,-16.14,-0.16,13.40,45.12,0.00,0.00,86.60,46.96
Wasp,8.93,0.09,13.38,49.44,0.00,0.00,86.62,46.29
Hornet,-17.49,-0.17,13.39,43.78,0.00,0.00,86.61,47.17
Knight,-23.52,-0.24,13.37,49.05,0.00,0.00,86.63,46.35
Crossbow,-33.70,-0.34,13.22,44.51,0.00,0.00,86.78,47.05
Ballista,-54.69,-0.55,6.06,42.86,0.00,0.00,93.94,46.96
Matter,-0.15,-0.19,89.79,46.71,10.19,46.78,0.02,42.86
Energy,-0.01,-0.01,89.85,46.79,10.13,46.05,0.01,25.00
Bandwidth,-3.69,-0.18,90.16,46.80,9.83,45.95,0.01,40.00
Health,0.06,2.42,89.88,46.76,10.11,46.34,0.01,50.00
Radius,-52.26,-0.99,89.90,46.74,10.08,46.46,0.02,41.67
Speed,19.50,1.84,89.80,46.77,10.19,46.20,0.01,26.67
Damage,0.39,1.36,89.89,46.77,10.10,46.23,0.02,58.33
Duration,-202.49,-1.01,89.86,46.76,10.13,46.29,0.01,41.67
Windup,-322.17,-1.61,89.96,46.78,10.03,46.09,0.01,61.11
Recoil,0.00,-0.61,0.00,0.00,0.00,0.00,100.00,46.71
WeaponSpeed,0.00,0.42,0.00,0.00,0.00,0.00,100.00,46.71
Range,18.97,0.38,89.90,46.72,10.09,46.66,0.01,31.25
Splash,91.58,0.92,89.92,46.75,10.06,46.42,0.02,52.17
Crusader,-2.76,-0.03,5.90,47.17,0.00,0.00,94.10,46.68
Bomber,-14.78,-0.15,6.05,47.64,0.00,0.00,93.95,46.65
