Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,25.73,0.26,7.12,63.76,0.00,0.00,92.88,58.42
Hunter,-7.04,-0.07,7.15,56.31,0.00,0.00,92.85,58.99
Guardian Shield,-32.62,-0.33,7.15,62.46,0.00,0.00,92.85,58.52
Recall,-3.23,-0.03,7.21,65.70,0.00,0.00,92.79,58.26
Recall Hunter,-7.32,-0.07,7.14,52.97,0.00,0.00,92.86,59.25
Scorpion,15.85,0.16,7.12,66.94,0.00,0.00,92.88,58.18
Beetle,-7.50,-0.07,7.15,57.00,0.00,0.00,92.85,58.94
Blink,-9.83,-0.10,7.08,61.59,0.00,0.00,92.92,58.59
Blink Hunter,-7.82,-0.08,7.11,49.10,0.00,0.00,92.89,59.54
Gunbot,-2.81,-0.03,7.17,64.34,0.00,0.00,92.83,58.37
Missilebot,-8.04,-0.08,7.09,55.84,0.00,0.00,92.91,59.03
Wasp,4.66,0.05,7.12,63.25,0.00,0.00,92.88,58.46
Hornet,-11.02,-0.11,7.16,49.92,0.00,0.00,92.84,59.49
Matter,0.26,0.52,92.16,59.67,7.82,48.58,0.01,48.21
Energy,0.00,-0.03,0.00,0.00,0.00,0.00,100.00,58.80
Bandwidth,7.88,0.32,92.45,59.65,7.54,48.45,0.01,40.91
Health,0.05,1.13,92.20,59.68,7.79,48.42,0.01,42.31
Radius,-56.50,-0.85,92.14,59.69,7.84,48.43,0.01,39.62
Speed,12.00,0.99,92.23,59.66,7.76,48.61,0.01,40.43
Damage,0.41,0.75,92.17,59.67,7.82,48.55,0.01,33.33
Duration,-237.14,-1.19,92.15,59.69,7.84,48.35,0.01,54.55
Windup,-312.26,-0.31,92.15,59.66,7.84,48.78,0.01,40.43
Recoil,-74.25,-0.19,92.15,59.68,7.84,48.43,0.01,42.86
WeaponSpeed,-0.95,-0.19,92.21,59.67,7.78,48.47,0.01,50.00
Range,22.53,1.35,92.27,59.64,7.72,48.80,0.01,31.25
Splash,0.00,-0.00,0.00,0.00,0.00,0.00,100.00,58.80
Crossbow,-16.44,-0.16,7.09,54.07,0.00,0.00,92.91,59.16
Ballista,-31.78,-0.32,4.20,47.74,0.00,0.00,95.80,59.29
King Crab,4.18,0.04,4.24,49.05,0.00,0.00,95.76,59.23
Crusader,46.12,0.46,4.26,55.14,0.00,0.00,95.74,58.96
Bomber,-15.75,-0.16,4.21,52.18,0.00,0.00,95.79,59.09
Shocker,-31.31,-0.31,4.25,50.90,0.00,0.00,95.75,59.15
Recall Shocker,-25.82,-0.26,4.25,54.70,0.00,0.00,95.75,58.98
Mortar,-29.23,-0.29,4.16,63.03,0.00,0.00,95.84,58.62
Swift Shocker,-43.30,-0.43,4.22,48.13,0.00,0.00,95.78,59.27
Heavy Hunter,-14.69,-0.15,4.18,51.19,0.00,0.00,95.82,59.13
Destroyer,-24.41,-0.24,4.17,51.20,0.00,0.00,95.83,59.13
Raider,-23.90,-0.24,4.29,36.67,0.00,0.00,95.71,59.79
Turret,-17.80,-0.18,4.21,58.44,0.00,0.00,95.79,58.82
Heavy Ballista,-51.65,-0.52,2.80,56.45,0.00,0.00,97.20,58.87
Gargantua,-16.26,-0.16,2.80,69.56,0.00,0.00,97.20,58.49
Sniper,-29.82,-0.30,2.84,58.30,0.00,0.00,97.16,58.82
Advanced Blink,-1.38,-0.01,2.81,55.33,0.00,0.00,97.19,58.90
Assaultbot,-5.84,-0.06,2.88,63.28,0.00,0.00,97.12,58.67
Advancedbot,-1.94,-0.02,2.90,66.33,0.00,0.00,97.10,58.58
Behemoth,-3.39,-0.03,2.90,61.49,0.00,0.00,97.10,58.72
Advanced Mortar,-13.90,-0.14,2.84,72.80,0.00,0.00,97.16,58.39
Blaster,-15.66,-0.16,2.88,67.92,0.00,0.00,97.12,58.53
Butterfly,-24.34,-0.24,6.35,52.07,0.00,0.00,93.65,59.26
Dragonfly,-10.97,-0.11,6.45,52.78,0.00,0.00,93.55,59.22
Falcon,-20.01,-0.20,6.36,58.41,0.00,0.00,93.64,58.83
Airship,-16.30,-0.16,6.33,53.98,0.00,0.00,93.67,59.13
Advanced Recall,-10.11,-0.10,6.45,56.06,0.00,0.00,93.55,58.99
Mammoth,2.64,0.03,6.29,55.55,0.00,0.00,93.71,59.02
Stinger,-33.27,-0.33,6.34,41.76,0.00,0.00,93.66,59.95
Flak Turret,-33.01,-0.33,6.34,44.24,0.00,0.00,93.66,59.79
