Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,27.11,0.27,12.97,87.93,0.00,0.00,87.03,87.00
Hunter,-2.26,-0.02,13.06,85.98,0.00,0.00,86.94,87.29
Guardian Shield,63.50,0.63,12.12,88.79,0.00,0.00,87.88,86.89
Recall,21.14,0.21,13.03,89.43,0.00,0.00,86.97,86.77
Recall Hunter,26.55,0.27,13.06,85.95,0.00,0.00,86.94,87.29
Scorpion,10.68,0.11,13.11,89.00,0.00,0.00,86.89,86.83
Beetle,-9.29,-0.09,13.29,86.73,0.00,0.00,86.71,87.18
Blink,7.32,0.07,12.85,87.43,0.00,0.00,87.15,87.07
Blink Hunter,-7.23,-0.07,13.06,84.58,0.00,0.00,86.94,87.50
Gunbot,12.18,0.12,13.03,88.51,0.00,0.00,86.97,86.91
Missilebot,2.89,0.03,13.19,85.62,0.00,0.00,86.81,87.35
Wasp,11.59,0.12,13.17,87.99,0.00,0.00,86.83,86.98
Hornet,-11.55,-0.12,12.96,85.74,0.00,0.00,87.04,87.32
Knight,-24.08,-0.24,13.00,87.55,0.00,0.00,87.00,87.05
Crossbow,-21.43,-0.21,13.22,85.88,0.00,0.00,86.78,87.31
Ballista,-180.75,-1.81,2.22,85.30,0.00,0.00,97.78,87.16
King Crab,100.97,1.01,2.38,84.17,0.00,0.00,97.62,87.19
Crusader,1.26,0.01,2.28,86.17,0.00,0.00,97.72,87.14
Bomber,-29.56,-0.30,2.43,84.27,0.00,0.00,97.57,87.19
Shocker,-55.51,-0.56,2.18,87.03,0.00,0.00,97.82,87.12
Recall Shocker,-231.15,-2.31,2.20,85.17,0.00,0.00,97.80,87.16
Mortar,-287.38,-2.87,2.14,86.14,0.00,0.00,97.86,87.14
Swift Shocker,-402.11,-4.02,2.25,82.26,0.00,0.00,97.75,87.23
Heavy Hunter,-10.57,-0.11,2.27,83.89,0.00,0.00,97.73,87.19
Destroyer,-1.65,-0.02,2.24,85.50,0.00,0.00,97.76,87.15
Raider,-121.16,-1.21,2.23,80.05,0.00,0.00,97.77,87.28
Turret,-35.60,-0.36,2.46,88.54,0.00,0.00,97.54,87.08
Heavy Ballista,-380.85,-3.81,2.72,87.68,0.00,0.00,97.28,87.10
Gargantua,-389.62,-3.90,2.89,87.42,0.00,0.00,97.11,87.11
Sniper,-300.90,-3.01,3.23,82.25,0.00,0.00,96.77,87.28
Advanced Blink,-2.61,-0.03,3.01,84.68,0.00,0.00,96.99,87.19
Assaultbot,-10.54,-0.11,3.49,86.00,0.00,0.00,96.51,87.16
Advancedbot,-29.28,-0.29,3.43,85.35,0.00,0.00,96.57,87.18
Behemoth,-89.54,-0.90,3.05,86.00,0.00,0.00,96.95,87.15
Advanced Mortar,-289.27,-2.89,3.17,88.10,0.00,0.00,96.83,87.09
Blaster,-212.52,-2.13,3.11,87.32,0.00,0.00,96.89,87.11
Butterfly,-16.15,-0.16,7.76,86.92,0.00,0.00,92.24,87.13
Dragonfly,-74.16,-0.74,7.74,85.53,0.00,0.00,92.26,87.25
Falcon,-46.15,-0.46,7.70,87.88,0.00,0.00,92.30,87.05
Airship,-30.26,-0.30,7.66,86.10,0.00,0.00,92.34,87.20
Advanced Recall,-16.95,-0.17,7.50,88.82,0.00,0.00,92.50,86.98
Mammoth,-103.00,-1.03,7.70,87.84,0.00,0.00,92.30,87.06
Stinger,-12.20,-0.12,7.68,86.10,0.00,0.00,92.32,87.20
Flak Turret,41.28,0.41,7.60,88.89,0.00,0.00,92.40,86.97
Bulwark,-375.76,-3.76,8.14,87.30,0.00,0.00,91.86,87.10
Katbus,-502.82,-5.03,8.09,86.90,0.00,0.00,91.91,87.14
Locust,-63.05,-0.63,7.55,85.53,0.00,0.00,92.45,87.25
Matter,1.00,29.99,51.79,87.29,48.14,86.94,0.08,85.71
Energy,2.51,75.15,51.54,86.79,48.36,87.48,0.10,81.08
Bandwidth,4.73,3.78,50.05,87.53,49.82,86.71,0.13,85.11
Health,0.01,27.85,51.35,87.96,48.61,86.21,0.04,100.00
Radius,87.15,2.61,51.63,87.61,48.29,86.59,0.08,85.71
Speed,20.41,1.29,51.49,87.34,48.43,86.88,0.09,87.10
Damage,4.05,40.50,51.31,88.34,48.59,85.86,0.10,70.59
Duration,-13667.61,-47.84,51.22,86.26,48.68,88.04,0.10,79.41
Windup,0.00,0.86,0.00,0.00,0.00,0.00,100.00,87.12
Recoil,0.00,-1.44,0.00,0.00,0.00,0.00,100.00,87.12
WeaponSpeed,0.00,-1.92,0.00,0.00,0.00,0.00,100.00,87.12
Range,200.93,24.11,51.59,87.84,48.32,86.36,0.09,75.76
Splash,0.00,1.62,0.00,0.00,0.00,0.00,100.00,87.12
Predator,-156.41,-1.56,7.38,85.95,0.00,0.00,92.62,87.21
Valkyrie,-73.44,-0.73,7.51,85.07,0.00,0.00,92.49,87.28
Artillery,-248.72,-2.49,7.75,88.86,0.00,0.00,92.25,86.97
Advanced Destroyer,-212.13,-2.12,7.98,86.31,0.00,0.00,92.02,87.19
