Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,45.71,0.46,13.31,54.32,0.00,0.00,86.69,46.35
Hunter,-23.89,-0.24,13.38,43.92,0.00,0.00,86.62,47.95
Guardian Shield,-40.65,-0.41,12.94,46.85,0.00,0.00,87.06,47.50
Recall,-10.51,-0.11,13.34,51.85,0.00,0.00,86.66,46.73
Recall Hunter,-22.70,-0.23,13.11,43.28,0.00,0.00,86.89,48.04
Scorpion,30.86,0.31,13.19,58.38,0.00,0.00,86.81,45.75
Beetle,-25.55,-0.26,13.55,45.24,0.00,0.00,86.45,47.75
Blink,-11.49,-0.11,13.32,48.65,0.00,0.00,86.68,47.22
Blink Hunter,-25.70,-0.26,13.28,40.70,0.00,0.00,86.72,48.44
Gunbot,-6.57,-0.07,13.50,48.33,0.00,0.00,86.50,47.27
Missilebot,-23.74,-0.24,13.18,43.78,0.00,0.00,86.82,47.96
Wasp,14.44,0.14,13.43,51.64,0.00,0.00,86.57,46.76
Hornet,-29.48,-0.29,13.12,40.89,0.00,0.00,86.88,48.40
Knight,-14.06,-0.14,13.13,50.22,0.00,0.00,86.87,46.99
Crossbow,-53.74,-0.54,13.55,43.36,0.00,0.00,86.45,48.05
Ballista,-94.63,-0.95,2.23,42.73,0.00,0.00,97.77,47.52
King Crab,-16.40,-0.16,2.26,45.21,0.00,0.00,97.74,47.46
Crusader,-7.14,-0.07,2.34,49.59,0.00,0.00,97.66,47.36
Bomber,-13.92,-0.14,2.31,46.74,0.00,0.00,97.69,47.43
Shocker,-81.62,-0.82,2.42,45.54,0.00,0.00,97.58,47.46
Recall Shocker,-80.54,-0.81,2.22,47.16,0.00,0.00,97.78,47.42
Mortar,-61.23,-0.61,2.39,53.25,0.00,0.00,97.61,47.27
Swift Shocker,-60.68,-0.61,2.21,45.42,0.00,0.00,97.79,47.46
Heavy Hunter,-89.89,-0.90,2.33,50.05,0.00,0.00,97.67,47.35
Destroyer,-70.85,-0.71,2.11,50.19,0.00,0.00,97.89,47.35
Raider,-71.36,-0.71,2.28,41.01,0.00,0.00,97.72,47.56
Turret,-84.43,-0.84,2.25,50.05,0.00,0.00,97.75,47.35
Heavy Ballista,-143.79,-1.44,2.93,46.33,0.00,0.00,97.07,47.44
Gargantua,-172.52,-1.73,2.99,53.95,0.00,0.00,97.01,47.21
Sniper,-89.77,-0.90,2.90,46.77,0.00,0.00,97.10,47.43
Advanced Blink,-77.41,-0.77,3.13,44.87,0.00,0.00,96.87,47.49
Assaultbot,-9.04,-0.09,3.03,55.37,0.00,0.00,96.97,47.16
Advancedbot,-19.95,-0.20,3.17,50.77,0.00,0.00,96.83,47.30
Behemoth,-23.72,-0.24,3.06,51.74,0.00,0.00,96.94,47.28
Advanced Mortar,-83.08,-0.83,3.01,55.28,0.00,0.00,96.99,47.17
Blaster,-93.42,-0.93,3.17,50.16,0.00,0.00,96.83,47.32
