Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,15.44,0.15,13.41,56.26,0.00,0.00,86.59,54.18
Hunter,-7.94,-0.08,13.32,54.63,0.00,0.00,86.68,54.43
Guardian Shield,-72.37,-0.72,13.17,53.07,0.00,0.00,86.83,54.67
Recall,-4.86,-0.05,13.40,58.20,0.00,0.00,86.60,53.88
Recall Hunter,-7.93,-0.08,13.35,52.59,0.00,0.00,86.65,54.75
Scorpion,10.55,0.11,13.33,59.37,0.00,0.00,86.67,53.71
Beetle,-7.66,-0.08,13.37,55.04,0.00,0.00,86.63,54.37
Blink,-13.01,-0.13,13.35,53.87,0.00,0.00,86.65,54.55
Blink Hunter,-10.31,-0.10,13.28,49.52,0.00,0.00,86.72,55.22
Gunbot,-3.76,-0.04,13.13,55.76,0.00,0.00,86.87,54.26
Missilebot,-6.64,-0.07,13.33,54.57,0.00,0.00,86.67,54.44
Wasp,3.38,0.03,13.40,55.50,0.00,0.00,86.60,54.30
Hornet,-13.99,-0.14,13.27,50.23,0.00,0.00,86.73,55.11
Knight,-17.48,-0.17,13.22,55.55,0.00,0.00,86.78,54.29
Crossbow,-16.54,-0.17,13.17,52.63,0.00,0.00,86.83,54.74
Ballista,-37.79,-0.38,4.09,45.81,0.00,0.00,95.91,54.83
King Crab,-4.52,-0.05,4.10,45.99,0.00,0.00,95.90,54.82
Crusader,19.10,0.19,4.07,50.44,0.00,0.00,95.93,54.63
Bomber,-13.78,-0.14,4.06,49.68,0.00,0.00,95.94,54.66
Shocker,-36.25,-0.36,4.01,47.56,0.00,0.00,95.99,54.75
Recall Shocker,-33.83,-0.34,3.99,49.78,0.00,0.00,96.01,54.66
Mortar,-25.04,-0.25,4.04,58.41,0.00,0.00,95.96,54.29
Swift Shocker,-49.32,-0.49,4.03,46.44,0.00,0.00,95.97,54.80
Heavy Hunter,-24.61,-0.25,4.02,49.13,0.00,0.00,95.98,54.68
Destroyer,-24.68,-0.25,4.02,49.52,0.00,0.00,95.98,54.67
Raider,-33.97,-0.34,4.10,37.40,0.00,0.00,95.90,55.19
Turret,-30.58,-0.31,4.06,51.96,0.00,0.00,95.94,54.57
Heavy Ballista,10.35,0.10,1.54,55.05,0.00,0.00,98.46,54.45
Gargantua,2.99,0.03,1.53,62.53,0.00,0.00,98.47,54.34
Sniper,-1.28,-0.01,1.52,54.60,0.00,0.00,98.48,54.46
Advanced Blink,17.99,0.18,1.47,53.60,0.00,0.00,98.53,54.47
Assaultbot,-0.62,-0.01,1.55,60.67,0.00,0.00,98.45,54.36
Advancedbot,2.45,0.02,1.59,61.69,0.00,0.00,98.41,54.34
Behemoth,23.82,0.24,1.49,59.38,0.00,0.00,98.51,54.39
Advanced Mortar,-3.58,-0.04,1.56,64.57,0.00,0.00,98.44,54.30
Blaster,10.98,0.11,1.55,60.53,0.00,0.00,98.45,54.37
Butterfly,-25.90,-0.26,9.40,57.94,0.00,0.00,90.60,54.10
Dragonfly,-15.80,-0.16,9.46,57.50,0.00,0.00,90.54,54.14
Falcon,-30.95,-0.31,9.49,63.55,0.00,0.00,90.51,53.51
Airship,-21.95,-0.22,9.44,58.23,0.00,0.00,90.56,54.07
Advanced Recall,-11.33,-0.11,9.47,57.40,0.00,0.00,90.53,54.15
Matter,0.01,0.02,89.82,55.32,10.17,46.91,0.01,48.00
Energy,0.45,0.56,89.86,55.27,10.13,47.25,0.02,45.16
Bandwidth,-4.89,-0.24,90.12,55.29,9.86,46.88,0.01,43.48
Health,0.03,2.03,89.78,55.32,10.20,46.88,0.02,46.67
Radius,-84.55,-1.44,89.78,55.31,10.20,46.99,0.02,43.24
Speed,22.44,1.85,89.87,55.29,10.12,47.07,0.01,55.56
Damage,0.84,2.34,89.89,55.30,10.10,46.99,0.01,50.00
Duration,-233.84,-2.34,89.83,55.34,10.15,46.65,0.02,48.65
Windup,1.25,0.00,89.82,55.33,10.17,46.80,0.02,51.72
Recoil,16.89,0.08,89.84,55.30,10.15,47.07,0.02,31.25
WeaponSpeed,0.00,-0.36,0.00,0.00,0.00,0.00,100.00,54.46
Range,28.93,1.74,89.76,55.35,10.23,46.61,0.02,56.67
Splash,0.00,-0.22,0.00,0.00,0.00,0.00,100.00,54.46
Stinger,-45.95,-0.46,9.54,42.59,0.00,0.00,90.46,55.71
Flak Turret,-45.38,-0.45,9.46,43.60,0.00,0.00,90.54,55.60
Bulwark,-45.87,-0.46,4.94,70.92,0.00,0.00,95.06,53.61
Katbus,-56.30,-0.56,4.94,65.97,0.00,0.00,95.06,53.86
Locust,-3.75,-0.04,4.99,56.62,0.00,0.00,95.01,54.35
Kraken,-337.19,-3.37,1.45,87.84,0.00,0.00,98.55,53.97
Predator,-26.58,-0.27,5.10,54.44,0.00,0.00,94.90,54.46
Valkyrie,-16.14,-0.16,4.97,60.10,0.00,0.00,95.03,54.17
Artillery,-35.50,-0.35,4.94,61.90,0.00,0.00,95.06,54.07
Advanced Destroyer,-23.34,-0.23,5.07,59.62,0.00,0.00,94.93,54.19
Shade,-47.51,-0.48,5.08,62.34,0.00,0.00,94.92,54.04
Ranking,0.01,0.74,0.00,0.00,100.00,54.46,0.00,0.00
Aggression,0.98,0.98,0.00,0.00,100.00,54.46,0.00,0.00
vs. Crab,-3.69,-0.04,13.31,50.72,0.00,0.00,86.69,55.03
vs. Hunter,33.77,0.34,13.23,58.18,0.00,0.00,86.77,53.89
vs. Guardian Shield,-149.63,-1.50,13.31,54.69,0.00,0.00,86.69,54.43
vs. Recall,-14.40,-0.14,13.23,48.13,0.00,0.00,86.77,55.43
vs. Recall Hunter,32.77,0.33,13.29,58.18,0.00,0.00,86.71,53.89
vs. Scorpion,-7.12,-0.07,13.27,46.77,0.00,0.00,86.73,55.64
vs. Beetle,32.18,0.32,13.25,56.93,0.00,0.00,86.75,54.08
vs. Blink,-5.45,-0.05,13.29,51.81,0.00,0.00,86.71,54.87
vs. Blink Hunter,41.76,0.42,13.58,62.30,0.00,0.00,86.42,53.23
vs. Gunbot,-5.61,-0.06,13.28,49.27,0.00,0.00,86.72,55.26
vs. Missilebot,31.88,0.32,13.22,56.95,0.00,0.00,86.78,54.08
vs. Wasp,-1.38,-0.01,13.34,52.11,0.00,0.00,86.66,54.82
vs. Hornet,46.18,0.46,13.37,61.66,0.00,0.00,86.63,53.35
vs. Knight,-16.13,-0.16,13.34,49.32,0.00,0.00,86.66,55.25
vs. Crossbow,81.30,0.81,13.26,59.87,0.00,0.00,86.74,53.63
vs. Ballista,140.36,1.40,5.92,63.49,0.00,0.00,94.08,53.89
vs. King Crab,85.15,0.85,5.80,61.29,0.00,0.00,94.20,54.04
vs. Crusader,-7.80,-0.08,5.89,53.62,0.00,0.00,94.11,54.51
vs. Bomber,16.68,0.17,5.88,61.22,0.00,0.00,94.12,54.04
vs. Shocker,127.35,1.27,5.89,62.72,0.00,0.00,94.11,53.94
vs. Recall Shocker,77.02,0.77,5.84,58.32,0.00,0.00,94.16,54.22
vs. Mortar,-50.96,-0.51,5.92,47.79,0.00,0.00,94.08,54.88
vs. Swift Shocker,145.75,1.46,5.86,64.10,0.00,0.00,94.14,53.86
vs. Heavy Hunter,120.97,1.21,5.91,61.75,0.00,0.00,94.09,54.00
vs. Destroyer,-138.22,-1.38,5.84,48.12,0.00,0.00,94.16,54.85
vs. Raider,158.67,1.59,5.82,71.51,0.00,0.00,94.18,53.41
vs. Turret,-114.36,-1.14,5.93,45.87,0.00,0.00,94.07,55.00
vs. Heavy Ballista,-47.70,-0.48,4.00,49.70,0.00,0.00,96.00,54.66
vs. Gargantua,-261.72,-2.62,4.00,32.87,0.00,0.00,96.00,55.36
vs. Sniper,-54.12,-0.54,4.01,48.50,0.00,0.00,95.99,54.71
vs. Advanced Blink,-145.47,-1.45,4.00,42.59,0.00,0.00,96.00,54.96
vs. Assaultbot,-26.03,-0.26,4.05,35.11,0.00,0.00,95.95,55.28
vs. Advancedbot,-17.70,-0.18,4.00,37.66,0.00,0.00,96.00,55.16
vs. Behemoth,-113.70,-1.14,3.96,39.18,0.00,0.00,96.04,55.09
