Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,39.51,0.40,7.17,51.57,0.00,0.00,92.83,44.80
Hunter,6.51,0.07,7.14,38.33,0.00,0.00,92.86,45.82
Guardian Shield,-63.23,-0.63,7.08,41.28,0.00,0.00,92.92,45.59
Recall,32.34,0.32,7.16,56.19,0.00,0.00,92.84,44.44
Recall Hunter,7.61,0.08,7.10,36.49,0.00,0.00,92.90,45.95
Scorpion,24.06,0.24,7.19,55.23,0.00,0.00,92.81,44.51
Beetle,7.72,0.08,7.15,39.79,0.00,0.00,92.85,45.71
Blink,28.24,0.28,7.17,51.22,0.00,0.00,92.83,44.82
Blink Hunter,3.82,0.04,7.17,31.45,0.00,0.00,92.83,46.35
Gunbot,16.98,0.17,7.12,56.88,0.00,0.00,92.88,44.39
Matter,-0.28,-0.14,95.40,45.15,4.59,47.93,0.01,56.41
Energy,-0.10,-0.05,95.42,45.13,4.58,48.43,0.01,51.72
Bandwidth,-5.42,-0.11,95.58,45.14,4.41,48.24,0.01,56.25
Health,0.07,0.70,95.43,45.15,4.56,47.95,0.01,53.33
Radius,-78.46,-0.71,95.44,45.14,4.56,48.24,0.01,51.52
Speed,7.97,0.50,95.42,45.14,4.57,48.24,0.01,50.00
Damage,1.40,0.84,95.44,45.15,4.55,48.07,0.01,25.00
Duration,-141.31,-1.13,95.40,45.14,4.59,48.21,0.01,53.33
Windup,-159.52,-0.16,95.39,45.15,4.60,48.01,0.01,34.29
Recoil,-32.00,-0.16,95.38,45.15,4.61,48.10,0.01,40.00
WeaponSpeed,-1.50,-0.15,95.38,45.15,4.61,48.07,0.01,51.85
Range,18.69,1.87,95.35,45.13,4.65,48.34,0.00,43.75
Splash,0.00,-0.06,0.00,0.00,0.00,0.00,100.00,45.28
Wasp,10.34,0.10,7.08,49.26,0.00,0.00,92.92,44.98
Hornet,-0.95,-0.01,7.15,31.86,0.00,0.00,92.85,46.32
Knight,64.88,0.65,7.11,55.84,0.00,0.00,92.89,44.47
Crossbow,11.39,0.11,7.07,38.39,0.00,0.00,92.93,45.81
Ballista,32.61,0.33,4.25,44.50,0.00,0.00,95.75,45.32
King Crab,56.23,0.56,4.26,45.12,0.00,0.00,95.74,45.29
Crusader,106.57,1.07,4.24,51.09,0.00,0.00,95.76,45.03
Bomber,14.36,0.14,4.19,48.47,0.00,0.00,95.81,45.14
Shocker,40.31,0.40,4.21,47.44,0.00,0.00,95.79,45.19
Recall Shocker,42.70,0.43,4.26,51.86,0.00,0.00,95.74,44.99
Mortar,54.51,0.55,4.21,63.18,0.00,0.00,95.79,44.50
Swift Shocker,31.35,0.31,4.27,43.52,0.00,0.00,95.73,45.36
Heavy Hunter,-2.21,-0.02,4.22,41.41,0.00,0.00,95.78,45.45
Destroyer,40.56,0.41,4.23,47.71,0.00,0.00,95.77,45.18
Raider,-0.53,-0.01,4.28,31.70,0.00,0.00,95.72,45.89
Turret,10.53,0.11,4.31,55.32,0.00,0.00,95.69,44.83
Heavy Ballista,126.24,1.26,2.83,56.19,0.00,0.00,97.17,44.97
Gargantua,92.68,0.93,2.78,63.10,0.00,0.00,97.22,44.77
Sniper,48.94,0.49,2.85,57.36,0.00,0.00,97.15,44.93
Advanced Blink,63.69,0.64,2.87,49.98,0.00,0.00,97.13,45.14
Assaultbot,14.76,0.15,2.86,62.68,0.00,0.00,97.14,44.77
Advancedbot,4.78,0.05,2.86,55.95,0.00,0.00,97.14,44.97
Behemoth,120.54,1.21,2.83,62.91,0.00,0.00,97.17,44.77
Advanced Mortar,24.91,0.25,2.85,66.23,0.00,0.00,97.15,44.67
Blaster,23.83,0.24,2.84,60.24,0.00,0.00,97.16,44.85
Butterfly,20.01,0.20,6.41,45.49,0.00,0.00,93.59,45.27
Dragonfly,2.12,0.02,6.38,44.45,0.00,0.00,93.62,45.34
Falcon,39.35,0.39,6.32,55.10,0.00,0.00,93.68,44.62
Airship,-10.21,-0.10,6.36,42.42,0.00,0.00,93.64,45.48
Advanced Recall,24.86,0.25,6.35,51.47,0.00,0.00,93.65,44.86
Mammoth,120.86,1.21,6.36,54.57,0.00,0.00,93.64,44.65
Stinger,14.51,0.15,6.31,36.61,0.00,0.00,93.69,45.87
Flak Turret,-10.68,-0.11,6.32,35.93,0.00,0.00,93.68,45.91
Bulwark,45.84,0.46,2.89,59.82,0.00,0.00,97.11,44.85
Katbus,111.61,1.12,2.89,58.52,0.00,0.00,97.11,44.89
Locust,5.58,0.06,2.91,43.78,0.00,0.00,97.09,45.33
Kraken,657.37,6.57,1.18,85.62,0.00,0.00,98.82,44.80
Predator,-8.82,-0.09,2.88,41.24,0.00,0.00,97.12,45.40
Valkyrie,-1.98,-0.02,2.91,44.43,0.00,0.00,97.09,45.31
Artillery,48.74,0.49,2.96,55.45,0.00,0.00,97.04,44.97
Advanced Destroyer,38.40,0.38,2.89,51.81,0.00,0.00,97.11,45.09
Shade,40.62,0.41,2.91,52.95,0.00,0.00,97.09,45.05
Ranking,0.01,0.70,0.00,0.00,100.00,45.28,0.00,0.00
Aggression,0.96,0.96,0.00,0.00,100.00,45.28,0.00,0.00
vs. Crab,-30.17,-0.30,13.37,38.08,0.00,0.00,86.63,46.39
vs. Hunter,2.74,0.03,13.31,50.32,0.00,0.00,86.69,44.51
vs. Guardian Shield,68.72,0.69,13.14,47.38,0.00,0.00,86.86,44.97
vs. Recall,-31.53,-0.32,13.29,35.52,0.00,0.00,86.71,46.78
vs. Recall Hunter,10.82,0.11,13.36,53.71,0.00,0.00,86.64,43.98
vs. Scorpion,-19.22,-0.19,13.33,35.01,0.00,0.00,86.67,46.86
vs. Beetle,-3.26,-0.03,13.31,48.23,0.00,0.00,86.69,44.83
vs. Blink,-27.63,-0.28,13.27,39.95,0.00,0.00,86.73,46.10
vs. Blink Hunter,23.81,0.24,13.36,58.57,0.00,0.00,86.64,43.23
vs. Gunbot,-12.37,-0.12,13.33,37.91,0.00,0.00,86.67,46.42
vs. Missilebot,3.15,0.03,13.33,49.97,0.00,0.00,86.67,44.56
vs. Wasp,-10.10,-0.10,13.31,40.02,0.00,0.00,86.69,46.09
vs. Hornet,19.26,0.19,13.29,56.56,0.00,0.00,86.71,43.56
vs. Knight,-61.57,-0.62,13.42,36.68,0.00,0.00,86.58,46.62
vs. Crossbow,8.67,0.09,13.27,51.34,0.00,0.00,86.73,44.36
vs. Ballista,-72.28,-0.72,4.23,49.25,0.00,0.00,95.77,45.11
vs. King Crab,-52.18,-0.52,4.23,48.76,0.00,0.00,95.77,45.13
vs. Crusader,-91.39,-0.91,4.23,42.53,0.00,0.00,95.77,45.40
vs. Bomber,-42.45,-0.42,4.29,45.10,0.00,0.00,95.71,45.29
vs. Shocker,-106.58,-1.07,4.21,46.58,0.00,0.00,95.79,45.23
vs. Recall Shocker,-128.36,-1.28,4.19,42.53,0.00,0.00,95.81,45.40
vs. Mortar,-171.78,-1.72,4.25,32.32,0.00,0.00,95.75,45.86
vs. Swift Shocker,-59.28,-0.59,4.22,50.52,0.00,0.00,95.78,45.05
vs. Heavy Hunter,10.24,0.10,4.24,49.76,0.00,0.00,95.76,45.08
vs. Destroyer,-60.79,-0.61,4.20,46.20,0.00,0.00,95.80,45.24
vs. Raider,92.48,0.92,4.28,63.30,0.00,0.00,95.72,44.48
vs. Turret,-131.19,-1.31,4.30,38.27,0.00,0.00,95.70,45.60
vs. Heavy Ballista,-303.27,-3.03,2.81,38.90,0.00,0.00,97.19,45.47
vs. Gargantua,-265.82,-2.66,2.83,27.37,0.00,0.00,97.17,45.80
vs. Sniper,-154.96,-1.55,2.87,36.77,0.00,0.00,97.13,45.53
vs. Advanced Blink,-36.98,-0.37,2.83,42.13,0.00,0.00,97.17,45.37
vs. Assaultbot,-24.22,-0.24,2.85,33.49,0.00,0.00,97.15,45.63
vs. Advancedbot,-22.91,-0.23,2.88,33.65,0.00,0.00,97.12,45.63
vs. Behemoth,-120.62,-1.21,2.82,33.51,0.00,0.00,97.18,45.62
vs. Advanced Mortar,-155.65,-1.56,2.89,25.08,0.00,0.00,97.11,45.88
