Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,-10.78,-0.11,13.27,62.10,0.00,0.00,86.73,62.25
Hunter,-0.13,-0.00,13.12,63.52,0.00,0.00,86.88,62.04
Guardian Shield,-148.11,-1.48,13.30,60.91,0.00,0.00,86.70,62.43
Recall,-2.91,-0.03,13.41,64.54,0.00,0.00,86.59,61.87
Recall Hunter,8.62,0.09,13.44,62.49,0.00,0.00,86.56,62.19
Scorpion,-5.68,-0.06,13.39,64.06,0.00,0.00,86.61,61.95
Beetle,0.54,0.01,13.48,63.22,0.00,0.00,86.52,62.08
Blink,-24.58,-0.25,13.41,60.85,0.00,0.00,86.59,62.45
Blink Hunter,-2.91,-0.03,13.28,59.14,0.00,0.00,86.72,62.70
Gunbot,-1.85,-0.02,13.28,63.28,0.00,0.00,86.72,62.07
Missilebot,3.02,0.03,13.23,63.18,0.00,0.00,86.77,62.09
Wasp,-7.97,-0.08,13.23,60.51,0.00,0.00,86.77,62.49
Hornet,-14.45,-0.14,13.37,59.10,0.00,0.00,86.63,62.71
Knight,-36.37,-0.36,13.11,63.03,0.00,0.00,86.89,62.11
Crossbow,8.99,0.09,13.34,63.59,0.00,0.00,86.66,62.02
Ballista,-84.45,-0.84,6.05,57.95,0.00,0.00,93.95,62.51
King Crab,-96.05,-0.96,6.10,59.46,0.00,0.00,93.90,62.41
Crusader,-66.33,-0.66,6.00,63.75,0.00,0.00,94.00,62.13
Bomber,-68.14,-0.68,6.08,61.71,0.00,0.00,93.92,62.26
Shocker,-94.91,-0.95,5.91,61.07,0.00,0.00,94.09,62.30
Recall Shocker,-61.96,-0.62,6.02,62.59,0.00,0.00,93.98,62.21
Matter,0.28,0.35,89.90,63.65,10.08,49.59,0.02,47.62
Energy,1.35,1.69,89.85,63.68,10.13,49.36,0.02,55.56
Bandwidth,11.13,0.56,90.24,63.52,9.75,50.35,0.01,35.29
Health,0.01,0.20,90.01,63.58,9.97,50.07,0.01,47.37
Radius,-22.09,-0.33,89.84,63.58,10.15,50.29,0.01,37.50
Speed,10.23,0.64,89.90,63.69,10.08,49.23,0.01,57.89
Damage,0.28,1.69,89.99,63.60,10.00,50.00,0.01,20.00
Duration,-192.92,-2.51,89.94,63.55,10.04,50.42,0.02,61.90
Windup,-592.39,-0.59,89.80,63.61,10.19,50.14,0.02,33.33
Recoil,-17.80,-0.09,89.87,63.62,10.12,49.93,0.01,35.29
WeaponSpeed,-0.22,-0.04,89.92,63.63,10.06,49.75,0.01,66.67
Range,8.76,1.93,89.93,63.66,10.05,49.47,0.02,48.00
Splash,99.59,1.99,89.81,63.68,10.17,49.50,0.02,47.62
Swift Shocker,-127.99,-1.28,6.10,57.41,0.00,0.00,93.90,62.54
