Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,30.35,0.30,13.40,49.81,0.00,0.00,86.60,44.66
Hunter,9.78,0.10,13.34,42.11,0.00,0.00,86.66,45.85
Guardian Shield,-65.87,-0.66,13.22,44.62,0.00,0.00,86.78,45.47
Recall,25.36,0.25,13.35,51.89,0.00,0.00,86.65,44.35
Recall Hunter,7.86,0.08,13.27,40.99,0.00,0.00,86.73,46.02
Scorpion,17.77,0.18,13.32,53.07,0.00,0.00,86.68,44.17
Beetle,9.91,0.10,13.21,41.28,0.00,0.00,86.79,45.97
Blink,24.04,0.24,13.45,48.71,0.00,0.00,86.55,44.83
Blink Hunter,8.17,0.08,13.24,38.62,0.00,0.00,86.76,46.38
Gunbot,13.66,0.14,13.19,49.04,0.00,0.00,86.81,44.79
Missilebot,8.43,0.08,13.09,41.75,0.00,0.00,86.91,45.90
Wasp,6.76,0.07,13.23,46.82,0.00,0.00,86.77,45.13
Hornet,2.83,0.03,13.46,39.15,0.00,0.00,86.54,46.32
Knight,56.69,0.57,13.43,50.43,0.00,0.00,86.57,44.57
Crossbow,20.16,0.20,13.13,42.09,0.00,0.00,86.87,45.85
Ballista,25.72,0.26,2.32,47.02,0.00,0.00,97.68,45.31
King Crab,55.37,0.55,2.35,45.93,0.00,0.00,97.65,45.34
Crusader,89.78,0.90,2.30,53.98,0.00,0.00,97.70,45.15
Bomber,13.40,0.13,2.35,45.86,0.00,0.00,97.65,45.34
Shocker,43.36,0.43,2.20,47.60,0.00,0.00,97.80,45.30
Recall Shocker,24.69,0.25,2.25,50.08,0.00,0.00,97.75,45.24
Mortar,32.21,0.32,2.28,55.87,0.00,0.00,97.72,45.11
Swift Shocker,43.59,0.44,2.28,45.07,0.00,0.00,97.72,45.36
Heavy Hunter,8.77,0.09,2.35,47.34,0.00,0.00,97.65,45.31
Destroyer,47.66,0.48,2.25,49.75,0.00,0.00,97.75,45.25
Raider,2.90,0.03,2.33,41.78,0.00,0.00,97.67,45.44
Turret,8.17,0.08,2.36,50.48,0.00,0.00,97.64,45.23
Heavy Ballista,155.13,1.55,3.00,49.96,0.00,0.00,97.00,45.21
Gargantua,165.74,1.66,3.04,54.40,0.00,0.00,96.96,45.07
Sniper,47.71,0.48,3.09,47.67,0.00,0.00,96.91,45.28
Advanced Blink,104.92,1.05,3.08,47.07,0.00,0.00,96.92,45.30
Assaultbot,16.82,0.17,3.13,54.98,0.00,0.00,96.87,45.04
Advancedbot,6.72,0.07,3.16,50.83,0.00,0.00,96.84,45.17
Behemoth,104.76,1.05,3.13,54.40,0.00,0.00,96.87,45.06
Advanced Mortar,31.77,0.32,3.20,53.71,0.00,0.00,96.80,45.08
Blaster,24.82,0.25,3.07,50.20,0.00,0.00,96.93,45.20
Butterfly,24.39,0.24,10.93,47.96,0.00,0.00,89.07,45.03
Dragonfly,3.26,0.03,10.80,45.70,0.00,0.00,89.20,45.31
Falcon,46.63,0.47,11.07,54.14,0.00,0.00,88.93,44.26
Airship,-22.84,-0.23,10.76,45.11,0.00,0.00,89.24,45.38
Advanced Recall,27.69,0.28,10.86,52.17,0.00,0.00,89.14,44.52
Mammoth,105.89,1.06,11.06,54.65,0.00,0.00,88.94,44.20
Stinger,22.29,0.22,10.90,40.34,0.00,0.00,89.10,45.97
Flak Turret,-15.51,-0.16,10.88,39.50,0.00,0.00,89.12,46.07
Bulwark,92.87,0.93,8.52,57.70,0.00,0.00,91.48,44.20
Katbus,137.16,1.37,8.63,57.56,0.00,0.00,91.37,44.20
Locust,4.14,0.04,8.59,41.31,0.00,0.00,91.41,45.73
Kraken,382.36,3.82,3.00,85.08,0.00,0.00,97.00,44.12
Matter,0.05,0.07,87.02,44.99,12.96,47.80,0.02,50.00
Energy,0.56,0.70,86.83,44.94,13.15,48.07,0.02,46.67
Bandwidth,-6.50,-0.33,87.26,44.98,12.73,47.89,0.01,46.15
Health,0.01,0.11,87.02,44.91,12.96,48.32,0.01,80.00
Radius,-55.22,-0.83,86.83,45.00,13.16,47.71,0.01,33.33
Speed,1.89,0.15,86.99,44.89,12.99,48.47,0.02,41.18
Damage,2.14,2.14,86.98,44.94,13.00,48.14,0.02,50.00
Windup,-484.37,-0.48,86.90,44.89,13.08,48.41,0.01,46.15
Recoil,-40.60,-0.20,86.94,45.03,13.04,47.47,0.02,58.82
Reload,-85.75,-1.72,86.91,44.93,13.07,48.20,0.02,40.00
WeaponSpeed,0.71,0.14,86.96,45.02,13.02,47.59,0.03,54.55
Range,6.08,1.34,86.92,45.07,13.07,47.22,0.01,55.56
Splash,77.93,1.95,86.83,44.83,13.15,48.78,0.02,61.11
Valkyrie,-13.32,-0.13,8.56,39.98,0.00,0.00,91.44,45.86
Artillery,68.65,0.69,8.56,50.28,0.00,0.00,91.44,44.89
Advanced Destroyer,57.45,0.57,8.55,45.59,0.00,0.00,91.45,45.33
Shade,47.08,0.47,8.67,50.76,0.00,0.00,91.33,44.84
Ranking,0.00,0.26,0.00,0.00,100.00,45.35,0.00,0.00
Aggression,0.00,0.00,0.00,0.00,100.00,45.35,0.00,0.00
vs. Crab,-40.73,-0.41,13.25,41.01,0.00,0.00,86.75,46.02
vs. Hunter,9.43,0.09,13.23,46.25,0.00,0.00,86.77,45.22
vs. Guardian Shield,318.80,3.19,12.89,51.02,0.00,0.00,87.11,44.51
vs. Recall,-21.47,-0.21,13.36,44.08,0.00,0.00,86.64,45.55
vs. Recall Hunter,7.00,0.07,13.20,46.65,0.00,0.00,86.80,45.16
vs. Scorpion,-21.79,-0.22,13.49,37.45,0.00,0.00,86.51,46.58
vs. Beetle,0.82,0.01,13.38,45.26,0.00,0.00,86.62,45.37
vs. Blink,-21.22,-0.21,13.21,45.50,0.00,0.00,86.79,45.33
vs. Blink Hunter,20.97,0.21,13.23,50.94,0.00,0.00,86.77,44.50
vs. Gunbot,-7.80,-0.08,13.10,45.23,0.00,0.00,86.90,45.37
vs. Missilebot,8.00,0.08,13.22,45.99,0.00,0.00,86.78,45.26
vs. Wasp,-12.62,-0.13,13.63,43.48,0.00,0.00,86.37,45.65
vs. Hornet,17.94,0.18,13.40,49.53,0.00,0.00,86.60,44.71
vs. Knight,-61.11,-0.61,13.29,43.07,0.00,0.00,86.71,45.70
vs. Crossbow,-6.88,-0.07,13.41,45.17,0.00,0.00,86.59,45.38
vs. Ballista,5.24,0.05,5.95,49.38,0.00,0.00,94.05,45.10
vs. King Crab,-100.71,-1.01,5.80,45.32,0.00,0.00,94.20,45.36
vs. Crusader,-128.57,-1.29,6.04,39.50,0.00,0.00,93.96,45.73
vs. Bomber,-44.19,-0.44,5.98,40.54,0.00,0.00,94.02,45.66
vs. Shocker,-27.86,-0.28,5.98,47.02,0.00,0.00,94.02,45.25
vs. Recall Shocker,-44.28,-0.44,5.98,45.88,0.00,0.00,94.02,45.32
vs. Mortar,-102.98,-1.03,5.97,38.07,0.00,0.00,94.03,45.82
vs. Swift Shocker,-26.46,-0.26,5.92,48.42,0.00,0.00,94.08,45.16
vs. Heavy Hunter,-4.20,-0.04,5.98,42.52,0.00,0.00,94.02,45.53
vs. Destroyer,-17.22,-0.17,6.07,46.88,0.00,0.00,93.93,45.25
vs. Raider,66.92,0.67,5.93,58.00,0.00,0.00,94.07,44.56
vs. Turret,126.93,1.27,5.96,53.99,0.00,0.00,94.04,44.81
vs. Heavy Ballista,-202.09,-2.02,6.27,38.01,0.00,0.00,93.73,45.85
vs. Gargantua,-218.94,-2.19,6.36,23.31,0.00,0.00,93.64,46.85
vs. Sniper,-104.92,-1.05,6.41,36.34,0.00,0.00,93.59,45.97
vs. Advanced Blink,-79.20,-0.79,6.45,37.05,0.00,0.00,93.55,45.93
vs. Assaultbot,-16.17,-0.16,6.31,30.91,0.00,0.00,93.69,46.33
vs. Advancedbot,-12.11,-0.12,6.52,27.33,0.00,0.00,93.48,46.61
vs. Behemoth,-111.16,-1.11,6.46,29.71,0.00,0.00,93.54,46.43
vs. Advanced Mortar,-109.84,-1.10,6.34,22.64,0.00,0.00,93.66,46.89
vs. Blaster,-99.80,-1.00,6.33,26.96,0.00,0.00,93.67,46.60
vs. Butterfly,258.29,2.58,8.93,60.35,0.00,0.00,91.07,43.88
vs. Dragonfly,257.79,2.58,9.01,58.80,0.00,0.00,90.99,44.02
vs. Falcon,195.30,1.95,9.03,54.29,0.00,0.00,90.97,44.47
vs. Airship,257.38,2.57,9.04,54.59,0.00,0.00,90.96,44.44
vs. Advanced Recall,-15.63,-0.16,9.01,46.32,0.00,0.00,90.99,45.26
vs. Mammoth,-140.99,-1.41,8.91,40.47,0.00,0.00,91.09,45.83
vs. Stinger,-22.42,-0.22,8.88,55.06,0.00,0.00,91.12,44.41
vs. Flak Turret,47.47,0.47,9.03,55.52,0.00,0.00,90.97,44.34
vs. Bulwark,-205.54,-2.06,6.49,30.65,0.00,0.00,93.51,46.37
vs. Katbus,-301.23,-3.01,6.43,34.35,0.00,0.00,93.57,46.11
vs. Locust,106.10,1.06,6.60,58.51,0.00,0.00,93.40,44.42
vs. Kraken,-2289.27,-22.89,2.95,6.14,0.00,0.00,97.05,46.54
vs. Predator,25.67,0.26,6.64,50.03,0.00,0.00,93.36,45.02
vs. Valkyrie,242.49,2.42,6.54,54.23,0.00,0.00,93.46,44.73
vs. Artillery,-88.02,-0.88,6.57,42.28,0.00,0.00,93.43,45.57
vs. Advanced Destroyer,-62.75,-0.63,6.52,46.21,0.00,0.00,93.48,45.29
vs. Shade,172.40,1.72,6.64,52.30,0.00,0.00,93.36,44.86
vs. Ranking,-0.00,-0.14,0.00,0.00,100.00,45.35,0.00,0.00
vs. Aggression,-0.08,-0.08,0.00,0.00,100.00,45.35,0.00,0.00
