Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,6.55,0.07,13.30,34.49,0.00,0.00,86.70,33.44
Hunter,-0.62,-0.01,13.19,32.27,0.00,0.00,86.81,33.78
Guardian Shield,-24.38,-0.24,13.41,31.08,0.00,0.00,86.59,33.97
Recall,0.55,0.01,13.36,38.52,0.00,0.00,86.64,32.82
Recall Hunter,-1.26,-0.01,13.38,31.96,0.00,0.00,86.62,33.83
Scorpion,4.61,0.05,13.26,37.48,0.00,0.00,86.74,32.99
Beetle,-0.30,-0.00,13.41,33.58,0.00,0.00,86.59,33.58
Blink,2.83,0.03,13.26,34.57,0.00,0.00,86.74,33.43
Blink Hunter,-0.77,-0.01,13.21,29.36,0.00,0.00,86.79,34.23
Gunbot,0.31,0.00,13.19,35.35,0.00,0.00,86.81,33.31
Missilebot,-0.77,-0.01,13.40,32.02,0.00,0.00,86.60,33.83
Wasp,2.71,0.03,13.33,34.07,0.00,0.00,86.67,33.51
Hornet,0.77,0.01,13.24,29.53,0.00,0.00,86.76,34.20
Knight,5.63,0.06,13.45,36.91,0.00,0.00,86.55,33.07
Crossbow,-1.30,-0.01,13.29,32.33,0.00,0.00,86.71,33.78
Ballista,-0.96,-0.01,6.16,28.87,0.00,0.00,93.84,33.89
King Crab,11.74,0.12,6.09,30.78,0.00,0.00,93.91,33.77
Crusader,14.38,0.14,6.11,35.29,0.00,0.00,93.89,33.47
Bomber,6.74,0.07,5.95,32.76,0.00,0.00,94.05,33.64
Shocker,1.83,0.02,6.20,33.54,0.00,0.00,93.80,33.59
Recall Shocker,1.03,0.01,5.88,36.42,0.00,0.00,94.12,33.41
Mortar,6.27,0.06,6.04,48.10,0.00,0.00,93.96,32.65
Swift Shocker,7.48,0.07,5.90,29.21,0.00,0.00,94.10,33.86
Heavy Hunter,-2.43,-0.02,6.07,27.91,0.00,0.00,93.93,33.95
Destroyer,-0.88,-0.01,6.08,31.17,0.00,0.00,93.92,33.74
Matter,0.05,0.06,89.71,32.19,10.27,45.73,0.01,38.89
Energy,0.01,0.02,89.85,32.23,10.14,45.54,0.01,41.18
Bandwidth,3.21,0.16,90.14,32.30,9.84,45.33,0.02,40.00
Health,0.00,0.01,89.74,32.15,10.24,46.07,0.02,58.33
Radius,4.38,0.05,89.81,32.18,10.17,45.97,0.02,56.52
Speed,-3.38,-0.28,89.92,32.23,10.07,45.66,0.01,50.00
Damage,0.00,0.02,0.00,0.00,0.00,0.00,100.00,33.58
Windup,0.00,0.08,0.00,0.00,0.00,0.00,100.00,33.58
Recoil,0.00,0.06,0.00,0.00,0.00,0.00,100.00,33.58
Reload,7.35,0.03,89.70,32.21,10.29,45.61,0.02,17.39
WeaponSpeed,-0.56,-0.06,89.81,32.22,10.17,45.65,0.02,37.50
Range,1.21,0.10,89.68,32.20,10.30,45.63,0.02,58.33
Splash,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,33.58
Turret,-3.65,-0.04,6.11,44.01,0.00,0.00,93.89,32.91
Heavy Ballista,14.64,0.15,4.73,45.63,0.00,0.00,95.27,32.99
Gargantua,17.36,0.17,4.75,55.04,0.00,0.00,95.25,32.51
Sniper,4.32,0.04,4.76,46.75,0.00,0.00,95.24,32.93
Advanced Blink,2.13,0.02,4.66,40.85,0.00,0.00,95.34,33.23
Assaultbot,4.39,0.04,4.80,53.52,0.00,0.00,95.20,32.58
Advancedbot,2.74,0.03,4.86,51.07,0.00,0.00,95.14,32.69
