Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,34.08,0.34,7.07,49.01,0.00,0.00,92.93,42.47
Hunter,8.53,0.09,7.16,35.46,0.00,0.00,92.84,43.51
Guardian Shield,123.84,1.24,7.14,42.22,0.00,0.00,92.86,42.98
Recall,33.58,0.34,7.17,54.48,0.00,0.00,92.83,42.04
Matter,-0.09,-0.04,95.43,42.64,4.56,49.08,0.01,50.00
Energy,-0.40,-0.20,95.45,42.65,4.54,48.75,0.01,31.43
Bandwidth,-4.62,-0.09,95.61,42.65,4.38,49.03,0.01,40.00
Health,0.05,0.51,95.48,42.66,4.52,48.63,0.01,50.00
Radius,-63.25,-0.57,95.44,42.64,4.55,49.07,0.01,64.00
Speed,9.82,0.51,95.43,42.66,4.57,48.66,0.01,31.03
Damage,0.84,0.76,95.46,42.64,4.53,48.95,0.01,60.87
Windup,-202.83,-0.20,95.44,42.65,4.55,48.88,0.01,44.44
Recoil,-73.62,-0.37,95.40,42.65,4.60,48.74,0.01,45.95
Reload,-92.01,-0.60,95.42,42.64,4.57,48.89,0.01,48.39
WeaponSpeed,-0.48,-0.07,95.42,42.65,4.57,48.72,0.01,52.17
Range,15.66,1.57,95.41,42.65,4.58,48.73,0.01,53.85
Splash,0.00,0.03,0.00,0.00,0.00,0.00,100.00,42.93
Scorpion,21.22,0.21,7.08,52.00,0.00,0.00,92.92,42.24
Beetle,10.73,0.11,7.22,37.57,0.00,0.00,92.78,43.35
Blink,26.42,0.26,7.18,48.21,0.00,0.00,92.82,42.52
Blink Hunter,4.70,0.05,7.13,28.81,0.00,0.00,92.87,44.01
Gunbot,17.24,0.17,7.16,52.38,0.00,0.00,92.84,42.20
Missilebot,10.46,0.10,7.10,36.48,0.00,0.00,92.90,43.42
Wasp,9.36,0.09,7.10,45.84,0.00,0.00,92.90,42.71
Hornet,2.36,0.02,7.10,29.80,0.00,0.00,92.90,43.93
Knight,60.79,0.61,7.16,53.22,0.00,0.00,92.84,42.14
Crossbow,19.98,0.20,7.10,35.38,0.00,0.00,92.90,43.51
Ballista,36.24,0.36,4.25,44.06,0.00,0.00,95.75,42.88
King Crab,48.00,0.48,4.25,44.36,0.00,0.00,95.75,42.87
Crusader,86.90,0.87,4.19,50.67,0.00,0.00,95.81,42.59
Bomber,15.69,0.16,4.28,47.38,0.00,0.00,95.72,42.73
Shocker,48.05,0.48,4.24,46.81,0.00,0.00,95.76,42.76
Recall Shocker,50.62,0.51,4.22,51.57,0.00,0.00,95.78,42.55
Mortar,65.85,0.66,4.28,62.44,0.00,0.00,95.72,42.06
Swift Shocker,30.26,0.30,4.22,42.94,0.00,0.00,95.78,42.93
Heavy Hunter,-0.38,-0.00,4.23,40.18,0.00,0.00,95.77,43.05
Destroyer,48.02,0.48,4.20,46.46,0.00,0.00,95.80,42.78
Raider,-2.19,-0.02,4.27,31.96,0.00,0.00,95.73,43.42
Turret,22.36,0.22,4.20,56.79,0.00,0.00,95.80,42.32
Heavy Ballista,136.40,1.36,2.83,55.54,0.00,0.00,97.17,42.56
Gargantua,121.73,1.22,2.80,62.76,0.00,0.00,97.20,42.36
Sniper,55.39,0.55,2.87,59.00,0.00,0.00,97.13,42.45
Advanced Blink,59.03,0.59,2.91,49.89,0.00,0.00,97.09,42.72
Assaultbot,14.12,0.14,2.86,63.60,0.00,0.00,97.14,42.32
Advancedbot,5.84,0.06,2.89,57.59,0.00,0.00,97.11,42.49
Behemoth,100.78,1.01,2.87,62.10,0.00,0.00,97.13,42.36
Advanced Mortar,33.78,0.34,2.83,66.35,0.00,0.00,97.17,42.25
Blaster,32.63,0.33,2.83,59.83,0.00,0.00,97.17,42.44
Butterfly,17.62,0.18,6.30,44.26,0.00,0.00,93.70,42.84
Dragonfly,1.79,0.02,6.44,42.92,0.00,0.00,93.56,42.93
Falcon,45.17,0.45,6.30,53.69,0.00,0.00,93.70,42.21
Airship,-6.76,-0.07,6.35,41.90,0.00,0.00,93.65,43.00
Advanced Recall,24.35,0.24,6.34,49.66,0.00,0.00,93.66,42.47
Mammoth,96.41,0.96,6.36,52.54,0.00,0.00,93.64,42.28
Stinger,11.73,0.12,6.32,35.33,0.00,0.00,93.68,43.44
Flak Turret,-8.68,-0.09,6.33,35.27,0.00,0.00,93.67,43.45
Bulwark,59.93,0.60,2.88,60.13,0.00,0.00,97.12,42.42
Katbus,109.76,1.10,2.91,57.97,0.00,0.00,97.09,42.48
Locust,3.87,0.04,2.89,43.38,0.00,0.00,97.11,42.92
Kraken,688.31,6.88,1.17,86.31,0.00,0.00,98.83,42.42
Predator,-2.98,-0.03,2.92,40.99,0.00,0.00,97.08,42.99
Valkyrie,6.30,0.06,2.87,44.85,0.00,0.00,97.13,42.87
Artillery,57.96,0.58,2.94,54.84,0.00,0.00,97.06,42.57
Advanced Destroyer,43.18,0.43,2.91,51.16,0.00,0.00,97.09,42.68
Shade,45.13,0.45,2.93,51.53,0.00,0.00,97.07,42.67
Ranking,-0.00,-0.05,0.00,0.00,100.00,42.93,0.00,0.00
Aggression,0.05,0.05,0.00,0.00,100.00,42.93,0.00,0.00
vs. Crab,-20.90,-0.21,13.40,37.96,0.00,0.00,86.60,43.70
vs. Hunter,-3.26,-0.03,13.34,46.35,0.00,0.00,86.66,42.40
vs. Guardian Shield,94.42,0.94,13.11,45.64,0.00,0.00,86.89,42.52
vs. Recall,-29.75,-0.30,13.28,34.58,0.00,0.00,86.72,44.21
vs. Recall Hunter,4.79,0.05,13.36,49.71,0.00,0.00,86.64,41.88
vs. Scorpion,-16.20,-0.16,13.35,34.20,0.00,0.00,86.65,44.27
vs. Beetle,-7.08,-0.07,13.37,44.58,0.00,0.00,86.63,42.67
vs. Blink,-25.77,-0.26,13.28,38.00,0.00,0.00,86.72,43.69
vs. Blink Hunter,16.32,0.16,13.33,55.40,0.00,0.00,86.67,41.01
vs. Gunbot,-12.12,-0.12,13.29,37.10,0.00,0.00,86.71,43.82
vs. Missilebot,-3.55,-0.04,13.37,46.04,0.00,0.00,86.63,42.45
vs. Wasp,-8.99,-0.09,13.37,38.74,0.00,0.00,86.63,43.58
vs. Hornet,9.07,0.09,13.30,52.64,0.00,0.00,86.70,41.44
vs. Knight,-56.24,-0.56,13.32,35.85,0.00,0.00,86.68,44.02
vs. Crossbow,-4.85,-0.05,13.25,47.09,0.00,0.00,86.75,42.29
vs. Ballista,-54.73,-0.55,4.20,49.20,0.00,0.00,95.80,42.66
vs. King Crab,-48.77,-0.49,4.29,46.59,0.00,0.00,95.71,42.77
vs. Crusader,-81.44,-0.81,4.20,41.67,0.00,0.00,95.80,42.99
vs. Bomber,-32.06,-0.32,4.31,45.10,0.00,0.00,95.69,42.83
vs. Shocker,-87.08,-0.87,4.22,46.37,0.00,0.00,95.78,42.78
vs. Recall Shocker,-112.03,-1.12,4.23,41.70,0.00,0.00,95.77,42.98
vs. Mortar,-95.62,-0.96,4.28,33.88,0.00,0.00,95.72,43.33
vs. Swift Shocker,-51.79,-0.52,4.23,49.25,0.00,0.00,95.77,42.65
vs. Heavy Hunter,25.95,0.26,4.25,49.02,0.00,0.00,95.75,42.66
vs. Destroyer,-42.47,-0.42,4.24,45.48,0.00,0.00,95.76,42.82
vs. Raider,86.70,0.87,4.23,62.76,0.00,0.00,95.77,42.05
vs. Turret,-108.15,-1.08,4.24,38.86,0.00,0.00,95.76,43.11
vs. Heavy Ballista,-266.26,-2.66,2.85,38.47,0.00,0.00,97.15,43.06
vs. Gargantua,-253.23,-2.53,2.86,28.00,0.00,0.00,97.14,43.37
vs. Sniper,-129.03,-1.29,2.85,36.64,0.00,0.00,97.15,43.11
vs. Advanced Blink,-35.47,-0.35,2.91,40.88,0.00,0.00,97.09,42.99
vs. Assaultbot,-22.28,-0.22,2.89,33.54,0.00,0.00,97.11,43.21
vs. Advancedbot,-18.98,-0.19,2.87,33.49,0.00,0.00,97.13,43.21
vs. Behemoth,-107.37,-1.07,2.86,33.06,0.00,0.00,97.14,43.22
vs. Advanced Mortar,-83.06,-0.83,2.83,27.08,0.00,0.00,97.17,43.39
vs. Blaster,-122.24,-1.22,2.82,31.52,0.00,0.00,97.18,43.26
vs. Butterfly,168.08,1.68,6.34,56.99,0.00,0.00,93.66,41.98
vs. Dragonfly,173.43,1.73,6.33,55.64,0.00,0.00,93.67,42.07
vs. Falcon,-24.40,-0.24,6.38,43.38,0.00,0.00,93.62,42.90
vs. Airship,188.05,1.88,6.34,56.57,0.00,0.00,93.66,42.01
vs. Advanced Recall,-41.76,-0.42,6.38,44.61,0.00,0.00,93.62,42.82
vs. Mammoth,-116.00,-1.16,6.31,41.91,0.00,0.00,93.69,43.00
vs. Stinger,12.63,0.13,6.25,58.74,0.00,0.00,93.75,41.88
vs. Flak Turret,52.03,0.52,6.35,60.89,0.00,0.00,93.65,41.71
vs. Bulwark,-113.02,-1.13,2.86,38.64,0.00,0.00,97.14,43.06
vs. Katbus,-197.12,-1.97,2.89,39.97,0.00,0.00,97.11,43.02
vs. Locust,47.82,0.48,2.94,54.41,0.00,0.00,97.06,42.58
vs. Kraken,-2352.28,-23.52,1.15,12.41,0.00,0.00,98.85,43.29
vs. Predator,22.32,0.22,2.93,53.94,0.00,0.00,97.07,42.60
vs. Valkyrie,138.63,1.39,2.88,53.88,0.00,0.00,97.12,42.60
vs. Artillery,-149.57,-1.50,2.88,41.75,0.00,0.00,97.12,42.97
vs. Advanced Destroyer,-45.31,-0.45,2.88,45.84,0.00,0.00,97.12,42.84
vs. Shade,-67.01,-0.67,2.86,45.23,0.00,0.00,97.14,42.86
vs. Ranking,-0.00,-0.06,0.00,0.00,100.00,42.93,0.00,0.00
