Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,-4.77,-0.05,13.32,52.24,0.00,0.00,86.68,52.31
Hunter,-3.17,-0.03,13.29,52.08,0.00,0.00,86.71,52.33
Guardian Shield,31.93,0.32,13.45,54.43,0.00,0.00,86.55,51.97
Recall,-1.97,-0.02,13.34,55.04,0.00,0.00,86.66,51.88
Recall Hunter,1.13,0.01,13.31,51.34,0.00,0.00,86.69,52.45
Scorpion,-0.92,-0.01,13.27,55.40,0.00,0.00,86.73,51.82
Beetle,-4.70,-0.05,13.31,52.42,0.00,0.00,86.69,52.28
Blink,-14.67,-0.15,13.13,52.33,0.00,0.00,86.87,52.29
Blink Hunter,-7.65,-0.08,13.37,47.89,0.00,0.00,86.63,52.98
Gunbot,-1.90,-0.02,13.17,54.44,0.00,0.00,86.83,51.97
Missilebot,-3.94,-0.04,13.42,51.86,0.00,0.00,86.58,52.37
Wasp,-4.76,-0.05,13.32,51.67,0.00,0.00,86.68,52.40
Hornet,-15.67,-0.16,13.34,47.17,0.00,0.00,86.66,53.09
Knight,-23.83,-0.24,13.43,54.70,0.00,0.00,86.57,51.93
Crossbow,-4.14,-0.04,13.18,51.43,0.00,0.00,86.82,52.43
Ballista,-90.14,-0.90,6.10,47.93,0.00,0.00,93.90,52.58
King Crab,-73.24,-0.73,6.09,48.15,0.00,0.00,93.91,52.57
Crusader,-29.40,-0.29,6.08,53.75,0.00,0.00,93.92,52.21
Bomber,-50.78,-0.51,5.99,51.73,0.00,0.00,94.01,52.33
Shocker,-96.14,-0.96,5.98,50.03,0.00,0.00,94.02,52.44
Matter,-0.20,-0.25,90.03,52.86,9.95,47.25,0.02,34.78
Energy,0.46,0.57,90.02,52.85,9.97,47.32,0.01,31.25
Bandwidth,-11.90,-0.59,90.25,52.88,9.74,46.92,0.01,47.06
Health,0.03,0.61,89.96,52.85,10.02,47.34,0.01,43.75
Radius,-45.93,-0.87,89.89,52.91,10.09,46.85,0.02,55.00
Speed,31.43,1.26,89.98,52.89,10.01,46.97,0.01,25.00
Damage,0.39,2.37,89.96,52.86,10.02,47.27,0.02,47.62
Duration,-78.95,-2.37,90.05,52.87,9.94,47.13,0.02,30.00
Windup,-773.38,-0.77,89.96,52.85,10.03,47.38,0.01,41.18
Recoil,-104.52,-0.52,89.96,52.81,10.03,47.72,0.02,68.42
WeaponSpeed,0.00,0.09,0.00,0.00,0.00,0.00,100.00,52.30
Range,21.96,3.07,89.97,52.90,10.02,46.92,0.02,31.58
Splash,70.50,1.76,89.98,52.85,10.00,47.35,0.02,56.00
Mortar,-101.59,-1.02,6.05,62.59,0.00,0.00,93.95,51.64
Swift Shocker,-107.76,-1.08,6.02,46.86,0.00,0.00,93.98,52.65
Heavy Hunter,-20.90,-0.21,6.08,49.64,0.00,0.00,93.92,52.47
Destroyer,-46.52,-0.47,5.97,52.70,0.00,0.00,94.03,52.27
Raider,-56.40,-0.56,5.93,36.59,0.00,0.00,94.07,53.29
