Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,1.07,0.01,7.11,58.36,0.00,0.00,92.89,58.19
Hunter,-3.90,-0.04,7.13,55.47,0.00,0.00,92.87,58.41
Guardian Shield,190.21,1.90,7.13,59.30,0.00,0.00,92.87,58.12
Recall,-4.77,-0.05,7.13,65.13,0.00,0.00,92.87,57.67
Recall Hunter,-3.24,-0.03,7.07,52.00,0.00,0.00,92.93,58.68
Matter,0.15,0.08,96.70,58.60,3.29,46.62,0.00,45.45
Energy,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,58.20
Bandwidth,3.88,0.04,96.76,58.57,3.24,47.35,0.00,42.11
Health,0.02,0.31,96.72,58.57,3.28,47.53,0.00,36.84
Radius,-16.22,-0.15,96.73,58.56,3.26,47.66,0.01,51.72
Speed,2.06,0.19,96.70,58.56,3.29,47.86,0.00,35.29
Damage,0.14,0.13,96.74,58.57,3.26,47.39,0.00,52.63
Windup,-13.62,-0.17,96.73,58.56,3.26,47.60,0.00,47.06
Recoil,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,58.20
Reload,0.00,-0.03,0.00,0.00,0.00,0.00,100.00,58.20
WeaponSpeed,0.00,-0.00,0.00,0.00,0.00,0.00,100.00,58.20
Range,-6.82,-0.01,96.73,58.58,3.27,47.18,0.01,40.00
Splash,0.00,0.01,0.00,0.00,0.00,0.00,100.00,58.20
Beetle,-3.86,-0.04,7.17,56.10,0.00,0.00,92.83,58.37
Blink,-6.00,-0.06,7.19,64.13,0.00,0.00,92.81,57.75
Blink Hunter,-3.48,-0.03,7.10,49.89,0.00,0.00,92.90,58.84
Gunbot,-2.21,-0.02,7.15,64.07,0.00,0.00,92.85,57.75
Missilebot,-4.04,-0.04,7.19,55.30,0.00,0.00,92.81,58.43
Wasp,-0.40,-0.00,7.10,59.43,0.00,0.00,92.90,58.11
Hornet,-4.68,-0.05,7.14,54.36,0.00,0.00,92.86,58.50
Knight,-13.71,-0.14,7.13,67.22,0.00,0.00,92.87,57.51
Crossbow,-7.97,-0.08,7.09,54.02,0.00,0.00,92.91,58.52
Ballista,-20.48,-0.20,4.22,50.21,0.00,0.00,95.78,58.56
King Crab,-12.23,-0.12,4.22,51.95,0.00,0.00,95.78,58.48
Crusader,-8.84,-0.09,4.23,55.71,0.00,0.00,95.77,58.32
Bomber,-2.73,-0.03,4.18,53.27,0.00,0.00,95.82,58.42
Shocker,-20.93,-0.21,4.22,53.10,0.00,0.00,95.78,58.43
Recall Shocker,-16.17,-0.16,4.20,55.36,0.00,0.00,95.80,58.33
Mortar,-14.12,-0.14,4.26,64.21,0.00,0.00,95.74,57.94
Swift Shocker,-20.38,-0.20,4.23,52.72,0.00,0.00,95.77,58.45
Heavy Hunter,-7.68,-0.08,4.29,52.33,0.00,0.00,95.71,58.47
Destroyer,-14.96,-0.15,4.20,53.15,0.00,0.00,95.80,58.43
Raider,-15.94,-0.16,4.23,37.48,0.00,0.00,95.77,59.12
Turret,-11.63,-0.12,4.29,59.31,0.00,0.00,95.71,58.16
Heavy Ballista,-35.47,-0.35,2.82,60.01,0.00,0.00,97.18,58.15
Gargantua,-13.70,-0.14,2.76,73.51,0.00,0.00,97.24,57.77
Sniper,-17.36,-0.17,2.82,60.49,0.00,0.00,97.18,58.14
Advanced Blink,-0.67,-0.01,2.83,59.78,0.00,0.00,97.17,58.16
Assaultbot,-3.68,-0.04,2.84,66.28,0.00,0.00,97.16,57.97
Advancedbot,-0.77,-0.01,2.87,68.96,0.00,0.00,97.13,57.89
Behemoth,-16.76,-0.17,2.86,66.21,0.00,0.00,97.14,57.97
Advanced Mortar,-4.91,-0.05,2.86,73.97,0.00,0.00,97.14,57.74
Blaster,-10.62,-0.11,2.83,69.64,0.00,0.00,97.17,57.87
Butterfly,-16.85,-0.17,6.39,55.45,0.00,0.00,93.61,58.39
Dragonfly,-12.36,-0.12,6.31,59.26,0.00,0.00,93.69,58.13
Falcon,-14.78,-0.15,6.34,60.60,0.00,0.00,93.66,58.04
Airship,-8.81,-0.09,6.35,56.39,0.00,0.00,93.65,58.33
Advanced Recall,-7.40,-0.07,6.33,58.70,0.00,0.00,93.67,58.17
Mammoth,-17.13,-0.17,6.35,59.37,0.00,0.00,93.65,58.13
Stinger,-20.08,-0.20,6.40,48.32,0.00,0.00,93.60,58.88
Flak Turret,-20.50,-0.21,6.37,44.87,0.00,0.00,93.63,59.11
Bulwark,-19.68,-0.20,2.90,68.71,0.00,0.00,97.10,57.89
Katbus,-31.61,-0.32,2.87,63.88,0.00,0.00,97.13,58.04
Locust,-5.12,-0.05,2.91,58.44,0.00,0.00,97.09,58.20
Kraken,145.81,1.46,1.17,89.07,0.00,0.00,98.83,57.84
Predator,-9.62,-0.10,2.93,53.07,0.00,0.00,97.07,58.36
Valkyrie,-7.10,-0.07,2.96,58.00,0.00,0.00,97.04,58.21
Artillery,-17.33,-0.17,2.91,58.85,0.00,0.00,97.09,58.19
Advanced Destroyer,-14.30,-0.14,2.93,57.34,0.00,0.00,97.07,58.23
Shade,-21.54,-0.22,2.94,61.17,0.00,0.00,97.06,58.11
Ranking,0.03,2.41,0.00,0.00,100.00,58.20,0.00,0.00
Aggression,2.39,2.39,0.00,0.00,100.00,58.20,0.00,0.00
vs. Crab,-6.79,-0.07,13.35,51.94,0.00,0.00,86.65,59.17
vs. Hunter,13.46,0.13,13.33,65.53,0.00,0.00,86.67,57.08
vs. Guardian Shield,-103.46,-1.03,13.17,55.86,0.00,0.00,86.83,58.56
vs. Recall,-23.60,-0.24,13.34,48.41,0.00,0.00,86.66,59.71
vs. Recall Hunter,12.07,0.12,13.28,65.83,0.00,0.00,86.72,57.04
vs. Scorpion,-3.47,-0.03,13.32,50.13,0.00,0.00,86.68,59.45
vs. Beetle,15.61,0.16,13.28,65.15,0.00,0.00,86.72,57.14
vs. Blink,-13.99,-0.14,13.41,53.91,0.00,0.00,86.59,58.87
vs. Blink Hunter,21.88,0.22,13.35,69.55,0.00,0.00,86.65,56.46
vs. Gunbot,-13.78,-0.14,13.23,46.76,0.00,0.00,86.77,59.95
vs. Missilebot,14.09,0.14,13.31,65.60,0.00,0.00,86.69,57.07
vs. Wasp,-2.22,-0.02,13.33,52.55,0.00,0.00,86.67,59.07
vs. Hornet,16.58,0.17,13.33,68.70,0.00,0.00,86.67,56.59
vs. Knight,-51.55,-0.52,13.37,46.44,0.00,0.00,86.63,60.02
vs. Crossbow,47.93,0.48,13.28,66.88,0.00,0.00,86.72,56.88
vs. Ballista,-75.43,-0.75,4.20,61.00,0.00,0.00,95.80,58.08
vs. King Crab,-74.52,-0.75,4.20,56.52,0.00,0.00,95.80,58.28
vs. Crusader,-42.50,-0.42,4.25,55.10,0.00,0.00,95.75,58.34
vs. Bomber,-33.97,-0.34,4.24,56.56,0.00,0.00,95.76,58.28
vs. Shocker,-81.61,-0.82,4.22,58.26,0.00,0.00,95.78,58.20
vs. Recall Shocker,-81.78,-0.82,4.19,55.62,0.00,0.00,95.81,58.32
vs. Mortar,-100.61,-1.01,4.20,44.22,0.00,0.00,95.80,58.82
vs. Swift Shocker,-74.04,-0.74,4.21,61.14,0.00,0.00,95.79,58.08
vs. Heavy Hunter,44.35,0.44,4.24,64.68,0.00,0.00,95.76,57.92
vs. Destroyer,13.08,0.13,4.23,62.64,0.00,0.00,95.77,58.01
vs. Raider,50.22,0.50,4.24,72.60,0.00,0.00,95.76,57.57
vs. Turret,-75.40,-0.75,4.20,50.86,0.00,0.00,95.80,58.53
vs. Heavy Ballista,-184.02,-1.84,2.78,50.57,0.00,0.00,97.22,58.42
vs. Gargantua,-140.56,-1.41,2.78,41.23,0.00,0.00,97.22,58.69
vs. Sniper,-66.97,-0.67,2.84,51.69,0.00,0.00,97.16,58.39
vs. Advanced Blink,17.05,0.17,2.83,57.81,0.00,0.00,97.17,58.22
vs. Assaultbot,-17.53,-0.18,2.85,41.21,0.00,0.00,97.15,58.70
vs. Advancedbot,-14.51,-0.15,2.82,46.02,0.00,0.00,97.18,58.56
vs. Behemoth,-66.23,-0.66,2.88,44.59,0.00,0.00,97.12,58.61
vs. Advanced Mortar,-86.72,-0.87,2.89,38.09,0.00,0.00,97.11,58.80
