Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,30.30,0.30,13.53,58.55,0.00,0.00,86.47,53.71
Hunter,-17.10,-0.17,13.41,52.04,0.00,0.00,86.59,54.72
Guardian Shield,-258.61,-2.59,12.88,52.85,0.00,0.00,87.12,54.59
Recall,-0.49,-0.00,13.32,58.15,0.00,0.00,86.68,53.78
Recall Hunter,-18.84,-0.19,13.41,51.53,0.00,0.00,86.59,54.80
Scorpion,18.90,0.19,13.48,61.17,0.00,0.00,86.52,53.30
Beetle,-17.98,-0.18,13.37,51.59,0.00,0.00,86.63,54.79
Blink,9.86,0.10,13.03,56.71,0.00,0.00,86.97,54.01
Blink Hunter,-12.97,-0.13,13.30,49.71,0.00,0.00,86.70,55.08
Gunbot,0.38,0.00,13.28,55.24,0.00,0.00,86.72,54.23
Missilebot,-19.40,-0.19,13.31,52.77,0.00,0.00,86.69,54.61
Wasp,8.77,0.09,13.31,56.41,0.00,0.00,86.69,54.05
Hornet,-13.24,-0.13,13.25,50.22,0.00,0.00,86.75,54.99
Knight,19.70,0.20,13.41,57.45,0.00,0.00,86.59,53.88
Crossbow,-35.22,-0.35,13.08,51.27,0.00,0.00,86.92,54.83
Ballista,-62.04,-0.62,2.18,48.40,0.00,0.00,97.82,54.50
King Crab,18.98,0.19,2.28,52.22,0.00,0.00,97.72,54.41
Crusader,41.47,0.41,2.26,55.70,0.00,0.00,97.74,54.33
Bomber,-31.32,-0.31,2.25,52.04,0.00,0.00,97.75,54.42
Shocker,-67.54,-0.68,2.30,50.57,0.00,0.00,97.70,54.45
Recall Shocker,-74.14,-0.74,2.22,51.19,0.00,0.00,97.78,54.43
Mortar,-62.70,-0.63,2.22,57.70,0.00,0.00,97.78,54.29
Swift Shocker,-69.10,-0.69,2.25,48.37,0.00,0.00,97.75,54.50
Heavy Hunter,-50.23,-0.50,2.36,55.01,0.00,0.00,97.64,54.35
Destroyer,-40.47,-0.40,2.26,54.76,0.00,0.00,97.74,54.35
Raider,-37.68,-0.38,2.28,46.48,0.00,0.00,97.72,54.55
Turret,-52.82,-0.53,2.27,51.77,0.00,0.00,97.73,54.42
Heavy Ballista,-130.86,-1.31,3.01,51.87,0.00,0.00,96.99,54.44
Gargantua,-72.20,-0.72,2.90,59.11,0.00,0.00,97.10,54.22
Sniper,-49.49,-0.49,3.02,49.47,0.00,0.00,96.98,54.51
Advanced Blink,21.67,0.22,3.01,50.76,0.00,0.00,96.99,54.47
Assaultbot,-6.41,-0.06,3.05,56.52,0.00,0.00,96.95,54.29
Advancedbot,-9.63,-0.10,3.08,56.10,0.00,0.00,96.92,54.31
Behemoth,55.36,0.55,2.89,56.70,0.00,0.00,97.11,54.29
Advanced Mortar,-52.63,-0.53,3.10,58.98,0.00,0.00,96.90,54.21
Blaster,-61.99,-0.62,3.08,56.34,0.00,0.00,96.92,54.30
Butterfly,-37.27,-0.37,10.69,53.38,0.00,0.00,89.31,54.48
Dragonfly,-29.60,-0.30,10.87,53.92,0.00,0.00,89.13,54.42
Falcon,-50.98,-0.51,10.71,57.16,0.00,0.00,89.29,54.03
Airship,-46.17,-0.46,10.59,55.12,0.00,0.00,89.41,54.27
Advanced Recall,-16.76,-0.17,10.71,58.24,0.00,0.00,89.29,53.90
Mammoth,48.76,0.49,11.09,62.25,0.00,0.00,88.91,53.38
Stinger,-15.19,-0.15,10.78,49.84,0.00,0.00,89.22,54.91
Flak Turret,-49.42,-0.49,10.81,52.74,0.00,0.00,89.19,54.56
Bulwark,-97.25,-0.97,8.50,63.49,0.00,0.00,91.50,53.51
Katbus,-99.81,-1.00,8.35,59.47,0.00,0.00,91.65,53.90
Locust,-17.86,-0.18,8.66,51.97,0.00,0.00,91.34,54.59
Kraken,-1301.34,-13.01,3.22,86.72,0.00,0.00,96.78,53.29
Predator,-43.55,-0.44,8.74,50.76,0.00,0.00,91.26,54.71
Valkyrie,-42.67,-0.43,8.75,54.13,0.00,0.00,91.25,54.38
Artillery,-68.03,-0.68,8.59,55.21,0.00,0.00,91.41,54.28
Advanced Destroyer,-39.28,-0.39,8.60,56.57,0.00,0.00,91.40,54.15
Matter,-0.45,-0.56,86.78,55.16,13.20,49.11,0.02,50.00
Energy,0.49,0.61,86.69,55.17,13.29,49.10,0.02,52.63
Bandwidth,-8.40,-0.42,87.08,55.12,12.89,49.26,0.03,43.48
Health,0.05,1.36,86.70,55.15,13.27,49.27,0.03,40.91
Radius,-61.74,-0.93,86.87,55.15,13.11,49.16,0.02,28.57
Speed,5.74,0.64,86.78,55.16,13.21,49.12,0.01,53.85
Damage,0.73,2.20,86.78,55.13,13.20,49.30,0.02,47.62
Windup,0.00,-0.09,0.00,0.00,0.00,0.00,100.00,54.36
Recoil,0.00,-0.06,0.00,0.00,0.00,0.00,100.00,54.36
Reload,-140.07,-2.52,86.79,55.11,13.19,49.46,0.02,50.00
