Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,10.06,0.10,13.30,50.41,0.00,0.00,86.70,48.13
Hunter,-16.24,-0.16,13.38,47.70,0.00,0.00,86.62,48.55
Guardian Shield,-151.83,-1.52,13.24,46.35,0.00,0.00,86.76,48.75
Recall,-0.73,-0.01,13.25,51.42,0.00,0.00,86.75,47.98
Recall Hunter,-13.14,-0.13,13.35,46.81,0.00,0.00,86.65,48.69
Scorpion,7.55,0.08,13.29,53.10,0.00,0.00,86.71,47.72
Beetle,-15.40,-0.15,13.45,48.44,0.00,0.00,86.55,48.44
Blink,-6.28,-0.06,13.23,48.97,0.00,0.00,86.77,48.35
Blink Hunter,-15.21,-0.15,13.37,44.40,0.00,0.00,86.63,49.06
Gunbot,-1.80,-0.02,13.31,49.90,0.00,0.00,86.69,48.21
Missilebot,-14.66,-0.15,13.25,47.61,0.00,0.00,86.75,48.56
Wasp,-0.14,-0.00,13.24,48.93,0.00,0.00,86.76,48.36
Hornet,-20.28,-0.20,13.32,44.20,0.00,0.00,86.68,49.09
Knight,-2.39,-0.02,13.41,50.94,0.00,0.00,86.59,48.05
Crossbow,-27.65,-0.28,13.27,47.33,0.00,0.00,86.73,48.61
Ballista,-77.96,-0.78,6.04,42.27,0.00,0.00,93.96,48.83
King Crab,-47.53,-0.48,6.05,45.50,0.00,0.00,93.95,48.63
Crusader,3.64,0.04,6.02,51.53,0.00,0.00,93.98,48.24
Bomber,-46.29,-0.46,5.96,47.36,0.00,0.00,94.04,48.50
Matter,-0.34,-0.43,89.83,48.69,10.15,46.20,0.01,33.33
Energy,-0.00,-0.01,89.97,48.67,10.01,46.38,0.02,37.50
Bandwidth,-7.43,-0.37,90.16,48.66,9.82,46.37,0.02,41.67
Health,0.02,0.30,89.98,48.71,10.01,45.93,0.02,56.52
Radius,-71.90,-1.22,89.92,48.66,10.06,46.43,0.02,50.00
Speed,26.54,1.67,89.86,48.64,10.12,46.62,0.02,50.00
Damage,0.43,2.56,90.01,48.73,9.97,45.78,0.02,50.00
Windup,-925.70,-0.93,89.96,48.72,10.02,45.95,0.01,33.33
Recoil,-234.57,-1.17,89.93,48.72,10.05,45.88,0.02,68.00
Reload,-115.87,-2.32,90.07,48.60,9.91,46.89,0.02,62.96
WeaponSpeed,0.00,0.50,0.00,0.00,0.00,0.00,100.00,48.44
Range,41.14,4.11,89.83,48.66,10.15,46.43,0.02,42.86
Splash,51.18,1.28,89.92,48.70,10.06,46.05,0.02,50.00
Recall Shocker,-53.03,-0.53,5.97,50.13,0.00,0.00,94.03,48.33
Mortar,-61.77,-0.62,5.92,61.23,0.00,0.00,94.08,47.63
Swift Shocker,-93.11,-0.93,6.01,43.64,0.00,0.00,93.99,48.74
Heavy Hunter,-28.20,-0.28,6.00,45.47,0.00,0.00,94.00,48.63
Destroyer,-37.11,-0.37,6.03,48.73,0.00,0.00,93.97,48.42
Raider,-56.64,-0.57,6.23,33.54,0.00,0.00,93.77,49.43
Turret,-37.35,-0.37,6.18,54.45,0.00,0.00,93.82,48.04
Heavy Ballista,-137.02,-1.37,4.78,52.18,0.00,0.00,95.22,48.25
Gargantua,-38.08,-0.38,4.74,63.94,0.00,0.00,95.26,47.67
Sniper,-60.90,-0.61,4.89,55.53,0.00,0.00,95.11,48.07
Advanced Blink,-16.07,-0.16,4.77,51.79,0.00,0.00,95.23,48.27
