Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,8.97,0.09,13.24,57.86,0.00,0.00,86.76,57.82
Hunter,19.53,0.20,13.26,57.97,0.00,0.00,86.74,57.81
Guardian Shield,-269.61,-2.70,13.21,56.33,0.00,0.00,86.79,58.06
Recall,12.86,0.13,13.35,60.17,0.00,0.00,86.65,57.47
Recall Hunter,25.49,0.25,13.42,58.82,0.00,0.00,86.58,57.68
Scorpion,6.47,0.06,13.19,60.19,0.00,0.00,86.81,57.47
Beetle,19.20,0.19,13.43,58.67,0.00,0.00,86.57,57.70
Blink,-2.64,-0.03,13.38,57.06,0.00,0.00,86.62,57.95
Blink Hunter,12.62,0.13,13.09,54.89,0.00,0.00,86.91,58.27
Gunbot,8.04,0.08,13.32,59.58,0.00,0.00,86.68,57.56
Missilebot,19.75,0.20,13.28,57.36,0.00,0.00,86.72,57.90
Wasp,-1.49,-0.01,13.54,56.79,0.00,0.00,86.46,57.99
Hornet,7.02,0.07,13.25,54.43,0.00,0.00,86.75,58.35
Knight,1.10,0.01,13.30,58.30,0.00,0.00,86.70,57.76
Crossbow,41.13,0.41,13.16,58.93,0.00,0.00,86.84,57.66
Ballista,-11.60,-0.12,7.27,54.22,0.00,0.00,92.73,58.11
King Crab,-6.95,-0.07,7.00,52.99,0.00,0.00,93.00,58.19
Crusader,30.86,0.31,7.09,59.80,0.00,0.00,92.91,57.68
Bomber,-32.11,-0.32,7.07,53.58,0.00,0.00,92.93,58.15
Shocker,-9.37,-0.09,7.25,55.82,0.00,0.00,92.75,57.99
Recall Shocker,14.94,0.15,7.13,57.11,0.00,0.00,92.87,57.88
Mortar,-30.86,-0.31,6.97,61.93,0.00,0.00,93.03,57.52
Swift Shocker,-46.88,-0.47,7.15,53.58,0.00,0.00,92.85,58.16
Heavy Hunter,47.95,0.48,7.13,59.46,0.00,0.00,92.87,57.70
Destroyer,23.89,0.24,7.02,57.99,0.00,0.00,92.98,57.82
Raider,4.17,0.04,7.09,46.62,0.00,0.00,92.91,58.68
Turret,6.27,0.06,7.11,59.13,0.00,0.00,92.89,57.73
Heavy Ballista,-80.34,-0.80,8.18,53.62,0.00,0.00,91.82,58.20
Gargantua,97.38,0.97,8.07,71.74,0.00,0.00,91.93,56.61
Matter,-0.06,-0.07,87.62,59.30,12.36,47.43,0.02,57.14
Energy,1.75,2.19,87.42,59.36,12.57,47.20,0.01,33.33
Bandwidth,-6.03,-0.30,87.73,59.37,12.25,46.84,0.02,35.29
Health,-0.02,-0.16,87.72,59.26,12.26,47.61,0.02,37.50
Radius,3.00,0.02,87.46,59.40,12.52,46.90,0.02,31.25
Speed,32.95,1.73,87.50,59.30,12.48,47.55,0.01,33.33
Damage,0.38,2.66,87.40,59.34,12.57,47.39,0.03,34.78
Duration,-196.42,-2.55,87.50,59.38,12.47,47.00,0.03,28.00
Windup,-360.47,-0.36,87.47,59.27,12.51,47.76,0.02,38.10
Recoil,-91.45,-0.46,87.42,59.26,12.56,47.90,0.02,38.46
WeaponSpeed,0.00,0.03,0.00,0.00,0.00,0.00,100.00,57.83
Range,15.31,3.52,87.25,59.34,12.73,47.48,0.02,50.00
