Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,34.65,0.35,13.37,43.82,0.00,0.00,86.63,38.44
Hunter,-12.72,-0.13,13.34,35.99,0.00,0.00,86.66,39.65
Guardian Shield,-110.96,-1.11,12.97,36.31,0.00,0.00,87.03,39.58
Recall,-8.22,-0.08,13.41,42.28,0.00,0.00,86.59,38.67
Recall Hunter,-13.82,-0.14,13.31,35.33,0.00,0.00,86.69,39.75
Scorpion,24.73,0.25,13.48,48.23,0.00,0.00,86.52,37.74
Beetle,-12.34,-0.12,13.26,37.50,0.00,0.00,86.74,39.41
Blink,-7.59,-0.08,13.31,40.05,0.00,0.00,86.69,39.02
Blink Hunter,-13.62,-0.14,13.22,33.24,0.00,0.00,86.78,40.06
Gunbot,-3.87,-0.04,13.32,41.07,0.00,0.00,86.68,38.86
Missilebot,-12.42,-0.12,13.29,36.61,0.00,0.00,86.71,39.55
Wasp,19.26,0.19,13.26,43.96,0.00,0.00,86.74,38.42
Hornet,-14.57,-0.15,13.43,35.00,0.00,0.00,86.57,39.80
Knight,-11.23,-0.11,13.38,41.76,0.00,0.00,86.62,38.76
Crossbow,-27.48,-0.27,13.17,35.74,0.00,0.00,86.83,39.68
Ballista,-31.11,-0.31,4.02,31.40,0.00,0.00,95.98,39.48
King Crab,6.63,0.07,4.10,35.43,0.00,0.00,95.90,39.32
Crusader,9.92,0.10,4.04,39.89,0.00,0.00,95.96,39.13
Bomber,2.83,0.03,4.11,39.99,0.00,0.00,95.89,39.12
Shocker,-33.15,-0.33,4.06,35.16,0.00,0.00,95.94,39.33
Recall Shocker,-35.04,-0.35,4.13,37.84,0.00,0.00,95.87,39.21
Mortar,-25.97,-0.26,4.01,47.71,0.00,0.00,95.99,38.80
Swift Shocker,-38.65,-0.39,4.06,33.03,0.00,0.00,95.94,39.42
Heavy Hunter,-24.59,-0.25,4.07,35.14,0.00,0.00,95.93,39.33
Destroyer,-31.45,-0.31,4.03,35.60,0.00,0.00,95.97,39.31
Raider,-25.08,-0.25,4.11,26.58,0.00,0.00,95.89,39.70
Turret,-31.79,-0.32,4.09,43.16,0.00,0.00,95.91,38.99
Heavy Ballista,-8.31,-0.08,1.50,45.55,0.00,0.00,98.50,39.06
Gargantua,-21.88,-0.22,1.51,52.96,0.00,0.00,98.49,38.95
Sniper,-4.16,-0.04,1.56,44.25,0.00,0.00,98.44,39.08
Advanced Blink,-16.25,-0.16,1.50,45.29,0.00,0.00,98.50,39.06
Assaultbot,-0.15,-0.00,1.56,50.64,0.00,0.00,98.44,38.98
Advancedbot,-2.68,-0.03,1.63,48.90,0.00,0.00,98.37,39.00
Behemoth,2.94,0.03,1.53,49.98,0.00,0.00,98.47,38.99
Advanced Mortar,-10.47,-0.10,1.51,53.80,0.00,0.00,98.49,38.93
Blaster,-6.42,-0.06,1.55,49.08,0.00,0.00,98.45,39.00
Butterfly,-25.70,-0.26,9.50,39.84,0.00,0.00,90.50,39.09
Dragonfly,-18.02,-0.18,9.61,42.18,0.00,0.00,90.39,38.84
Falcon,-28.33,-0.28,9.50,46.95,0.00,0.00,90.50,38.34
Airship,-27.91,-0.28,9.54,39.92,0.00,0.00,90.46,39.08
Advanced Recall,-11.12,-0.11,9.39,39.94,0.00,0.00,90.61,39.08
Mammoth,-22.16,-0.22,9.59,42.59,0.00,0.00,90.41,38.79
Matter,-0.25,-0.31,89.75,38.46,10.24,45.28,0.02,52.94
Energy,-0.18,-0.22,89.73,38.47,10.26,45.21,0.02,46.67
Bandwidth,-5.33,-0.27,90.14,38.46,9.84,45.58,0.02,34.29
Health,0.11,1.83,89.76,38.46,10.23,45.25,0.01,42.86
Radius,-77.35,-1.04,89.80,38.45,10.19,45.39,0.02,50.00
Speed,3.21,0.42,89.75,38.43,10.24,45.55,0.01,36.36
Damage,1.53,1.83,89.77,38.48,10.22,45.10,0.01,50.00
Duration,-753.88,-1.88,89.89,38.38,10.09,46.14,0.02,29.73
Windup,-154.24,-0.15,89.72,38.43,10.27,45.48,0.01,43.48
Recoil,-460.93,-0.23,89.77,38.43,10.21,45.59,0.02,48.28
WeaponSpeed,-0.74,-0.15,89.70,38.46,10.28,45.19,0.01,48.15
Range,40.57,2.43,89.74,38.48,10.24,45.07,0.01,48.15
Splash,0.00,0.03,0.00,0.00,0.00,0.00,100.00,39.16
Flak Turret,-36.70,-0.37,9.55,28.55,0.00,0.00,90.45,40.28
Bulwark,-58.36,-0.58,4.87,57.44,0.00,0.00,95.13,38.22
Katbus,-54.45,-0.54,5.05,53.28,0.00,0.00,94.95,38.41
