Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,34.33,0.34,13.23,49.44,0.00,0.00,86.77,44.95
Hunter,-21.96,-0.22,13.40,43.34,0.00,0.00,86.60,45.88
Guardian Shield,-163.00,-1.63,13.29,43.31,0.00,0.00,86.71,45.88
Recall,-7.72,-0.08,13.25,48.72,0.00,0.00,86.75,45.06
Recall Hunter,-21.68,-0.22,13.29,42.87,0.00,0.00,86.71,45.95
Scorpion,22.77,0.23,13.32,52.44,0.00,0.00,86.68,44.48
Beetle,-19.42,-0.19,13.20,44.72,0.00,0.00,86.80,45.67
Blink,-0.41,-0.00,13.19,46.05,0.00,0.00,86.81,45.46
Blink Hunter,-21.00,-0.21,13.43,40.78,0.00,0.00,86.57,46.28
Gunbot,-3.19,-0.03,13.36,47.57,0.00,0.00,86.64,45.23
Missilebot,-20.60,-0.21,13.45,43.52,0.00,0.00,86.55,45.86
Wasp,12.01,0.12,13.44,47.83,0.00,0.00,86.56,45.19
Hornet,-26.16,-0.26,13.19,40.83,0.00,0.00,86.81,46.26
Knight,-3.73,-0.04,13.33,48.13,0.00,0.00,86.67,45.14
Crossbow,-44.61,-0.45,13.27,43.49,0.00,0.00,86.73,45.86
Ballista,-57.72,-0.58,6.04,39.46,0.00,0.00,93.96,45.93
King Crab,23.75,0.24,6.08,44.05,0.00,0.00,93.92,45.64
Crusader,66.62,0.67,6.04,49.94,0.00,0.00,93.96,45.26
Bomber,-29.70,-0.30,6.02,45.41,0.00,0.00,93.98,45.55
Shocker,-59.36,-0.59,6.01,43.35,0.00,0.00,93.99,45.68
Recall Shocker,-48.25,-0.48,6.00,46.86,0.00,0.00,94.00,45.46
Mortar,-46.62,-0.47,6.12,57.41,0.00,0.00,93.88,44.77
Matter,-0.55,-0.69,89.85,45.40,10.13,46.79,0.02,50.00
Energy,-0.90,-1.12,89.85,45.39,10.13,46.87,0.02,28.57
Bandwidth,6.50,0.32,90.30,45.47,9.69,46.21,0.01,44.44
Health,0.11,1.47,89.74,45.42,10.25,46.63,0.02,52.38
Radius,-91.05,-1.37,89.92,45.47,10.06,46.14,0.01,61.11
Speed,4.26,0.48,89.85,45.44,10.14,46.45,0.02,25.00
Damage,2.05,2.36,89.98,45.36,10.01,47.15,0.01,33.33
Duration,-619.52,-3.10,89.94,45.46,10.04,46.26,0.02,66.67
Windup,-535.92,-0.54,89.90,45.47,10.08,46.16,0.02,42.86
Recoil,-166.11,-0.42,89.83,45.38,10.16,46.99,0.01,36.84
WeaponSpeed,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,45.54
Range,49.56,3.96,89.85,45.47,10.14,46.17,0.01,60.00
Splash,68.49,1.71,89.94,45.44,10.05,46.44,0.02,31.82
Heavy Hunter,-53.26,-0.53,5.92,40.79,0.00,0.00,94.08,45.84
Destroyer,-44.92,-0.45,5.95,43.89,0.00,0.00,94.05,45.65
Raider,-47.73,-0.48,5.94,29.18,0.00,0.00,94.06,46.57
Turret,-43.59,-0.44,6.07,53.00,0.00,0.00,93.93,45.06
Heavy Ballista,-99.71,-1.00,4.74,50.65,0.00,0.00,95.26,45.29
Gargantua,-69.58,-0.70,4.74,61.88,0.00,0.00,95.26,44.73
Sniper,-42.62,-0.43,4.83,53.58,0.00,0.00,95.17,45.13
Advanced Blink,-2.62,-0.03,4.81,50.79,0.00,0.00,95.19,45.28
Assaultbot,-4.02,-0.04,4.73,57.47,0.00,0.00,95.27,44.95
Advancedbot,-5.48,-0.05,4.83,56.89,0.00,0.00,95.17,44.97
Behemoth,37.55,0.38,4.78,56.83,0.00,0.00,95.22,44.97
Advanced Mortar,-36.27,-0.36,4.81,64.23,0.00,0.00,95.19,44.60
Blaster,-35.12,-0.35,4.84,59.81,0.00,0.00,95.16,44.82
Butterfly,-33.18,-0.33,6.11,43.34,0.00,0.00,93.89,45.68
Dragonfly,-34.70,-0.35,6.11,43.07,0.00,0.00,93.89,45.70
Falcon,-40.11,-0.40,6.01,47.19,0.00,0.00,93.99,45.44
Airship,-47.15,-0.47,6.09,43.57,0.00,0.00,93.91,45.67
Advanced Recall,-15.57,-0.16,5.86,43.27,0.00,0.00,94.14,45.68
Mammoth,25.90,0.26,6.06,46.44,0.00,0.00,93.94,45.48
Stinger,-45.05,-0.45,6.07,33.03,0.00,0.00,93.93,46.35
Flak Turret,-67.02,-0.67,6.20,38.20,0.00,0.00,93.80,46.03
Bulwark,-57.55,-0.58,1.48,56.97,0.00,0.00,98.52,45.37
Katbus,-67.96,-0.68,1.56,54.20,0.00,0.00,98.44,45.40
Locust,-8.74,-0.09,1.53,45.42,0.00,0.00,98.47,45.54
