Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,-25.20,-0.25,13.24,57.20,0.00,0.00,86.76,56.66
Hunter,-22.57,-0.23,13.39,54.80,0.00,0.00,86.61,57.03
Guardian Shield,-16.92,-0.17,13.02,61.36,0.00,0.00,86.98,56.04
Recall,-34.08,-0.34,13.26,60.14,0.00,0.00,86.74,56.21
Recall Hunter,-13.88,-0.14,13.18,56.65,0.00,0.00,86.82,56.74
Scorpion,-15.84,-0.16,13.48,59.00,0.00,0.00,86.52,56.38
Beetle,-22.92,-0.23,13.37,56.08,0.00,0.00,86.63,56.83
Blink,-31.46,-0.31,13.35,57.14,0.00,0.00,86.65,56.67
Blink Hunter,-12.26,-0.12,13.34,52.03,0.00,0.00,86.66,57.45
Gunbot,-17.15,-0.17,13.33,58.66,0.00,0.00,86.67,56.43
Missilebot,-22.68,-0.23,13.55,55.32,0.00,0.00,86.45,56.95
Wasp,-7.61,-0.08,13.27,57.12,0.00,0.00,86.73,56.67
Hornet,-15.45,-0.15,13.31,52.40,0.00,0.00,86.69,57.39
Knight,-79.67,-0.80,13.24,58.44,0.00,0.00,86.76,56.47
Crossbow,-46.13,-0.46,13.34,54.76,0.00,0.00,86.66,57.03
Ballista,-107.87,-1.08,5.81,52.60,0.00,0.00,94.19,56.98
King Crab,-100.79,-1.01,6.03,52.88,0.00,0.00,93.97,56.98
Crusader,-129.20,-1.29,6.02,57.23,0.00,0.00,93.98,56.70
Bomber,-45.46,-0.45,6.05,58.11,0.00,0.00,93.95,56.64
Shocker,-132.03,-1.32,6.17,54.29,0.00,0.00,93.83,56.89
Recall Shocker,-161.02,-1.61,6.10,59.46,0.00,0.00,93.90,56.55
Mortar,-213.65,-2.14,6.02,66.24,0.00,0.00,93.98,56.12
Swift Shocker,-101.47,-1.01,6.06,53.00,0.00,0.00,93.94,56.97
Heavy Hunter,-17.40,-0.17,6.08,53.60,0.00,0.00,93.92,56.93
Destroyer,-103.30,-1.03,5.97,55.50,0.00,0.00,94.03,56.81
Raider,33.55,0.34,6.13,43.81,0.00,0.00,93.87,57.57
Matter,0.20,0.25,89.89,57.77,10.10,47.44,0.01,63.16
Energy,1.05,1.31,89.85,57.69,10.14,48.18,0.01,52.94
Bandwidth,4.29,0.21,90.07,57.74,9.92,47.61,0.01,42.86
Health,-0.00,-0.00,89.93,57.79,10.05,47.27,0.02,54.55
Radius,-27.15,-0.27,89.78,57.74,10.20,47.84,0.02,45.45
Speed,0.00,-0.15,0.00,0.00,0.00,0.00,100.00,56.73
Damage,0.03,0.30,89.84,57.66,10.15,48.51,0.01,23.53
Duration,-43.97,-0.40,89.80,57.80,10.19,47.34,0.01,38.89
Windup,-240.87,-0.24,89.93,57.76,10.05,47.54,0.02,32.14
Recoil,0.00,-0.18,0.00,0.00,0.00,0.00,100.00,56.73
