Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,26.79,0.27,13.39,54.87,0.00,0.00,86.61,48.32
Hunter,-7.30,-0.07,13.07,44.29,0.00,0.00,86.93,49.93
Guardian Shield,-76.35,-0.76,12.96,48.50,0.00,0.00,87.04,49.30
Recall,19.42,0.19,13.22,56.54,0.00,0.00,86.78,48.08
Recall Hunter,-11.57,-0.12,13.17,44.96,0.00,0.00,86.83,49.84
Scorpion,16.25,0.16,13.58,57.88,0.00,0.00,86.42,47.83
Beetle,-7.68,-0.08,13.31,45.51,0.00,0.00,86.69,49.76
Blink,15.62,0.16,13.40,51.87,0.00,0.00,86.60,48.78
Blink Hunter,-10.01,-0.10,13.21,42.04,0.00,0.00,86.79,50.28
Gunbot,8.30,0.08,13.40,53.60,0.00,0.00,86.60,48.51
Missilebot,-10.70,-0.11,13.36,44.43,0.00,0.00,86.64,49.93
Wasp,9.23,0.09,13.39,51.53,0.00,0.00,86.61,48.83
Hornet,-15.81,-0.16,13.19,42.52,0.00,0.00,86.81,50.21
Knight,31.54,0.32,13.56,54.07,0.00,0.00,86.44,48.43
Crossbow,-21.72,-0.22,13.11,44.64,0.00,0.00,86.89,49.88
Ballista,-29.39,-0.29,2.28,49.85,0.00,0.00,97.72,49.18
King Crab,-13.31,-0.13,2.23,48.48,0.00,0.00,97.77,49.21
Crusader,13.72,0.14,2.26,55.70,0.00,0.00,97.74,49.05
Bomber,-9.32,-0.09,2.30,51.83,0.00,0.00,97.70,49.13
Shocker,-31.60,-0.32,2.27,50.61,0.00,0.00,97.73,49.16
Recall Shocker,-26.56,-0.27,2.25,51.38,0.00,0.00,97.75,49.15
Mortar,-18.50,-0.18,2.31,59.53,0.00,0.00,97.69,48.95
Swift Shocker,-34.05,-0.34,2.31,50.32,0.00,0.00,97.69,49.17
Heavy Hunter,-49.64,-0.50,2.34,51.89,0.00,0.00,97.66,49.13
Destroyer,-19.89,-0.20,2.26,53.23,0.00,0.00,97.74,49.10
Raider,-47.15,-0.47,2.23,43.17,0.00,0.00,97.77,49.33
Turret,-72.75,-0.73,2.19,52.70,0.00,0.00,97.81,49.12
Heavy Ballista,-34.00,-0.34,3.04,52.74,0.00,0.00,96.96,49.08
Gargantua,-91.97,-0.92,2.89,56.08,0.00,0.00,97.11,48.99
Sniper,-34.68,-0.35,3.09,52.86,0.00,0.00,96.91,49.08
Advanced Blink,15.32,0.15,2.92,50.14,0.00,0.00,97.08,49.17
Assaultbot,6.72,0.07,3.12,58.75,0.00,0.00,96.88,48.89
Advancedbot,-9.64,-0.10,3.14,52.62,0.00,0.00,96.86,49.08
Behemoth,63.23,0.63,3.05,56.87,0.00,0.00,96.95,48.95
Advanced Mortar,-67.25,-0.67,3.08,59.54,0.00,0.00,96.92,48.87
Blaster,-57.25,-0.57,3.03,54.19,0.00,0.00,96.97,49.04
Butterfly,-31.47,-0.31,10.89,49.03,0.00,0.00,89.11,49.22
Dragonfly,-56.22,-0.56,10.86,46.61,0.00,0.00,89.14,49.51
Falcon,-22.80,-0.23,10.87,54.98,0.00,0.00,89.13,48.49
Airship,-80.72,-0.81,10.76,45.74,0.00,0.00,89.24,49.61
Advanced Recall,8.19,0.08,10.81,57.85,0.00,0.00,89.19,48.15
Mammoth,61.80,0.62,10.88,60.10,0.00,0.00,89.12,47.86
Stinger,-11.95,-0.12,10.69,44.89,0.00,0.00,89.31,49.71
Flak Turret,-39.81,-0.40,10.76,44.23,0.00,0.00,89.24,49.79
Bulwark,-107.34,-1.07,8.42,55.95,0.00,0.00,91.58,48.57
Katbus,36.60,0.37,8.54,59.21,0.00,0.00,91.46,48.26
Locust,-25.87,-0.26,8.68,41.21,0.00,0.00,91.32,49.95
Kraken,-1200.03,-12.00,3.09,85.07,0.00,0.00,96.91,48.05
Predator,-60.60,-0.61,8.65,39.81,0.00,0.00,91.35,50.08
Matter,-0.11,-0.14,86.99,48.98,12.99,50.63,0.02,70.00
Energy,-0.55,-0.68,86.98,48.86,13.00,51.45,0.02,64.71
Bandwidth,7.79,0.39,87.42,48.97,12.55,50.78,0.03,56.52
Health,0.02,0.53,86.97,48.95,13.00,50.84,0.02,65.00
Radius,-90.81,-1.18,87.03,48.96,12.95,50.79,0.02,60.00
Speed,7.29,0.60,87.16,48.91,12.82,51.16,0.02,50.00
