Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Crab,0.85,0.01,7.21,56.64,0.00,0.00,92.79,53.83
Hunter,-6.53,-0.07,7.11,49.48,0.00,0.00,92.89,54.38
Guardian Shield,91.09,0.91,7.10,59.33,0.00,0.00,92.90,53.63
Recall,-4.12,-0.04,7.15,61.85,0.00,0.00,92.85,53.43
Recall Hunter,-6.84,-0.07,7.11,45.84,0.00,0.00,92.89,54.66
Scorpion,1.74,0.02,7.11,59.43,0.00,0.00,92.89,53.62
Beetle,-6.84,-0.07,7.17,50.37,0.00,0.00,92.83,54.32
Blink,-5.22,-0.05,7.09,60.83,0.00,0.00,92.91,53.52
Blink Hunter,-6.76,-0.07,7.14,43.37,0.00,0.00,92.86,54.85
Gunbot,-2.13,-0.02,7.12,61.21,0.00,0.00,92.88,53.48
Missilebot,-6.94,-0.07,7.08,49.53,0.00,0.00,92.92,54.38
Matter,0.17,0.04,96.01,54.35,3.99,46.43,0.00,77.78
Energy,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,54.03
Bandwidth,2.25,0.02,96.12,54.36,3.87,45.90,0.01,39.13
Health,0.03,0.16,96.07,54.35,3.92,46.28,0.01,38.10
Radius,-13.05,-0.10,96.05,54.36,3.95,46.15,0.01,40.00
Speed,0.72,0.10,96.02,54.34,3.97,46.61,0.01,55.56
Damage,0.28,0.11,96.07,54.35,3.93,46.37,0.00,70.59
Windup,-22.14,-0.11,96.09,54.33,3.90,46.79,0.01,44.83
Recoil,0.00,0.01,0.00,0.00,0.00,0.00,100.00,54.03
Reload,0.00,0.01,0.00,0.00,0.00,0.00,100.00,54.03
WeaponSpeed,0.00,0.02,0.00,0.00,0.00,0.00,100.00,54.03
Range,5.10,0.01,96.06,54.36,3.93,46.15,0.01,41.67
Splash,0.00,-0.01,0.00,0.00,0.00,0.00,100.00,54.03
Hornet,-7.46,-0.07,7.18,47.26,0.00,0.00,92.82,54.56
Knight,-10.16,-0.10,7.14,63.53,0.00,0.00,92.86,53.30
Crossbow,-13.44,-0.13,7.08,47.79,0.00,0.00,92.92,54.51
Ballista,-18.72,-0.19,4.21,44.63,0.00,0.00,95.79,54.45
King Crab,-16.92,-0.17,4.26,49.80,0.00,0.00,95.74,54.22
Crusader,-14.82,-0.15,4.23,53.67,0.00,0.00,95.77,54.05
Bomber,-6.29,-0.06,4.23,51.38,0.00,0.00,95.77,54.15
Shocker,-18.75,-0.19,4.21,48.93,0.00,0.00,95.79,54.26
Recall Shocker,-17.51,-0.18,4.22,51.85,0.00,0.00,95.78,54.13
Mortar,-18.05,-0.18,4.22,60.71,0.00,0.00,95.78,53.74
Swift Shocker,-22.01,-0.22,4.27,47.98,0.00,0.00,95.73,54.30
Heavy Hunter,-17.84,-0.18,4.22,47.53,0.00,0.00,95.78,54.32
Destroyer,-16.42,-0.16,4.25,48.77,0.00,0.00,95.75,54.27
Raider,-18.42,-0.18,4.26,34.07,0.00,0.00,95.74,54.92
Turret,-15.86,-0.16,4.23,57.41,0.00,0.00,95.77,53.89
Heavy Ballista,-37.37,-0.37,2.85,56.19,0.00,0.00,97.15,53.97
Gargantua,-35.62,-0.36,2.83,70.88,0.00,0.00,97.17,53.54
Sniper,-20.45,-0.20,2.90,56.90,0.00,0.00,97.10,53.95
Advanced Blink,-13.62,-0.14,2.85,56.66,0.00,0.00,97.15,53.96
Assaultbot,-3.25,-0.03,2.90,64.26,0.00,0.00,97.10,53.73
Advancedbot,-3.19,-0.03,2.88,65.02,0.00,0.00,97.12,53.71
Behemoth,-15.83,-0.16,2.85,63.55,0.00,0.00,97.15,53.76
Advanced Mortar,-16.49,-0.16,2.83,71.71,0.00,0.00,97.17,53.52
Blaster,-19.22,-0.19,2.83,66.55,0.00,0.00,97.17,53.67
Butterfly,-18.24,-0.18,6.37,49.08,0.00,0.00,93.63,54.37
Dragonfly,-17.59,-0.18,6.30,52.71,0.00,0.00,93.70,54.12
Falcon,-15.77,-0.16,6.40,55.80,0.00,0.00,93.60,53.91
Airship,-16.83,-0.17,6.28,50.53,0.00,0.00,93.72,54.27
Advanced Recall,-6.77,-0.07,6.35,52.95,0.00,0.00,93.65,54.11
Mammoth,-17.48,-0.17,6.39,55.45,0.00,0.00,93.61,53.94
Stinger,-21.23,-0.21,6.30,44.08,0.00,0.00,93.70,54.70
Flak Turret,-20.76,-0.21,6.36,40.25,0.00,0.00,93.64,54.97
Bulwark,-32.70,-0.33,2.88,64.27,0.00,0.00,97.12,53.73
Katbus,-36.27,-0.36,2.88,60.52,0.00,0.00,97.12,53.84
Locust,-7.74,-0.08,2.96,51.51,0.00,0.00,97.04,54.11
Kraken,-159.72,-1.60,1.18,88.18,0.00,0.00,98.82,53.63
Predator,-18.30,-0.18,2.91,46.82,0.00,0.00,97.09,54.25
Valkyrie,-16.65,-0.17,2.92,51.55,0.00,0.00,97.08,54.11
Artillery,-19.59,-0.20,2.92,54.93,0.00,0.00,97.08,54.01
Advanced Destroyer,-18.18,-0.18,2.94,52.02,0.00,0.00,97.06,54.10
Shade,-23.14,-0.23,2.91,56.41,0.00,0.00,97.09,53.96
Ranking,0.02,1.26,0.00,0.00,100.00,54.03,0.00,0.00
Aggression,1.21,1.21,0.00,0.00,100.00,54.03,0.00,0.00
vs. Crab,-2.41,-0.02,13.30,49.56,0.00,0.00,86.70,54.72
