Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,61.60,61.60,,,,,,
Crab,84.29,-0.16,12.8,55.6,13.0,48.2,74.3,49.8
Value,84.29,0.00,12.8,55.6,13.0,48.2,74.3,49.8
Hunter,58.26,-0.58,13.4,44.6,13.3,56.8,73.3,50.2
Value,58.26,0.00,13.4,44.6,13.3,56.8,73.3,50.2
Recall,87.02,-0.13,13.4,55.5,14.3,39.6,72.3,51.5
Value,87.02,0.00,13.4,55.5,14.3,39.6,72.3,51.5
Recall Hunter,76.10,-0.45,13.0,47.7,13.8,52.0,73.3,50.5
Value,76.10,0.00,13.0,47.7,13.8,52.0,73.3,50.5
Scorpion,49.89,-0.00,13.8,53.9,12.3,47.8,73.9,50.1
Value,49.89,0.00,13.8,53.9,12.3,47.8,73.9,50.1
Beetle,74.99,-0.45,13.6,50.9,13.0,52.7,73.4,49.8
Value,74.99,0.00,13.6,50.9,13.0,52.7,73.4,49.8
Blink,69.22,-0.31,12.9,51.8,12.8,50.3,74.3,50.1
Value,69.22,0.00,12.9,51.8,12.8,50.3,74.3,50.1
Blink Hunter,68.67,-0.50,13.0,46.2,13.3,51.2,73.7,50.9
Value,68.67,0.00,13.0,46.2,13.3,51.2,73.7,50.9
Gunbot,43.00,-0.14,13.6,55.6,13.3,44.9,73.1,50.3
Value,43.00,0.00,13.6,55.6,13.3,44.9,73.1,50.3
Missilebot,71.33,-0.48,13.2,49.9,12.9,52.4,73.9,50.0
Value,71.33,0.00,13.2,49.9,12.9,52.4,73.9,50.0
Wasp,21.69,-0.13,13.2,52.4,13.3,46.0,73.5,50.7
Value,21.69,0.00,13.2,52.4,13.3,46.0,73.5,50.7
Hornet,46.48,-0.66,12.7,47.8,13.3,52.8,74.0,50.3
Value,46.48,0.00,12.7,47.8,13.3,52.8,74.0,50.3
Knight,67.64,-0.66,13.1,47.4,12.6,50.3,74.3,50.9
Value,67.64,0.00,13.1,47.4,12.6,50.3,74.3,50.9
Crossbow,48.43,-0.86,13.2,40.4,13.7,62.9,73.1,49.8
Value,48.43,0.00,13.2,40.4,13.7,62.9,73.1,49.8
Ballista,114.52,-0.74,6.2,46.9,5.9,53.3,87.8,50.4
Value,114.52,0.00,6.2,46.9,5.9,53.3,87.8,50.4
King Crab,197.32,-0.55,6.2,50.3,6.5,52.3,87.2,50.2
Value,197.32,0.00,6.2,50.3,6.5,52.3,87.2,50.2
Crusader,434.51,-0.01,6.1,57.5,6.1,43.1,87.8,50.3
Value,434.51,0.00,6.1,57.5,6.1,43.1,87.8,50.3
Bomber,149.93,-0.14,6.1,57.3,6.1,44.4,87.8,50.3
Value,149.93,0.00,6.1,57.3,6.1,44.4,87.8,50.3
Shocker,246.62,-0.44,6.3,57.9,6.0,47.1,87.7,50.0
Value,246.62,0.00,6.3,57.9,6.0,47.1,87.7,50.0
Recall Shocker,85.59,-0.80,6.3,43.5,6.2,55.4,87.4,50.5
Value,85.59,0.00,6.3,43.5,6.2,55.4,87.4,50.5
Mortar,459.26,0.05,6.6,58.2,5.5,43.5,88.0,50.2
Value,459.26,0.00,6.6,58.2,5.5,43.5,88.0,50.2
Swift Shocker,103.77,-0.76,5.3,48.4,5.9,50.5,88.7,50.4
Value,103.77,0.00,5.3,48.4,5.9,50.5,88.7,50.4
Heavy Hunter,85.17,-0.81,4.2,40.9,5.1,57.1,90.7,50.4
Value,85.17,0.00,4.2,40.9,5.1,57.1,90.7,50.4
Destroyer,446.37,0.02,5.6,56.5,6.1,40.6,88.3,50.6
Value,446.37,0.00,5.6,56.5,6.1,40.6,88.3,50.6
Raider,-59.73,-1.14,6.1,43.2,6.4,61.4,87.4,50.0
Value,-59.73,0.00,6.1,43.2,6.4,61.4,87.4,50.0
Turret,76.07,-0.66,6.7,48.7,6.1,52.1,87.2,50.3
Value,76.07,0.00,6.7,48.7,6.1,52.1,87.2,50.3
Heavy Ballista,621.13,-0.29,7.7,55.5,7.3,51.0,85.0,49.8
Value,621.13,0.00,7.7,55.5,7.3,51.0,85.0,49.8
Predator,24.68,-0.94,7.7,38.5,7.8,63.2,84.6,50.2
Value,24.68,0.00,7.7,38.5,7.8,63.2,84.6,50.2
Sniper,496.82,0.14,7.6,57.6,7.7,44.0,84.6,50.3
Value,496.82,0.00,7.6,57.6,7.7,44.0,84.6,50.3
Advanced Blink,248.38,0.42,51.2,60.5,48.8,39.7,0.0,0.0
Value,248.38,0.00,51.2,60.5,48.8,39.7,0.0,0.0
Assaultbot,95.18,0.90,7.7,68.9,7.5,31.1,84.8,50.4
Value,95.18,0.00,7.7,68.9,7.5,31.1,84.8,50.4
Behemoth,353.12,0.41,8.5,58.6,7.5,40.3,83.9,50.4
Value,353.12,0.00,8.5,58.6,7.5,40.3,83.9,50.4
Gargantua,1245.21,0.42,7.6,62.9,7.7,38.4,84.7,50.3
Value,1245.21,0.00,7.6,62.9,7.7,38.4,84.7,50.3
Butterfly,53.72,-0.88,4.4,37.1,4.4,65.5,91.3,50.2
Value,53.72,0.00,4.4,37.1,4.4,65.5,91.3,50.2
Dragonfly,197.32,-0.55,4.4,40.0,4.7,53.2,90.9,50.7
Value,197.32,0.00,4.4,40.0,4.7,53.2,90.9,50.7
Falcon,464.53,0.06,4.1,56.3,5.0,46.1,91.0,50.3
Value,464.53,0.00,4.1,56.3,5.0,46.1,91.0,50.3
Airship,132.23,-0.70,4.3,39.8,3.8,60.0,91.9,50.4
Value,132.23,0.00,4.3,39.8,3.8,60.0,91.9,50.4
Advanced Recall,141.22,-0.19,4.1,44.7,4.6,53.0,91.3,50.4
Value,141.22,0.00,4.1,44.7,4.6,53.0,91.3,50.4
Mammoth,396.33,-0.09,5.0,45.7,4.2,49.7,90.8,50.6
Value,396.33,0.00,5.0,45.7,4.2,49.7,90.8,50.6
Stinger,97.48,-0.78,4.1,40.5,4.5,58.9,91.4,50.4
Value,97.48,0.00,4.1,40.5,4.5,58.9,91.4,50.4
Flak Turret,73.69,-0.84,4.4,42.4,3.7,58.4,91.9,50.4
Value,73.69,0.00,4.4,42.4,3.7,58.4,91.9,50.4
Bulwark,605.80,-0.31,3.9,44.2,3.9,47.2,92.2,50.7
Value,605.80,0.00,3.9,44.2,3.9,47.2,92.2,50.7
Katbus,988.23,0.13,4.0,47.8,3.8,46.6,92.2,50.6
Value,988.23,0.00,4.0,47.8,3.8,46.6,92.2,50.6
Locust,75.26,-0.57,4.2,38.9,3.6,53.3,92.3,50.7
Value,75.26,0.00,4.2,38.9,3.6,53.3,92.3,50.7
