Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-256.72,-256.72,,,,,,
Crab,84.54,-0.15,12.1,50.7,13.2,48.7,74.8,48.0
Value,84.54,0.00,12.1,50.7,13.2,48.7,74.8,48.0
Hunter,85.84,-0.38,13.2,47.0,13.3,50.7,73.5,48.3
Value,85.84,0.00,13.2,47.0,13.3,50.7,73.5,48.3
Recall,72.04,-0.28,14.0,48.2,12.8,44.4,73.2,49.2
Value,72.04,0.00,14.0,48.2,12.8,44.4,73.2,49.2
Recall Hunter,92.24,-0.33,13.2,48.9,13.1,42.2,73.7,49.4
Value,92.24,0.00,13.2,48.9,13.1,42.2,73.7,49.4
Scorpion,54.57,0.09,13.0,59.8,13.2,41.7,73.8,47.6
Value,54.57,0.00,13.0,59.8,13.2,41.7,73.8,47.6
Beetle,100.89,-0.27,13.0,53.9,12.7,44.8,74.3,48.1
Value,100.89,0.00,13.0,53.9,12.7,44.8,74.3,48.1
Blink,71.98,-0.28,12.7,52.1,13.3,45.0,74.0,48.4
Value,71.98,0.00,12.7,52.1,13.3,45.0,74.0,48.4
Blink Hunter,85.62,-0.38,13.6,46.1,13.2,48.9,73.2,48.8
Value,85.62,0.00,13.6,46.1,13.2,48.9,73.2,48.8
Gunbot,33.90,-0.32,13.0,51.5,13.5,48.0,73.5,48.0
Value,33.90,0.00,13.0,51.5,13.5,48.0,73.5,48.0
Missilebot,86.73,-0.37,12.6,50.3,13.5,46.9,73.9,48.4
Value,86.73,0.00,12.6,50.3,13.5,46.9,73.9,48.4
Wasp,15.00,-0.40,13.5,48.9,13.7,52.0,72.8,47.7
Value,15.00,0.00,13.5,48.9,13.7,52.0,72.8,47.7
Hornet,71.27,-0.48,14.5,47.1,14.0,51.4,71.4,48.1
Value,71.27,0.00,14.5,47.1,14.0,51.4,71.4,48.1
Knight,40.87,-0.80,12.8,41.1,13.2,52.2,74.0,49.0
Value,40.87,0.00,12.8,41.1,13.2,52.2,74.0,49.0
Crossbow,20.05,-0.94,13.4,39.0,13.2,60.0,73.5,48.1
Value,20.05,0.00,13.4,39.0,13.2,60.0,73.5,48.1
Ballista,49.97,-0.89,3.7,37.7,3.6,63.4,92.6,48.3
Value,49.97,0.00,3.7,37.7,3.6,63.4,92.6,48.3
King Crab,189.76,-0.57,3.3,43.1,3.9,46.4,92.8,48.7
Value,189.76,0.00,3.3,43.1,3.9,46.4,92.8,48.7
Crusader,315.36,-0.28,3.4,45.1,3.1,57.4,93.5,48.3
Value,315.36,0.00,3.4,45.1,3.1,57.4,93.5,48.3
Bomber,154.87,-0.12,3.3,48.1,4.2,38.2,92.4,48.9
Value,154.87,0.00,3.3,48.1,4.2,38.2,92.4,48.9
Shocker,131.02,-0.70,3.7,47.6,4.0,53.2,92.3,48.3
Value,131.02,0.00,3.7,47.6,4.0,53.2,92.3,48.3
Recall Shocker,110.54,-0.75,3.8,40.3,3.5,53.7,92.7,48.6
Value,110.54,0.00,3.8,40.3,3.5,53.7,92.7,48.6
Mortar,305.19,-0.30,3.4,49.6,3.6,50.0,93.0,48.3
Value,305.19,0.00,3.4,49.6,3.6,50.0,93.0,48.3
Swift Shocker,76.82,-0.82,3.8,40.1,3.3,57.8,93.0,48.4
Value,76.82,0.00,3.8,40.1,3.3,57.8,93.0,48.4
Heavy Hunter,236.49,-0.46,8.4,44.3,8.2,46.6,83.4,49.0
Value,236.49,0.00,8.4,44.3,8.2,46.6,83.4,49.0
Destroyer,298.70,-0.32,2.6,44.0,4.1,53.8,93.4,48.3
Value,298.70,0.00,2.6,44.0,4.1,53.8,93.4,48.3
Raider,-186.69,-1.43,3.8,32.0,3.8,69.6,92.5,48.2
Value,-186.69,0.00,3.8,32.0,3.8,69.6,92.5,48.2
