Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,480.37,480.37,,,,,,
Crab,170.59,0.71,16.9,76.9,15.6,58.3,67.5,50.0
Value,170.59,0.00,16.9,76.9,15.6,58.3,67.5,50.0
Hunter,113.06,-0.18,5.2,75.0,10.4,75.0,84.4,52.3
Value,113.06,0.00,5.2,75.0,10.4,75.0,84.4,52.3
Recall,182.27,0.82,10.4,62.5,15.6,58.3,74.0,54.4
Value,182.27,0.00,10.4,62.5,15.6,58.3,74.0,54.4
Recall Hunter,192.67,0.40,14.3,54.5,13.0,50.0,72.7,57.1
Value,192.67,0.00,14.3,54.5,13.0,50.0,72.7,57.1
Scorpion,81.73,0.63,20.8,62.5,14.3,45.5,64.9,56.0
Value,81.73,0.00,20.8,62.5,14.3,45.5,64.9,56.0
Beetle,127.53,-0.07,9.1,57.1,16.9,53.8,74.0,56.1
Value,127.53,0.00,9.1,57.1,16.9,53.8,74.0,56.1
Blink,138.78,0.39,13.0,60.0,10.4,75.0,76.6,52.5
Value,138.78,0.00,13.0,60.0,10.4,75.0,76.6,52.5
Blink Hunter,152.18,0.11,14.3,45.5,15.6,58.3,70.1,57.4
Value,152.18,0.00,14.3,45.5,15.6,58.3,70.1,57.4
Gunbot,89.22,0.78,11.7,33.3,10.4,50.0,77.9,60.0
Value,89.22,0.00,11.7,33.3,10.4,50.0,77.9,60.0
Missilebot,256.62,0.87,11.7,66.7,14.3,36.4,74.0,57.9
Value,256.62,0.00,11.7,66.7,14.3,36.4,74.0,57.9
Wasp,33.16,0.33,15.6,66.7,10.4,50.0,74.0,54.4
Value,33.16,0.00,15.6,66.7,10.4,50.0,74.0,54.4
Hornet,51.26,-0.63,13.0,30.0,10.4,62.5,76.6,59.3
Value,51.26,0.00,13.0,30.0,10.4,62.5,76.6,59.3
Knight,132.13,-0.34,9.1,42.9,15.6,66.7,75.3,55.2
Value,132.13,0.00,9.1,42.9,15.6,66.7,75.3,55.2
