Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,250.11,250.11,,,,,,
Crab,46.69,-0.53,12.7,55.8,12.8,53.0,74.5,51.7
Value,46.69,0.00,12.7,55.8,12.8,53.0,74.5,51.7
Hunter,26.93,-0.80,12.7,49.6,13.2,56.5,74.2,52.2
Value,26.93,0.00,12.7,49.6,13.2,56.5,74.2,52.2
Recall,38.74,-0.61,13.7,51.5,13.6,51.0,72.7,52.8
Value,38.74,0.00,13.7,51.5,13.6,51.0,72.7,52.8
Recall Hunter,52.11,-0.62,13.8,53.9,12.7,51.3,73.5,52.3
Value,52.11,0.00,13.8,53.9,12.7,51.3,73.5,52.3
Scorpion,42.75,-0.14,12.9,59.8,12.7,44.6,74.4,52.5
Value,42.75,0.00,12.9,59.8,12.7,44.6,74.4,52.5
Beetle,60.59,-0.56,13.6,57.1,13.1,50.9,73.4,51.8
Value,60.59,0.00,13.6,57.1,13.1,50.9,73.4,51.8
Blink,30.67,-0.69,14.0,46.2,13.0,50.7,73.0,53.9
Value,30.67,0.00,14.0,46.2,13.0,50.7,73.0,53.9
Blink Hunter,41.17,-0.70,13.2,50.2,12.8,52.2,74.0,52.8
Value,41.17,0.00,13.2,50.2,12.8,52.2,74.0,52.8
Gunbot,19.16,-0.62,12.8,55.8,13.4,56.2,73.8,51.1
Value,19.16,0.00,12.8,55.8,13.4,56.2,73.8,51.1
Missilebot,44.07,-0.68,13.9,52.1,13.7,51.8,72.4,52.6
Value,44.07,0.00,13.9,52.1,13.7,51.8,72.4,52.6
Wasp,12.41,-0.50,12.2,54.0,14.0,51.2,73.8,52.4
Value,12.41,0.00,12.2,54.0,14.0,51.2,73.8,52.4
Hornet,35.27,-0.74,12.7,50.6,13.3,57.3,74.1,51.8
Value,35.27,0.00,12.7,50.6,13.3,57.3,74.1,51.8
Knight,13.58,-0.93,13.8,47.8,13.2,55.5,73.0,52.7
Value,13.58,0.00,13.8,47.8,13.2,55.5,73.0,52.7
Crossbow,17.87,-0.95,12.8,47.1,12.7,60.2,74.5,52.0
Value,17.87,0.00,12.8,47.1,12.7,60.2,74.5,52.0
Ballista,130.92,-0.70,3.6,45.8,3.5,58.5,92.8,52.4
Value,130.92,0.00,3.6,45.8,3.5,58.5,92.8,52.4
King Crab,42.93,-0.90,3.5,40.8,4.0,63.4,92.4,52.4
Value,42.93,0.00,3.5,40.8,4.0,63.4,92.4,52.4
Crusader,308.27,-0.30,3.6,47.2,4.3,53.4,92.0,52.6
Value,308.27,0.00,3.6,47.2,4.3,53.4,92.0,52.6
Bomber,87.87,-0.50,3.9,46.2,3.3,53.4,92.8,52.6
Value,87.87,0.00,3.9,46.2,3.3,53.4,92.8,52.6
Shocker,178.30,-0.59,3.4,50.7,3.2,60.2,93.5,52.2
Value,178.30,0.00,3.4,50.7,3.2,60.2,93.5,52.2
Recall Shocker,40.66,-0.91,3.7,38.8,3.4,65.0,92.9,52.5
Value,40.66,0.00,3.7,38.8,3.4,65.0,92.9,52.5
Mortar,280.68,-0.36,3.6,54.5,3.4,55.9,93.0,52.2
Value,280.68,0.00,3.6,54.5,3.4,55.9,93.0,52.2
Swift Shocker,10.34,-0.98,3.5,34.1,3.5,62.4,93.0,52.7
Value,10.34,0.00,3.5,34.1,3.5,62.4,93.0,52.7
Heavy Hunter,100.59,-0.77,8.5,52.4,7.1,54.5,84.4,52.2
Value,100.59,0.00,8.5,52.4,7.1,54.5,84.4,52.2
Destroyer,94.66,-0.78,3.4,43.3,4.2,62.7,92.5,52.3
Value,94.66,0.00,3.4,43.3,4.2,62.7,92.5,52.3
Raider,-113.85,-1.26,3.2,40.2,3.7,66.7,93.2,52.3
Value,-113.85,0.00,3.2,40.2,3.7,66.7,93.2,52.3
Turret,31.02,-0.86,3.3,46.6,4.3,63.2,92.4,52.1
Value,31.02,0.00,3.3,46.6,4.3,63.2,92.4,52.1
Heavy Ballista,457.71,-0.48,4.5,48.9,4.5,56.7,91.0,52.4
Value,457.71,0.00,4.5,48.9,4.5,56.7,91.0,52.4
Predator,19.74,-0.95,3.7,33.6,4.8,57.3,91.5,52.9
Value,19.74,0.00,3.7,33.6,4.8,57.3,91.5,52.9
Sniper,333.60,-0.24,4.7,57.5,4.4,53.1,90.9,52.1
Value,333.60,0.00,4.7,57.5,4.4,53.1,90.9,52.1
Advanced Blink,177.81,0.02,4.7,57.5,4.5,44.0,90.8,52.6
Value,177.81,0.00,4.7,57.5,4.5,44.0,90.8,52.6
Assaultbot,68.54,0.37,4.4,58.3,4.7,45.2,90.9,52.5
Value,68.54,0.00,4.4,58.3,4.7,45.2,90.9,52.5
Behemoth,296.68,0.19,4.2,53.9,4.2,49.4,91.7,52.5
Value,296.68,0.00,4.2,53.9,4.2,49.4,91.7,52.5
Gargantua,1037.05,0.19,4.3,57.6,4.2,43.7,91.5,52.6
Value,1037.05,0.00,4.3,57.6,4.2,43.7,91.5,52.6
Butterfly,-50.14,-1.11,6.9,46.4,7.9,54.4,85.2,52.7
Value,-50.14,0.00,6.9,46.4,7.9,54.4,85.2,52.7
Dragonfly,136.20,-0.69,7.3,56.0,7.0,49.1,85.8,52.4
Value,136.20,0.00,7.3,56.0,7.0,49.1,85.8,52.4
Falcon,223.02,-0.49,7.4,56.6,7.6,43.5,85.0,52.8
Value,223.02,0.00,7.4,56.6,7.6,43.5,85.0,52.8
Airship,172.78,-0.61,7.5,54.3,7.0,46.0,85.5,52.7
Value,172.78,0.00,7.5,54.3,7.0,46.0,85.5,52.7
Advanced Recall,94.80,-0.46,7.7,52.9,6.9,51.1,85.4,52.5
Value,94.80,0.00,7.7,52.9,6.9,51.1,85.4,52.5
Mammoth,284.06,-0.35,6.8,52.2,7.4,46.5,85.8,52.9
Value,284.06,0.00,6.8,52.2,7.4,46.5,85.8,52.9
Stinger,20.17,-0.95,7.6,44.8,7.7,52.1,84.7,53.1
Value,20.17,0.00,7.6,44.8,7.7,52.1,84.7,53.1
Flak Turret,20.21,-0.96,8.1,51.4,7.4,56.1,84.5,52.2
Value,20.21,0.00,8.1,51.4,7.4,56.1,84.5,52.2
Bulwark,673.32,-0.23,7.0,64.8,7.1,41.8,85.9,52.3
Value,673.32,0.00,7.0,64.8,7.1,41.8,85.9,52.3
Katbus,630.98,-0.28,6.8,62.4,6.1,41.2,87.2,52.4
Value,630.98,0.00,6.8,62.4,6.1,41.2,87.2,52.4
Locust,44.17,-0.75,7.0,56.2,6.5,48.1,86.5,52.4
Value,44.17,0.00,7.0,56.2,6.5,48.1,86.5,52.4
Kraken,9820.91,-0.06,7.2,67.2,5.5,28.6,87.2,52.7
Value,9820.91,0.00,7.2,67.2,5.5,28.6,87.2,52.7
Valkyrie,309.29,-0.29,6.7,65.8,6.9,43.8,86.4,52.0
Value,309.29,0.00,6.7,65.8,6.9,43.8,86.4,52.0
Artillery,194.79,-0.55,6.4,56.6,7.0,52.2,86.7,52.1
Value,194.79,0.00,6.4,56.6,7.0,52.2,86.7,52.1
Advancedbot,71.16,0.42,50.4,67.7,49.6,36.8,0.0,0.0
Value,71.16,0.00,50.4,67.7,49.6,36.8,0.0,0.0
Advanced Destroyer,226.62,-0.48,6.2,56.8,7.0,48.0,86.7,52.4
Value,226.62,0.00,6.2,56.8,7.0,48.0,86.7,52.4
Skill,-0.04,-0.04,50.3,50.9,49.7,53.9,0.0,0.0
