Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-71.72,-71.72,,,,,,
Crab,41.94,-0.58,13.2,51.9,12.9,50.5,73.8,49.0
Value,41.94,0.00,13.2,51.9,12.9,50.5,73.8,49.0
Hunter,43.82,-0.68,13.8,49.6,13.3,49.0,72.9,49.6
Value,43.82,0.00,13.8,49.6,13.3,49.0,72.9,49.6
Recall,31.62,-0.68,13.1,48.7,13.2,50.7,73.8,49.5
Value,31.62,0.00,13.1,48.7,13.2,50.7,73.8,49.5
Recall Hunter,65.35,-0.52,13.0,54.4,13.6,44.0,73.4,49.7
Value,65.35,0.00,13.0,54.4,13.6,44.0,73.4,49.7
Scorpion,29.94,-0.40,13.4,55.3,13.5,46.0,73.1,49.2
Value,29.94,0.00,13.4,55.3,13.5,46.0,73.1,49.2
Beetle,74.81,-0.46,13.6,55.9,13.1,41.9,73.3,49.7
Value,74.81,0.00,13.6,55.9,13.1,41.9,73.3,49.7
Blink,28.03,-0.72,13.1,47.7,12.5,49.5,74.5,49.9
Value,28.03,0.00,13.1,47.7,12.5,49.5,74.5,49.9
Blink Hunter,65.20,-0.53,13.5,54.3,13.8,45.9,72.7,49.4
Value,65.20,0.00,13.5,54.3,13.8,45.9,72.7,49.4
Gunbot,11.09,-0.78,13.2,47.6,13.2,53.2,73.6,49.2
Value,11.09,0.00,13.2,47.6,13.2,53.2,73.6,49.2
Missilebot,59.95,-0.56,13.3,52.1,12.7,44.8,74.0,49.9
Value,59.95,0.00,13.3,52.1,12.7,44.8,74.0,49.9
Wasp,7.24,-0.71,13.5,47.7,13.0,52.5,73.5,49.4
Value,7.24,0.00,13.5,47.7,13.0,52.5,73.5,49.4
Hornet,44.12,-0.68,13.5,48.3,13.6,50.2,72.9,49.7
Value,44.12,0.00,13.5,48.3,13.6,50.2,72.9,49.7
Knight,-2.47,-1.01,12.8,38.5,13.4,58.0,73.8,50.0
Value,-2.47,0.00,12.8,38.5,13.4,58.0,73.8,50.0
Crossbow,-23.12,-1.07,13.0,42.3,13.4,57.6,73.7,49.4
Value,-23.12,0.00,13.0,42.3,13.4,57.6,73.7,49.4
Ballista,-22.66,-1.05,4.2,44.3,4.2,59.5,91.6,49.3
Value,-22.66,0.00,4.2,44.3,4.2,59.5,91.6,49.3
King Crab,145.78,-0.67,4.2,48.1,4.0,49.4,91.8,49.6
Value,145.78,0.00,4.2,48.1,4.0,49.4,91.8,49.6
Crusader,290.63,-0.34,4.0,51.7,4.1,49.4,91.8,49.5
Value,290.63,0.00,4.0,51.7,4.1,49.4,91.8,49.5
Bomber,90.12,-0.49,3.9,54.0,4.6,37.5,91.4,50.0
Value,90.12,0.00,3.9,54.0,4.6,37.5,91.4,50.0
Shocker,156.15,-0.64,4.6,47.3,4.1,53.3,91.4,49.5
Value,156.15,0.00,4.6,47.3,4.1,53.3,91.4,49.5
Recall Shocker,-68.85,-1.16,3.9,41.7,4.2,61.0,91.9,49.4
Value,-68.85,0.00,3.9,41.7,4.2,61.0,91.9,49.4
Mortar,218.68,-0.50,3.9,50.8,4.2,48.0,92.0,49.6
Value,218.68,0.00,3.9,50.8,4.2,48.0,92.0,49.6
Swift Shocker,-15.55,-1.04,4.0,41.7,4.4,58.0,91.6,49.5
Value,-15.55,0.00,4.0,41.7,4.4,58.0,91.6,49.5
Heavy Hunter,126.93,-0.71,6.6,49.9,6.9,48.6,86.5,49.6
Value,126.93,0.00,6.6,49.9,6.9,48.6,86.5,49.6
Destroyer,194.65,-0.56,4.0,44.3,4.0,51.1,92.1,49.7
Value,194.65,0.00,4.0,44.3,4.0,51.1,92.1,49.7
Raider,-234.99,-1.54,4.1,31.5,4.4,63.6,91.5,49.7
Value,-234.99,0.00,4.1,31.5,4.4,63.6,91.5,49.7
Turret,47.84,-0.79,4.5,48.2,4.1,50.9,91.4,49.6
Value,47.84,0.00,4.5,48.2,4.1,50.9,91.4,49.6
Heavy Ballista,159.96,-0.82,2.5,41.7,2.4,50.0,95.1,49.8
Value,159.96,0.00,2.5,41.7,2.4,50.0,95.1,49.8
Predator,-113.42,-1.26,2.4,37.1,2.3,59.4,95.3,49.6
Value,-113.42,0.00,2.4,37.1,2.3,59.4,95.3,49.6
Sniper,114.09,-0.74,2.2,49.2,2.8,53.8,94.9,49.4
Value,114.09,0.00,2.2,49.2,2.8,53.8,94.9,49.4
Advanced Blink,267.92,0.53,2.4,63.3,2.2,33.3,95.4,49.6
Value,267.92,0.00,2.4,63.3,2.2,33.3,95.4,49.6
Assaultbot,33.79,-0.32,2.7,53.8,2.4,47.4,94.9,49.5
Value,33.79,0.00,2.7,53.8,2.4,47.4,94.9,49.5
Behemoth,190.76,-0.24,2.3,55.1,2.3,47.9,95.4,49.5
Value,190.76,0.00,2.3,55.1,2.3,47.9,95.4,49.5
Gargantua,1184.02,0.35,2.6,62.0,2.3,31.9,95.1,49.6
Value,1184.02,0.00,2.6,62.0,2.3,31.9,95.1,49.6
Butterfly,-57.98,-1.13,7.0,42.1,6.2,56.3,86.8,49.7
Value,-57.98,0.00,7.0,42.1,6.2,56.3,86.8,49.7
Dragonfly,48.88,-0.89,7.0,46.8,7.2,53.9,85.8,49.4
Value,48.88,0.00,7.0,46.8,7.2,53.9,85.8,49.4
Falcon,180.53,-0.59,7.1,52.8,6.6,46.0,86.3,49.6
Value,180.53,0.00,7.1,52.8,6.6,46.0,86.3,49.6
Airship,137.07,-0.69,50.9,52.3,49.1,46.7,0.0,0.0
Value,137.07,0.00,50.9,52.3,49.1,46.7,0.0,0.0
Advanced Recall,98.01,-0.44,6.5,51.5,6.5,44.0,87.0,49.8
Value,98.01,0.00,6.5,51.5,6.5,44.0,87.0,49.8
Mammoth,311.55,-0.29,6.5,54.8,6.6,41.6,87.0,49.8
Value,311.55,0.00,6.5,54.8,6.6,41.6,87.0,49.8
Stinger,-51.65,-1.12,6.9,40.2,7.0,60.4,86.0,49.4
Value,-51.65,0.00,6.9,40.2,7.0,60.4,86.0,49.4
Flak Turret,29.77,-0.93,6.6,46.7,6.5,48.0,86.9,49.9
Value,29.77,0.00,6.6,46.7,6.5,48.0,86.9,49.9
Bulwark,345.91,-0.60,3.8,49.2,3.6,44.6,92.6,49.8
Value,345.91,0.00,3.8,49.2,3.6,44.6,92.6,49.8
Katbus,670.63,-0.23,3.8,53.9,3.4,41.1,92.8,49.7
Value,670.63,0.00,3.8,53.9,3.4,41.1,92.8,49.7
Locust,50.59,-0.71,3.1,51.6,3.4,47.1,93.5,49.6
