Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,49.75,49.75,,,,,,
Crab,73.07,-0.27,12.3,52.3,13.0,48.4,74.7,50.3
Value,73.07,0.00,12.3,52.3,13.0,48.4,74.7,50.3
Hunter,52.41,-0.62,13.0,52.0,13.0,50.7,73.9,49.9
Value,52.41,0.00,13.0,52.0,13.0,50.7,73.9,49.9
Recall,53.39,-0.47,13.9,47.1,12.3,47.8,73.8,51.3
Value,53.39,0.00,13.9,47.1,12.3,47.8,73.8,51.3
Recall Hunter,66.26,-0.52,13.9,53.5,13.1,48.3,73.0,50.0
Value,66.26,0.00,13.9,53.5,13.1,48.3,73.0,50.0
Scorpion,48.36,-0.03,12.3,56.4,13.3,43.1,74.4,50.6
Value,48.36,0.00,12.3,56.4,13.3,43.1,74.4,50.6
Beetle,70.57,-0.49,13.5,57.8,13.5,49.3,73.0,49.1
Value,70.57,0.00,13.5,57.8,13.5,49.3,73.0,49.1
Blink,41.15,-0.59,13.7,47.0,12.7,52.7,73.6,50.5
Value,41.15,0.00,13.7,47.0,12.7,52.7,73.6,50.5
Blink Hunter,63.12,-0.54,13.0,50.9,13.4,50.6,73.6,50.1
Value,63.12,0.00,13.0,50.9,13.4,50.6,73.6,50.1
Gunbot,24.46,-0.51,13.3,47.6,14.4,51.3,72.3,50.6
Value,24.46,0.00,13.3,47.6,14.4,51.3,72.3,50.6
Missilebot,74.47,-0.46,13.9,53.1,13.5,47.4,72.6,50.3
Value,74.47,0.00,13.9,53.1,13.5,47.4,72.6,50.3
Wasp,14.44,-0.42,13.1,48.1,13.1,48.5,73.8,51.0
Value,14.44,0.00,13.1,48.1,13.1,48.5,73.8,51.0
Hornet,48.66,-0.65,14.1,48.1,13.6,55.0,72.3,49.8
Value,48.66,0.00,14.1,48.1,13.6,55.0,72.3,49.8
Knight,48.24,-0.76,12.3,43.8,13.7,52.2,73.9,51.0
Value,48.24,0.00,12.3,43.8,13.7,52.2,73.9,51.0
Crossbow,21.10,-0.94,13.0,45.2,12.8,56.9,74.2,50.0
Value,21.10,0.00,13.0,45.2,12.8,56.9,74.2,50.0
Ballista,-19.41,-1.04,3.2,45.1,4.1,56.7,92.8,50.2
Value,-19.41,0.00,3.2,45.1,4.1,56.7,92.8,50.2
King Crab,42.54,-0.90,3.2,43.4,3.5,56.7,93.4,50.3
Value,42.54,0.00,3.2,43.4,3.5,56.7,93.4,50.3
Crusader,228.96,-0.48,3.4,51.1,3.8,50.0,92.8,50.3
Value,228.96,0.00,3.4,51.1,3.8,50.0,92.8,50.3
Bomber,97.32,-0.44,3.8,51.7,3.2,47.2,93.0,50.3
Value,97.32,0.00,3.8,51.7,3.2,47.2,93.0,50.3
Shocker,48.91,-0.89,3.8,44.2,3.8,56.8,92.4,50.3
Value,48.91,0.00,3.8,44.2,3.8,56.8,92.4,50.3
Recall Shocker,-114.54,-1.26,3.9,38.8,3.8,62.1,92.3,50.3
Value,-114.54,0.00,3.9,38.8,3.8,62.1,92.3,50.3
Mortar,102.04,-0.77,3.6,49.6,3.9,52.0,92.4,50.2
Value,102.04,0.00,3.6,49.6,3.9,52.0,92.4,50.2
Swift Shocker,40.34,-0.91,3.5,35.1,3.4,52.6,93.1,50.8
Value,40.34,0.00,3.5,35.1,3.4,52.6,93.1,50.8
Heavy Hunter,153.94,-0.65,7.3,49.5,7.3,53.4,85.5,50.1
Value,153.94,0.00,7.3,49.5,7.3,53.4,85.5,50.1
Destroyer,157.99,-0.64,3.4,47.0,3.4,47.7,93.2,50.5
Value,157.99,0.00,3.4,47.0,3.4,47.7,93.2,50.5
Raider,-234.22,-1.54,3.8,35.9,4.1,59.4,92.1,50.5
Value,-234.22,0.00,3.8,35.9,4.1,59.4,92.1,50.5
Turret,-17.06,-1.08,3.1,29.4,4.0,60.4,92.9,50.5
Value,-17.06,0.00,3.1,29.4,4.0,60.4,92.9,50.5
Heavy Ballista,379.56,-0.57,4.1,45.0,4.4,51.5,91.4,50.5
Value,379.56,0.00,4.1,45.0,4.4,51.5,91.4,50.5
Predator,-17.08,-1.04,4.1,36.3,3.6,56.8,92.3,50.6
Value,-17.08,0.00,4.1,36.3,3.6,56.8,92.3,50.6
Sniper,323.39,-0.26,3.9,45.7,4.3,49.1,91.8,50.5
Value,323.39,0.00,3.9,45.7,4.3,49.1,91.8,50.5
Advanced Blink,229.39,0.31,5.1,57.9,4.5,36.0,90.5,50.6
Value,229.39,0.00,5.1,57.9,4.5,36.0,90.5,50.6
Assaultbot,71.59,0.43,4.1,61.3,4.4,46.2,91.5,50.0
Value,71.59,0.00,4.1,61.3,4.4,46.2,91.5,50.0
Behemoth,350.04,0.40,4.4,50.3,4.5,35.8,91.1,51.0
Value,350.04,0.00,4.4,50.3,4.5,35.8,91.1,51.0
Gargantua,1021.14,0.17,3.9,58.9,4.0,34.4,92.1,50.6
Value,1021.14,0.00,3.9,58.9,4.0,34.4,92.1,50.6
Butterfly,7.25,-0.98,7.4,47.0,7.5,56.7,85.1,50.0
Value,7.25,0.00,7.4,47.0,7.5,56.7,85.1,50.0
Dragonfly,256.17,-0.41,8.3,50.8,7.4,43.5,84.3,50.8
Value,256.17,0.00,8.3,50.8,7.4,43.5,84.3,50.8
Falcon,264.72,-0.39,7.7,52.2,7.8,42.3,84.5,50.8
Value,264.72,0.00,7.7,52.2,7.8,42.3,84.5,50.8
Airship,216.25,-0.51,7.4,49.5,7.1,45.5,85.5,50.8
Value,216.25,0.00,7.4,49.5,7.1,45.5,85.5,50.8
Advanced Recall,86.81,-0.50,6.6,45.1,7.2,49.1,86.2,50.8
Value,86.81,0.00,6.6,45.1,7.2,49.1,86.2,50.8
Mammoth,339.05,-0.23,7.5,54.3,6.9,41.5,85.7,50.6
Value,339.05,0.00,7.5,54.3,6.9,41.5,85.7,50.6
Stinger,-31.44,-1.07,8.1,38.9,8.1,58.1,83.8,50.6
Value,-31.44,0.00,8.1,38.9,8.1,58.1,83.8,50.6
Flak Turret,54.17,-0.88,7.5,47.9,8.2,52.1,84.3,50.3
Value,54.17,0.00,7.5,47.9,8.2,52.1,84.3,50.3
Bulwark,669.07,-0.24,6.7,53.8,6.7,43.6,86.6,50.5
Value,669.07,0.00,6.7,53.8,6.7,43.6,86.6,50.5
Katbus,759.55,-0.13,6.8,58.0,6.3,46.3,87.0,50.0
Value,759.55,0.00,6.8,58.0,6.3,46.3,87.0,50.0
Locust,92.76,-0.47,6.5,52.6,6.2,51.2,87.2,50.0
Value,92.76,0.00,6.5,52.6,6.2,51.2,87.2,50.0
Kraken,11830.44,0.13,6.3,74.6,6.2,20.3,87.4,50.7
Value,11830.44,0.00,6.3,74.6,6.2,20.3,87.4,50.7
Valkyrie,361.69,-0.17,6.4,57.7,6.7,47.3,86.9,50.0
Value,361.69,0.00,6.4,57.7,6.7,47.3,86.9,50.0
Artillery,160.40,-0.63,51.2,49.4,48.8,51.2,0.0,0.0
Value,160.40,0.00,51.2,49.4,48.8,51.2,0.0,0.0
Advancedbot,75.03,0.50,6.8,66.9,7.0,42.1,86.2,49.6
Value,75.03,0.00,6.8,66.9,7.0,42.1,86.2,49.6
Advanced Destroyer,317.39,-0.27,6.8,48.9,6.3,53.5,86.9,50.2
Value,317.39,0.00,6.8,48.9,6.3,53.5,86.9,50.2
Skill,-0.01,-0.01,49.8,49.9,50.2,50.7,0.0,0.0
