Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-363.40,-363.40,,,,,,
Crab,-20.39,-1.20,7.8,25.0,11.8,83.3,80.4,58.5
Value,-20.39,0.00,7.8,25.0,11.8,83.3,80.4,58.5
Hunter,266.32,0.94,19.6,30.0,17.6,77.8,62.7,62.5
Value,266.32,0.00,19.6,30.0,17.6,77.8,62.7,62.5
Recall,135.57,0.36,15.7,62.5,13.7,57.1,70.6,58.3
Value,135.57,0.00,15.7,62.5,13.7,57.1,70.6,58.3
Recall Hunter,-156.19,-2.14,13.7,57.1,7.8,25.0,78.4,62.5
Value,-156.19,0.00,13.7,57.1,7.8,25.0,78.4,62.5
Scorpion,73.93,0.48,15.7,75.0,7.8,25.0,76.5,59.0
Value,73.93,0.00,15.7,75.0,7.8,25.0,76.5,59.0
Beetle,-124.53,-1.91,15.7,62.5,23.5,33.3,60.8,67.7
Value,-124.53,0.00,15.7,62.5,23.5,33.3,60.8,67.7
Blink,139.32,0.39,5.9,100.0,13.7,57.1,80.4,56.1
Value,139.32,0.00,5.9,100.0,13.7,57.1,80.4,56.1
Blink Hunter,229.52,0.67,13.7,57.1,13.7,57.1,72.5,59.5
Value,229.52,0.00,13.7,57.1,13.7,57.1,72.5,59.5
Gunbot,101.47,1.03,11.8,50.0,13.7,42.9,74.5,63.2
Value,101.47,0.00,11.8,50.0,13.7,42.9,74.5,63.2
Missilebot,238.84,0.74,7.8,25.0,15.7,50.0,76.5,64.1
Value,238.84,0.00,7.8,25.0,15.7,50.0,76.5,64.1
Wasp,7.23,-0.71,17.6,77.8,15.7,62.5,66.7,52.9
Value,7.23,0.00,17.6,77.8,15.7,62.5,66.7,52.9
Hornet,92.51,-0.33,9.8,60.0,13.7,85.7,76.5,53.8
Value,92.51,0.00,9.8,60.0,13.7,85.7,76.5,53.8
Knight,-353.09,-2.77,11.8,33.3,11.8,83.3,76.5,59.0
Value,-353.09,0.00,11.8,33.3,11.8,83.3,76.5,59.0
Crossbow,482.60,0.38,17.6,77.8,7.8,75.0,74.5,52.6
Value,482.60,0.00,17.6,77.8,7.8,75.0,74.5,52.6
Ballista,10.12,-0.98,13.7,57.1,2.0,100.0,84.3,58.1
Value,10.12,0.00,13.7,57.1,2.0,100.0,84.3,58.1
King Crab,1029.83,1.35,7.8,0.0,3.9,50.0,88.2,64.4
Value,1029.83,0.00,7.8,0.0,3.9,50.0,88.2,64.4
Crusader,974.15,1.23,9.8,40.0,2.0,0.0,88.2,62.2
Value,974.15,0.00,9.8,40.0,2.0,0.0,88.2,62.2
Bomber,434.02,1.48,9.8,60.0,5.9,33.3,84.3,60.5
Value,434.02,0.00,9.8,60.0,5.9,33.3,84.3,60.5
Shocker,26.72,-0.94,7.8,50.0,11.8,50.0,80.4,61.0
Value,26.72,0.00,7.8,50.0,11.8,50.0,80.4,61.0
Recall Shocker,-240.96,-1.55,3.9,50.0,3.9,50.0,92.2,59.6
Value,-240.96,0.00,3.9,50.0,3.9,50.0,92.2,59.6
Mortar,1522.11,2.48,5.9,66.7,3.9,0.0,90.2,60.9
Value,1522.11,0.00,5.9,66.7,3.9,0.0,90.2,60.9
Swift Shocker,-4.39,-1.01,5.9,33.3,5.9,66.7,88.2,60.0
Value,-4.39,0.00,5.9,33.3,5.9,66.7,88.2,60.0
Heavy Hunter,-1443.22,-4.30,5.9,66.7,3.9,50.0,90.2,58.7
Value,-1443.22,0.00,5.9,66.7,3.9,50.0,90.2,58.7
Destroyer,265.65,-0.39,3.9,50.0,9.8,40.0,86.3,61.4
Value,265.65,0.00,3.9,50.0,9.8,40.0,86.3,61.4
Raider,713.22,0.63,13.7,57.1,5.9,100.0,80.4,56.1
Value,713.22,0.00,13.7,57.1,5.9,100.0,80.4,56.1
Turret,667.69,1.97,7.8,50.0,5.9,66.7,86.3,59.1
Value,667.69,0.00,7.8,50.0,5.9,66.7,86.3,59.1
Heavy Ballista,1667.89,0.91,13.7,57.1,5.9,100.0,80.4,56.1
Value,1667.89,0.00,13.7,57.1,5.9,100.0,80.4,56.1
Predator,1684.72,2.85,9.8,40.0,7.8,50.0,82.4,61.9
Value,1684.72,0.00,9.8,40.0,7.8,50.0,82.4,61.9
Sniper,165.38,-0.62,2.0,100.0,9.8,20.0,88.2,62.2
Value,165.38,0.00,2.0,100.0,9.8,20.0,88.2,62.2
Advanced Blink,577.73,2.30,11.8,83.3,2.0,0.0,86.3,56.8
Value,577.73,0.00,11.8,83.3,2.0,0.0,86.3,56.8
Assaultbot,136.44,1.73,62.7,65.6,37.3,47.4,0.0,0.0
Value,136.44,0.00,62.7,65.6,37.3,47.4,0.0,0.0
Behemoth,-3.11,-1.01,3.9,50.0,3.9,50.0,92.2,59.6
Value,-3.11,0.00,3.9,50.0,3.9,50.0,92.2,59.6
Gargantua,1299.06,0.48,5.9,100.0,9.8,60.0,84.3,55.8
Value,1299.06,0.00,5.9,100.0,9.8,60.0,84.3,55.8
Butterfly,2036.58,3.66,7.8,100.0,3.9,50.0,88.2,55.6
Value,2036.58,0.00,7.8,100.0,3.9,50.0,88.2,55.6
Dragonfly,1293.23,1.96,0.0,0.0,5.9,0.0,94.1,62.5
Value,1293.23,0.00,0.0,0.0,5.9,0.0,94.1,62.5
Falcon,1714.56,2.92,5.9,66.7,5.9,33.3,88.2,60.0
Value,1714.56,0.00,5.9,66.7,5.9,33.3,88.2,60.0
Airship,659.20,0.51,5.9,66.7,5.9,66.7,88.2,57.8
Value,659.20,0.00,5.9,66.7,5.9,66.7,88.2,57.8
Advanced Recall,311.71,0.78,5.9,66.7,3.9,0.0,90.2,60.9
Value,311.71,0.00,5.9,66.7,3.9,0.0,90.2,60.9
Mammoth,-1183.94,-3.71,2.0,0.0,0.0,0.0,98.0,60.0
Value,-1183.94,0.00,2.0,0.0,0.0,0.0,98.0,60.0
Stinger,1124.92,1.57,0.0,0.0,5.9,66.7,94.1,58.3
Value,1124.92,0.00,0.0,0.0,5.9,66.7,94.1,58.3
Flak Turret,-985.28,-3.19,2.0,0.0,3.9,50.0,94.1,60.4
Value,-985.28,0.00,2.0,0.0,3.9,50.0,94.1,60.4
Bulwark,5453.94,5.23,3.9,100.0,3.9,0.0,92.2,59.6
Value,5453.94,0.00,3.9,100.0,3.9,0.0,92.2,59.6
Katbus,7568.14,7.65,3.9,50.0,2.0,0.0,94.1,60.4
Value,7568.14,0.00,3.9,50.0,2.0,0.0,94.1,60.4
Locust,211.20,0.21,7.8,75.0,5.9,66.7,86.3,56.8
Value,211.20,0.00,7.8,75.0,5.9,66.7,86.3,56.8
Kraken,34831.62,2.32,2.0,100.0,2.0,0.0,96.1,59.2
Value,34831.62,0.00,2.0,100.0,2.0,0.0,96.1,59.2
Valkyrie,1518.02,2.47,5.9,33.3,7.8,75.0,86.3,59.1
Value,1518.02,0.00,5.9,33.3,7.8,75.0,86.3,59.1
Artillery,-696.08,-2.59,3.9,0.0,11.8,100.0,84.3,55.8
Value,-696.08,0.00,3.9,0.0,11.8,100.0,84.3,55.8
Advancedbot,-79.38,-2.59,5.9,66.7,2.0,100.0,92.2,57.4
Value,-79.38,0.00,5.9,66.7,2.0,100.0,92.2,57.4
