Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,125.47,125.47,,,,,,
Crab,39.84,-0.60,13.8,57.5,12.8,48.9,73.4,50.4
Value,39.84,0.00,13.8,57.5,12.8,48.9,73.4,50.4
Hunter,4.48,-0.97,13.0,48.1,13.7,56.1,73.3,50.8
Value,4.48,0.00,13.0,48.1,13.7,56.1,73.3,50.8
Recall,37.73,-0.62,13.1,52.9,14.0,44.9,72.9,52.1
Value,37.73,0.00,13.1,52.9,14.0,44.9,72.9,52.1
Recall Hunter,24.58,-0.82,13.0,55.3,13.9,49.7,73.1,50.7
Value,24.58,0.00,13.0,55.3,13.9,49.7,73.1,50.7
Scorpion,24.67,-0.51,13.0,55.9,13.8,44.1,73.2,51.7
Value,24.67,0.00,13.0,55.9,13.8,44.1,73.2,51.7
Beetle,28.93,-0.79,13.7,51.3,13.2,51.6,73.1,51.1
Value,28.93,0.00,13.7,51.3,13.2,51.6,73.1,51.1
Blink,30.26,-0.70,13.6,51.8,13.0,50.4,73.4,51.2
Value,30.26,0.00,13.6,51.8,13.0,50.4,73.4,51.2
Blink Hunter,13.99,-0.90,13.4,50.0,12.4,52.1,74.2,51.2
Value,13.99,0.00,13.4,50.0,12.4,52.1,74.2,51.2
Gunbot,20.79,-0.58,13.2,59.1,13.1,44.3,73.7,51.0
Value,20.79,0.00,13.2,59.1,13.1,44.3,73.7,51.0
Missilebot,26.40,-0.81,12.9,51.5,12.8,50.1,74.4,51.3
Value,26.40,0.00,12.9,51.5,12.8,50.1,74.4,51.3
Wasp,6.67,-0.73,13.1,49.2,13.2,53.3,73.7,51.2
Value,6.67,0.00,13.1,49.2,13.2,53.3,73.7,51.2
Hornet,0.42,-1.00,13.2,44.2,12.3,55.5,74.5,51.7
Value,0.42,0.00,13.2,44.2,12.3,55.5,74.5,51.7
Knight,20.39,-0.90,12.8,50.2,13.3,50.5,73.9,51.5
Value,20.39,0.00,12.8,50.2,13.3,50.5,73.9,51.5
Crossbow,-86.78,-1.25,13.3,41.4,14.1,61.0,72.6,51.1
Value,-86.78,0.00,13.3,41.4,14.1,61.0,72.6,51.1
Ballista,-6.20,-1.01,49.3,43.4,50.7,58.7,0.0,0.0
Value,-6.20,0.00,49.3,43.4,50.7,58.7,0.0,0.0
King Crab,23.55,-0.95,5.8,44.2,5.4,53.9,88.8,51.5
Value,23.55,0.00,5.8,44.2,5.4,53.9,88.8,51.5
Crusader,274.70,-0.37,5.4,57.6,5.8,45.5,88.8,51.2
Value,274.70,0.00,5.4,57.6,5.8,45.5,88.8,51.2
Bomber,61.11,-0.65,5.6,53.5,5.5,43.5,88.9,51.5
Value,61.11,0.00,5.6,53.5,5.5,43.5,88.9,51.5
Shocker,63.35,-0.86,5.8,51.9,5.4,58.4,88.7,50.7
Value,63.35,0.00,5.8,51.9,5.4,58.4,88.7,50.7
Recall Shocker,-11.79,-1.03,5.3,44.6,5.1,54.1,89.5,51.4
Value,-11.79,0.00,5.3,44.6,5.1,54.1,89.5,51.4
Mortar,173.81,-0.60,5.4,52.3,5.6,50.1,88.9,51.2
Value,173.81,0.00,5.4,52.3,5.6,50.1,88.9,51.2
Swift Shocker,-32.39,-1.07,5.5,43.2,5.4,63.0,89.1,51.0
Value,-32.39,0.00,5.5,43.2,5.4,63.0,89.1,51.0
Heavy Hunter,-41.25,-1.09,4.8,42.1,5.6,50.5,89.6,51.7
Value,-41.25,0.00,4.8,42.1,5.6,50.5,89.6,51.7
Destroyer,126.72,-0.71,5.3,47.5,6.1,50.0,88.6,51.5
Value,126.72,0.00,5.3,47.5,6.1,50.0,88.6,51.5
Raider,-313.26,-1.72,5.4,32.9,5.1,69.7,89.5,51.2
Value,-313.26,0.00,5.4,32.9,5.1,69.7,89.5,51.2
Turret,9.76,-0.96,5.5,51.3,5.4,56.1,89.1,50.9
Value,9.76,0.00,5.5,51.3,5.4,56.1,89.1,50.9
Heavy Ballista,302.03,-0.65,4.1,52.0,4.1,52.0,91.8,51.1
Value,302.03,0.00,4.1,52.0,4.1,52.0,91.8,51.1
Predator,-74.47,-1.17,4.4,40.1,3.7,58.3,92.0,51.4
Value,-74.47,0.00,4.4,40.1,3.7,58.3,92.0,51.4
Sniper,380.53,-0.13,3.7,55.3,4.2,45.3,92.1,51.3
Value,380.53,0.00,3.7,55.3,4.2,45.3,92.1,51.3
Advanced Blink,169.89,-0.03,4.3,64.5,4.0,34.1,91.7,51.3
Value,169.89,0.00,4.3,64.5,4.0,34.1,91.7,51.3
Assaultbot,57.41,0.15,4.0,59.0,4.0,40.7,92.1,51.3
Value,57.41,0.00,4.0,59.0,4.0,40.7,92.1,51.3
Behemoth,315.93,0.26,3.8,65.4,4.0,40.4,92.3,51.1
