Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-16.69,-16.69,,,,,,
Crab,88.73,-0.11,10.6,59.1,10.5,40.0,78.8,50.0
Value,88.73,0.00,10.6,59.1,10.5,40.0,78.8,50.0
Hunter,47.22,-0.66,10.8,43.1,10.7,56.6,78.4,49.9
Value,47.22,0.00,10.8,43.1,10.7,56.6,78.4,49.9
Recall,80.02,-0.20,10.5,59.9,10.6,40.2,78.8,49.9
Value,80.02,0.00,10.5,59.9,10.6,40.2,78.8,49.9
Recall Hunter,71.96,-0.48,10.6,48.0,10.5,51.2,78.9,50.0
Value,71.96,0.00,10.6,48.0,10.5,51.2,78.9,50.0
Scorpion,50.83,0.02,10.7,63.5,10.5,35.0,78.8,50.1
Value,50.83,0.00,10.7,63.5,10.5,35.0,78.8,50.1
Beetle,77.29,-0.44,50.1,49.1,49.9,50.7,0.0,0.0
Value,77.29,0.00,50.1,49.1,49.9,50.7,0.0,0.0
Blink,76.42,-0.24,10.8,56.6,10.7,42.7,78.6,50.0
Value,76.42,0.00,10.8,56.6,10.7,42.7,78.6,50.0
Blink Hunter,66.14,-0.52,10.5,45.3,10.6,53.7,78.9,50.0
Value,66.14,0.00,10.5,45.3,10.6,53.7,78.9,50.0
Gunbot,36.95,-0.26,10.5,59.9,10.9,40.4,78.5,49.9
Value,36.95,0.00,10.5,59.9,10.9,40.4,78.5,49.9
Missilebot,71.21,-0.48,10.9,48.9,10.9,51.7,78.2,49.8
Value,71.21,0.00,10.9,48.9,10.9,51.7,78.2,49.8
Wasp,20.55,-0.18,10.7,54.3,10.5,44.0,78.8,50.1
Value,20.55,0.00,10.7,54.3,10.5,44.0,78.8,50.1
Hornet,50.39,-0.63,10.7,40.8,10.4,60.7,78.9,49.7
Value,50.39,0.00,10.7,40.8,10.4,60.7,78.9,49.7
Knight,58.40,-0.71,10.3,48.3,10.9,51.8,78.8,49.9
Value,58.40,0.00,10.3,48.3,10.9,51.8,78.8,49.9
Crossbow,-23.25,-1.07,10.6,29.1,10.8,72.2,78.6,49.6
Value,-23.25,0.00,10.6,29.1,10.8,72.2,78.6,49.6
Ballista,125.16,-0.71,3.6,44.6,3.4,58.6,93.0,49.8
Value,125.16,0.00,3.6,44.6,3.4,58.6,93.0,49.8
King Crab,150.62,-0.66,3.4,43.9,3.4,53.9,93.2,50.0
Value,150.62,0.00,3.4,43.9,3.4,53.9,93.2,50.0
Crusader,356.60,-0.18,3.4,49.8,3.5,48.4,93.1,50.0
Value,356.60,0.00,3.4,49.8,3.5,48.4,93.1,50.0
Bomber,130.77,-0.25,3.4,58.8,3.5,43.8,93.1,49.8
Value,130.77,0.00,3.4,58.8,3.5,43.8,93.1,49.8
Shocker,232.47,-0.47,3.6,49.5,3.4,53.0,93.0,49.8
Value,232.47,0.00,3.6,49.5,3.4,53.0,93.0,49.8
