Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,40.80,40.80,,,,,,
Crab,63.36,-0.37,13.7,53.5,12.2,42.8,74.1,51.4
Value,63.36,0.00,13.7,53.5,12.2,42.8,74.1,51.4
Hunter,42.61,-0.69,14.4,45.6,12.9,55.6,72.7,50.8
Value,42.61,0.00,14.4,45.6,12.9,55.6,72.7,50.8
Recall,50.19,-0.50,13.0,52.7,13.3,48.8,73.7,50.6
Value,50.19,0.00,13.0,52.7,13.3,48.8,73.7,50.6
Recall Hunter,60.05,-0.56,13.1,52.3,13.5,50.2,73.5,50.4
Value,60.05,0.00,13.1,52.3,13.5,50.2,73.5,50.4
Scorpion,37.64,-0.25,13.8,53.8,12.0,43.4,74.2,51.2
Value,37.64,0.00,13.8,53.8,12.0,43.4,74.2,51.2
Beetle,57.74,-0.58,12.6,51.5,13.4,52.2,74.0,50.2
Value,57.74,0.00,12.6,51.5,13.4,52.2,74.0,50.2
Blink,42.35,-0.58,13.5,49.8,12.8,50.4,73.7,50.8
Value,42.35,0.00,13.5,49.8,12.8,50.4,73.7,50.8
Blink Hunter,54.27,-0.61,12.5,51.6,13.1,50.0,74.4,50.6
Value,54.27,0.00,12.5,51.6,13.1,50.0,74.4,50.6
Gunbot,31.00,-0.38,13.4,54.1,13.0,47.7,73.7,50.5
Value,31.00,0.00,13.4,54.1,13.0,47.7,73.7,50.5
Missilebot,40.89,-0.70,13.0,50.4,13.3,51.7,73.7,50.5
Value,40.89,0.00,13.0,50.4,13.3,51.7,73.7,50.5
Wasp,12.52,-0.50,12.5,51.7,14.5,47.9,72.9,51.0
Value,12.52,0.00,12.5,51.7,14.5,47.9,72.9,51.0
Hornet,22.20,-0.84,13.8,46.3,12.9,58.3,73.3,50.1
Value,22.20,0.00,13.8,46.3,12.9,58.3,73.3,50.1
Knight,38.86,-0.81,12.9,46.7,14.4,52.1,72.7,51.1
Value,38.86,0.00,12.9,46.7,14.4,52.1,72.7,51.1
Crossbow,17.58,-0.95,12.7,46.3,13.2,56.4,74.1,50.4
Value,17.58,0.00,12.7,46.3,13.2,56.4,74.1,50.4
Ballista,71.72,-0.84,5.8,49.6,5.8,55.5,88.4,50.4
Value,71.72,0.00,5.8,49.6,5.8,55.5,88.4,50.4
King Crab,133.31,-0.70,6.1,41.3,6.3,51.2,87.6,51.2
Value,133.31,0.00,6.1,41.3,6.3,51.2,87.6,51.2
Crusader,335.63,-0.23,5.8,53.6,5.8,51.3,88.4,50.4
Value,335.63,0.00,5.8,53.6,5.8,51.3,88.4,50.4
Bomber,94.48,-0.46,6.6,52.5,5.5,47.4,87.9,50.7
Value,94.48,0.00,6.6,52.5,5.5,47.4,87.9,50.7
Shocker,185.15,-0.58,7.1,54.0,5.7,53.6,87.2,50.2
Value,185.15,0.00,7.1,54.0,5.7,53.6,87.2,50.2
Recall Shocker,-6.47,-1.01,5.8,42.5,6.2,58.1,87.9,50.6
