Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-582.93,-582.93,,,,,,
Crab,42.35,-0.58,10.3,66.7,7.7,45.0,82.0,46.7
Value,42.35,0.00,10.3,66.7,7.7,45.0,82.0,46.7
Hunter,6.25,-0.95,10.0,46.2,10.3,48.1,79.7,49.0
Value,6.25,0.00,10.0,46.2,10.3,48.1,79.7,49.0
Recall,34.48,-0.66,12.3,56.2,8.4,27.3,79.3,49.8
Value,34.48,0.00,12.3,56.2,8.4,27.3,79.3,49.8
Recall Hunter,30.83,-0.78,10.0,53.8,11.5,53.3,78.5,47.3
Value,30.83,0.00,10.0,53.8,11.5,53.3,78.5,47.3
Scorpion,23.24,-0.54,10.3,70.4,10.7,46.4,78.9,46.1
Value,23.24,0.00,10.3,70.4,10.7,46.4,78.9,46.1
Beetle,-14.64,-1.11,12.3,31.2,13.0,44.1,74.7,52.3
Value,-14.64,0.00,12.3,31.2,13.0,44.1,74.7,52.3
Blink,60.58,-0.39,13.0,73.5,9.2,45.8,77.8,44.8
Value,60.58,0.00,13.0,73.5,9.2,45.8,77.8,44.8
Blink Hunter,16.40,-0.88,48.7,44.1,51.3,53.0,0.0,0.0
Value,16.40,0.00,48.7,44.1,51.3,53.0,0.0,0.0
Gunbot,27.60,-0.45,11.5,66.7,13.4,34.3,75.1,48.5
Value,27.60,0.00,11.5,66.7,13.4,34.3,75.1,48.5
Missilebot,21.82,-0.84,11.1,37.9,10.3,40.7,78.5,51.2
Value,21.82,0.00,11.1,37.9,10.3,40.7,78.5,51.2
Wasp,-5.09,-1.20,11.5,53.3,12.6,54.5,75.9,47.0
Value,-5.09,0.00,11.5,53.3,12.6,54.5,75.9,47.0
Hornet,-43.69,-1.32,8.0,33.3,10.3,59.3,81.6,48.8
Value,-43.69,0.00,8.0,33.3,10.3,59.3,81.6,48.8
Knight,-32.85,-1.16,10.3,37.0,9.2,45.8,80.5,50.5
Value,-32.85,0.00,10.3,37.0,9.2,45.8,80.5,50.5
Crossbow,-61.28,-1.18,9.6,32.0,10.0,61.5,80.5,49.0
Value,-61.28,0.00,9.6,32.0,10.0,61.5,80.5,49.0
Ballista,69.80,-0.84,3.8,30.0,4.2,45.5,92.0,49.6
Value,69.80,0.00,3.8,30.0,4.2,45.5,92.0,49.6
King Crab,-296.43,-1.68,5.0,38.5,4.2,72.7,90.8,48.1
Value,-296.43,0.00,5.0,38.5,4.2,72.7,90.8,48.1
Crusader,478.47,0.09,3.8,70.0,1.1,33.3,95.0,48.0
Value,478.47,0.00,3.8,70.0,1.1,33.3,95.0,48.0
Bomber,-41.17,-1.24,3.4,33.3,5.0,53.8,91.6,49.0
Value,-41.17,0.00,3.4,33.3,5.0,53.8,91.6,49.0
Shocker,-375.89,-1.86,2.3,16.7,3.8,70.0,93.9,48.6
Value,-375.89,0.00,2.3,16.7,3.8,70.0,93.9,48.6
Recall Shocker,-185.24,-1.42,3.4,33.3,3.4,55.6,93.1,49.0
Value,-185.24,0.00,3.4,33.3,3.4,55.6,93.1,49.0
Mortar,178.05,-0.59,3.1,50.0,4.6,41.7,92.3,49.0
Value,178.05,0.00,3.1,50.0,4.6,41.7,92.3,49.0
Swift Shocker,-260.62,-1.60,4.6,50.0,1.5,50.0,93.9,48.6
Value,-260.62,0.00,4.6,50.0,1.5,50.0,93.9,48.6
Heavy Hunter,-404.12,-1.92,1.9,60.0,4.6,58.3,93.5,48.0
Value,-404.12,0.00,1.9,60.0,4.6,58.3,93.5,48.0
Destroyer,-81.85,-1.19,1.1,33.3,4.2,63.6,94.6,48.2
Value,-81.85,0.00,1.1,33.3,4.2,63.6,94.6,48.2
Raider,-499.62,-2.14,3.4,0.0,1.9,80.0,94.6,49.8
Value,-499.62,0.00,3.4,0.0,1.9,80.0,94.6,49.8
Turret,-22.16,-1.10,4.2,36.4,3.8,50.0,92.0,49.2
Value,-22.16,0.00,4.2,36.4,3.8,50.0,92.0,49.2
