Name,MarginalValue,NormalizedMarginalValue,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Intercept,-174.69,-174.69,,,,,,
Crab,59.80,-0.40,9.7,61.5,10.8,58.6,79.6,43.5
Value,59.80,0.00,9.7,61.5,10.8,58.6,79.6,43.5
Hunter,-3.17,-1.02,10.8,37.9,6.3,52.9,82.9,47.5
Value,-3.17,0.00,10.8,37.9,6.3,52.9,82.9,47.5
Recall,88.09,-0.12,8.9,62.5,10.8,31.0,80.3,47.2
Value,88.09,0.00,8.9,62.5,10.8,31.0,80.3,47.2
Recall Hunter,64.50,-0.53,7.8,28.6,12.3,45.5,79.9,48.8
Value,64.50,0.00,7.8,28.6,12.3,45.5,79.9,48.8
Scorpion,40.50,-0.19,11.9,62.5,11.9,31.2,76.2,46.8
Value,40.50,0.00,11.9,62.5,11.9,31.2,76.2,46.8
Beetle,59.45,-0.57,11.2,46.7,9.7,42.3,79.2,47.4
Value,59.45,0.00,11.2,46.7,9.7,42.3,79.2,47.4
Blink,48.39,-0.52,50.2,51.9,49.8,41.8,0.0,0.0
Value,48.39,0.00,50.2,51.9,49.8,41.8,0.0,0.0
Blink Hunter,46.58,-0.66,8.6,47.8,13.0,71.4,78.4,42.7
Value,46.58,0.00,8.6,47.8,13.0,71.4,78.4,42.7
Gunbot,26.44,-0.47,10.4,53.6,11.5,35.5,78.1,47.6
Value,26.44,0.00,10.4,53.6,11.5,35.5,78.1,47.6
Missilebot,5.80,-0.96,11.5,32.3,9.3,52.0,79.2,48.4
Value,5.80,0.00,11.5,32.3,9.3,52.0,79.2,48.4
Wasp,8.40,-0.66,10.4,60.7,10.4,53.6,79.2,44.1
Value,8.40,0.00,10.4,60.7,10.4,53.6,79.2,44.1
Hornet,1.01,-0.99,12.6,35.3,9.7,65.4,77.7,46.4
Value,1.01,0.00,12.6,35.3,9.7,65.4,77.7,46.4
Knight,-6.30,-1.03,12.3,36.4,10.8,37.9,77.0,49.8
Value,-6.30,0.00,12.3,36.4,10.8,37.9,77.0,49.8
Crossbow,-76.43,-1.22,11.2,33.3,11.9,65.6,77.0,45.9
Value,-76.43,0.00,11.2,33.3,11.9,65.6,77.0,45.9
Ballista,344.32,-0.21,3.3,44.4,3.7,50.0,92.9,46.8
Value,344.32,0.00,3.3,44.4,3.7,50.0,92.9,46.8
King Crab,191.50,-0.56,2.2,66.7,4.5,50.0,93.3,46.2
Value,191.50,0.00,2.2,66.7,4.5,50.0,93.3,46.2
Crusader,625.84,0.43,3.3,55.6,0.7,0.0,95.9,46.9
Value,625.84,0.00,3.3,55.6,0.7,0.0,95.9,46.9
Bomber,92.62,-0.47,3.0,62.5,3.7,60.0,93.3,45.8
Value,92.62,0.00,3.0,62.5,3.7,60.0,93.3,45.8
Shocker,646.88,0.48,4.1,45.5,5.9,68.8,90.0,45.5
Value,646.88,0.00,4.1,45.5,5.9,68.8,90.0,45.5
Recall Shocker,-154.50,-1.35,2.6,42.9,1.1,100.0,96.3,46.3
Value,-154.50,0.00,2.6,42.9,1.1,100.0,96.3,46.3
Mortar,-87.03,-1.20,3.0,37.5,2.2,33.3,94.8,47.5
Value,-87.03,0.00,3.0,37.5,2.2,33.3,94.8,47.5
Swift Shocker,7.37,-0.98,3.7,60.0,1.5,50.0,94.8,46.3
Value,7.37,0.00,3.7,60.0,1.5,50.0,94.8,46.3
Heavy Hunter,100.81,-0.77,5.9,56.2,4.1,63.6,90.0,45.5
